state_id,latitude,longitude
192,41.8793,-87.6399
77,41.8822,-87.6411
91,41.8834,-87.6412
133,41.8892,-87.6385
195,41.8847,-87.6195
287,41.8803,-87.6352
66,41.8856,-87.6418
174,41.8821,-87.6398
48,41.8978,-87.6429
43,41.884,-87.6247
81,41.8842,-87.6296
283,41.8782,-87.6319
52,41.886,-87.6241
110,41.894,-87.6293
49,41.8813,-87.6295
36,41.8777,-87.6353
56,41.8887,-87.6444
53,41.8947,-87.6344
176,41.903,-87.6313
211,41.8944,-87.6227
212,41.8899,-87.6343
199,41.8915,-87.6268
71,41.8855,-87.6523
59,41.8672,-87.626
100,41.8882,-87.6364
74,41.8938,-87.6417
289,41.9121,-87.6347
35,41.8923,-87.612
255,41.8679,-87.623
191,41.8817,-87.6395
51,41.8846,-87.6319
107,41.8783,-87.6439
76,41.881,-87.6167
210,41.9035,-87.6677
638,41.8781,-87.6398
47,41.8892,-87.6278
423,41.7915,-87.5999
44,41.8847,-87.6277
18,41.8831,-87.6373
164,41.8858,-87.6355
67,41.9256,-87.6537
69,41.9094,-87.6777
24,41.8918,-87.6206
90,41.881,-87.6241
344,41.9691,-87.6742
38,41.886,-87.6309
26,41.8904,-87.6175
181,41.8908,-87.6317
58,41.916,-87.6689
300,41.9377,-87.6441
142,41.8945,-87.6179
331,41.9097,-87.6481
182,41.9032,-87.6343
94,41.9183,-87.6363
84,41.8916,-87.6484
111,41.8947,-87.6384
31,41.8967,-87.6357
117,41.9402,-87.653
50,41.8759,-87.6306
196,41.8906,-87.6221
140,41.899,-87.6299
134,41.8776,-87.6496
161,41.8958,-87.6259
320,41.8722,-87.6615
37,41.8794,-87.6298
240,41.9542,-87.6544
321,41.8708,-87.6257
85,41.901,-87.6238
198,41.8819,-87.6488
41,41.8721,-87.6295
98,41.8827,-87.6325
13,41.9324,-87.6527
177,41.9263,-87.6308
241,41.8717,-87.651
125,41.8902,-87.6262
113,41.9184,-87.6522
39,41.8795,-87.6257
264,41.8868,-87.6223
342,41.8713,-87.6737
127,41.9259,-87.6493
