backbone,source,task,split,operator,selected,test_gain,decision_score,baseline_mse,relative_gain
ft_transformer,ACS,acs_occupation,2,kernel_ridge,True,0.0091838009209486,0.006144294186315905,0.45017133535679754,0.020400679029618105
ft_transformer,BTS,airline_origin_airport,2,rbf_double,False,0.0,-1.0797254378936804e-05,1.7388309775096211,0.0
ft_transformer,NYC_TLC,tlc_pickup_zone,2,rbf_double,False,0.0,-0.004628506423308881,1.4774225670144734,0.0
ft_transformer,STRING_BENCHMARK,medical_charges,2,rbf_half,False,0.0,-0.0051253592330545925,0.5439871831348122,0.0
mlp,ACS,acs_occupation,2,kernel_ridge,True,0.0128036832968471,0.00997524045124573,0.4107114132226722,0.031174403448840676
mlp,BTS,airline_origin_airport,2,rbf,False,0.0,-0.00018439553294058366,1.7827190659136505,0.0
mlp,NYC_TLC,tlc_pickup_zone,2,knn_10,True,-0.0020870921889321,0.012696930811493208,1.4312524401591151,-0.0014582278641915006
mlp,STRING_BENCHMARK,medical_charges,2,harmonic,True,0.0009122344445843,0.00018748450275234206,0.5302396382235911,0.0017204191818636341
resnet,ACS,acs_occupation,2,kernel_ridge,True,0.0076788857821197,0.004373111610820232,0.43325126874875863,0.017723862192709855
resnet,BTS,airline_origin_airport,2,rbf_double,False,0.0,-0.0013129883859996942,1.7461063222229318,0.0
resnet,NYC_TLC,tlc_pickup_zone,2,rbf_double,False,0.0,-0.010836869834494793,1.3446911181763905,0.0
resnet,STRING_BENCHMARK,medical_charges,2,rbf_double,False,0.0,-0.00013833910910091173,0.5486790646941468,0.0
tabm,ACS,acs_occupation,2,kernel_ridge,True,0.014849853767414,0.010778961398340345,0.408176640826748,0.03638094952551945
tabm,BTS,airline_origin_airport,2,rbf_double,False,0.0,-0.001402380614714951,1.810389535483344,0.0
tabm,NYC_TLC,tlc_pickup_zone,2,rbf_double,False,0.0,-0.011457929426037745,1.3125136279119474,0.0
tabm,STRING_BENCHMARK,medical_charges,2,harmonic,True,0.0006566436975677,8.580162610399378e-05,0.5164492454400559,0.0012714583347066125
