backbone,source,task,split,operator,validation_gain,validation_se,test_gain,validation_states,test_states,ordinary_dimensions,oof_finite
mlp,ACS,acs_occupation,2,harmonic,0.0008800833955477302,0.00030649033649572373,0.0005662839729313896,86,88,10,True
mlp,ACS,acs_occupation,2,kernel_ridge,0.020334957541801115,0.0037360299806192625,0.012803683296847163,86,88,10,True
mlp,ACS,acs_occupation,2,knn_1,0.012917929816316114,0.005584977802601538,-0.002904873306163326,86,88,10,True
mlp,ACS,acs_occupation,2,knn_10,0.0162924349956898,0.0037820614041997624,0.012751286375813676,86,88,10,True
mlp,ACS,acs_occupation,2,knn_3,0.018063916410468846,0.004522216143891108,0.007223230569165614,86,88,10,True
mlp,ACS,acs_occupation,2,knn_5,0.018452343772660047,0.004235152387662638,0.012409870447308539,86,88,10,True
mlp,ACS,acs_occupation,2,rbf,0.0007073260344516544,0.000305048604516403,0.0004033669138814396,86,88,10,True
mlp,ACS,acs_occupation,2,rbf_double,0.0006225439994909534,0.0003056574092248335,0.00031209974205087337,86,88,10,True
mlp,ACS,acs_occupation,2,rbf_half,0.0011111025286866549,0.0003164396723182037,0.0008330684306374852,86,88,10,True
mlp,BTS,airline_origin_airport,2,harmonic,0.0002622301218491337,0.00016183011147758686,6.676936323508671e-06,43,43,310,True
mlp,BTS,airline_origin_airport,2,kernel_ridge,-0.00037481545939356927,0.0008794175803003612,-0.0002947133398963815,43,43,310,True
mlp,BTS,airline_origin_airport,2,knn_1,-0.008767963326431531,0.004986866543760598,-0.005152855668699093,43,43,310,True
mlp,BTS,airline_origin_airport,2,knn_10,-0.0008848063623275245,0.0016238443157772246,-0.00028751790004197486,43,43,310,True
mlp,BTS,airline_origin_airport,2,knn_3,-0.0025565667036143683,0.0031585725171267933,-0.0030027865760544115,43,43,310,True
mlp,BTS,airline_origin_airport,2,knn_5,-0.001443404371400792,0.002194339385534684,-0.002150282408865724,43,43,310,True
mlp,BTS,airline_origin_airport,2,rbf,0.00025985243617907683,0.00016020936835942038,2.0082343703742962e-05,43,43,310,True
mlp,BTS,airline_origin_airport,2,rbf_double,0.00019185330496088946,0.0001426257757836687,-8.494632388925492e-06,43,43,310,True
mlp,BTS,airline_origin_airport,2,rbf_half,0.0002368766993759901,0.0002769158891616192,9.275649556771436e-05,43,43,310,True
mlp,STRING_BENCHMARK,medical_charges,2,harmonic,0.0008813018049349949,0.0002502116823624588,0.0009122344445843917,20,20,52,True
mlp,STRING_BENCHMARK,medical_charges,2,kernel_ridge,0.04365986618566889,0.02800300583909624,0.04646689633649438,20,20,52,True
mlp,STRING_BENCHMARK,medical_charges,2,knn_1,0.08107235030629778,0.06684692617192088,0.025830674547933762,20,20,52,True
mlp,STRING_BENCHMARK,medical_charges,2,knn_10,0.047652185029993556,0.031158435207634363,0.03721841400728576,20,20,52,True
mlp,STRING_BENCHMARK,medical_charges,2,knn_3,0.0973688364640671,0.07978125365654287,0.025382957212642016,20,20,52,True
mlp,STRING_BENCHMARK,medical_charges,2,knn_5,0.08387682763688932,0.061561597506860466,0.05620849284396058,20,20,52,True
mlp,STRING_BENCHMARK,medical_charges,2,rbf,0.0003383588377431132,0.0002360423023752715,0.0007861609718770145,20,20,52,True
mlp,STRING_BENCHMARK,medical_charges,2,rbf_double,2.094606866034418e-05,0.00023653661461850466,5.157635204020393e-05,20,20,52,True
mlp,STRING_BENCHMARK,medical_charges,2,rbf_half,0.0018573039191403147,0.0011880675694571467,0.004227412069836049,20,20,52,True
mlp,NYC_TLC,tlc_pickup_zone,2,harmonic,0.03604096266672737,0.011545393804736672,0.015504137479990653,18,19,254,True
mlp,NYC_TLC,tlc_pickup_zone,2,kernel_ridge,0.07082344212526115,0.024556559843915127,-0.027098009140303043,18,19,254,True
mlp,NYC_TLC,tlc_pickup_zone,2,knn_1,0.07621618072612865,0.034857034553994706,-0.11908191262242569,18,19,254,True
mlp,NYC_TLC,tlc_pickup_zone,2,knn_10,0.06345509574826137,0.018304942529546803,-0.0020870921889321187,18,19,254,True
mlp,NYC_TLC,tlc_pickup_zone,2,knn_3,0.06448621806406851,0.02518529901374676,-0.04616142566105007,18,19,254,True
mlp,NYC_TLC,tlc_pickup_zone,2,knn_5,0.06542837739776902,0.02041981129288024,-0.017263065007598978,18,19,254,True
mlp,NYC_TLC,tlc_pickup_zone,2,rbf,0.03171618247722509,0.008762070005867352,0.016633453988736505,18,19,254,True
mlp,NYC_TLC,tlc_pickup_zone,2,rbf_double,0.015158464021045355,0.0056227957486132555,0.0152050868415567,18,19,254,True
mlp,NYC_TLC,tlc_pickup_zone,2,rbf_half,0.05847093192569931,0.02035031430343462,0.0038212204712909795,18,19,254,True
