dataset,split_seed,context_replicate,query_family,model,n_queries,variance_temperature,rmse,nll,crps,coverage90
elevators,20260923,0,point,projective_full,32,1.9582851088098792,0.6420025232248138,1.1203246415570989,0.3751272499216086,0.9375
elevators,20260923,1,point,projective_full,32,1.9582851088098792,0.7329161210295017,1.019600665552971,0.3744788593020211,0.875
elevators,20260923,2,point,projective_full,32,1.9582851088098792,0.7302026040887282,1.272480774350331,0.4350302900294612,1.0
elevators,20260923,3,point,projective_full,32,1.9582851088098792,0.7687572031341774,1.3463790513127196,0.46388285260614803,0.9375
elevators,20260923,0,subset,projective_full,32,1.9582851088098792,0.5238657513352669,0.7741320603794573,0.2862085654988378,0.875
elevators,20260923,1,subset,projective_full,32,1.9582851088098792,0.4720848175316788,0.6292640939254444,0.2522279131499702,0.8125
elevators,20260923,2,subset,projective_full,32,1.9582851088098792,0.4045091438531321,0.742226483627183,0.25037130634187343,1.0
elevators,20260923,3,subset,projective_full,32,1.9582851088098792,0.34902919414454575,0.7546958128557988,0.23906924971022792,1.0
elevators,20260923,0,difference,projective_full,32,1.9582851088098792,1.0257259741629436,1.4665487008256968,0.5760912562205784,0.9375
elevators,20260923,1,difference,projective_full,32,1.9582851088098792,1.1314718469130123,1.5911749083015378,0.6182646613203724,0.8125
elevators,20260923,2,difference,projective_full,32,1.9582851088098792,0.8719488678893687,1.5522717037101978,0.5398062437085103,1.0
elevators,20260923,3,difference,projective_full,32,1.9582851088098792,0.9917883076158874,1.7144993755016393,0.642650099169696,0.96875
elevators,20260923,0,dense,projective_full,32,1.9582851088098792,0.6540890637850141,1.1260359869056908,0.3826209335140004,0.96875
elevators,20260923,1,dense,projective_full,32,1.9582851088098792,0.6938606109148459,0.9786330599049304,0.35842406217830725,0.9375
elevators,20260923,2,dense,projective_full,32,1.9582851088098792,0.7850218726579719,1.349879262402413,0.4739937148305972,1.0
elevators,20260923,3,dense,projective_full,32,1.9582851088098792,0.92864642477515,1.4844295105618637,0.5541863103760216,1.0
elevators,20260923,0,scaled_dense,projective_full,32,1.9582851088098792,1.521583245870698,1.9701576955707085,0.8932112072516685,0.96875
elevators,20260923,1,scaled_dense,projective_full,32,1.9582851088098792,1.6348800781103048,1.831172307769606,0.8541653277815564,0.9375
elevators,20260923,2,scaled_dense,projective_full,32,1.9582851088098792,1.8495994459306204,2.1979732389296833,1.112562539253545,1.0
elevators,20260923,3,scaled_dense,projective_full,32,1.9582851088098792,2.292007485808359,2.3748919000654363,1.3549949721977255,1.0
elevators,20260923,0,point,projective_independent,32,2.0503078800879964,0.6420025232248138,1.1309386238571562,0.3778449858270945,0.9375
elevators,20260923,1,point,projective_independent,32,2.0503078800879964,0.7329161210295017,1.011350463588773,0.3744433060611683,0.875
elevators,20260923,2,point,projective_independent,32,2.0503078800879964,0.7302026040887282,1.2888481480865186,0.4390528718591974,1.0
elevators,20260923,3,point,projective_independent,32,2.0503078800879964,0.7687572031341774,1.3608202651891819,0.4678374731974447,0.96875
elevators,20260923,0,subset,projective_independent,32,2.0503078800879964,0.5238657513352669,0.7664867151408946,0.28468126809574484,0.875
elevators,20260923,1,subset,projective_independent,32,2.0503078800879964,0.4720848175316788,0.7096162325657207,0.25447786959309576,0.8125
elevators,20260923,2,subset,projective_independent,32,2.0503078800879964,0.4045091438531321,0.7043920095560451,0.2453886515275301,1.0
elevators,20260923,3,subset,projective_independent,32,2.0503078800879964,0.34902919414454575,0.7025319708970783,0.23136664674541607,1.0
elevators,20260923,0,difference,projective_independent,32,2.0503078800879964,1.0257259741629436,1.4920170697134472,0.5820839379273436,0.9375
elevators,20260923,1,difference,projective_independent,32,2.0503078800879964,1.1314718469130123,1.5492806879625816,0.6153064383140842,0.84375
elevators,20260923,2,difference,projective_independent,32,2.0503078800879964,0.8719488678893687,1.607551948766479,0.5608509408633802,1.0
elevators,20260923,3,difference,projective_independent,32,2.0503078800879964,0.9917883076158874,1.7530302298123863,0.6586819470949452,1.0
elevators,20260923,0,dense,projective_independent,32,2.0503078800879964,0.6540890637850141,1.1419117520288786,0.38629132160615054,0.96875
elevators,20260923,1,dense,projective_independent,32,2.0503078800879964,0.6938606109148459,0.9828245372987177,0.35965128311615996,0.9375
elevators,20260923,2,dense,projective_independent,32,2.0503078800879964,0.7850218726579719,1.3768837636544167,0.4818244818779597,1.0
elevators,20260923,3,dense,projective_independent,32,2.0503078800879964,0.92864642477515,1.503494036786136,0.5594865571568312,1.0
elevators,20260923,0,scaled_dense,projective_independent,32,2.0503078800879964,1.521583245870698,1.9860334606938963,0.9024635187480964,0.96875
elevators,20260923,1,scaled_dense,projective_independent,32,2.0503078800879964,1.6348800781103048,1.8353637851633935,0.856944559265719,0.9375
elevators,20260923,2,scaled_dense,projective_independent,32,2.0503078800879964,1.8495994459306204,2.2249777401816875,1.1303801720649327,1.0
elevators,20260923,3,scaled_dense,projective_independent,32,2.0503078800879964,2.292007485808359,2.3939564262897086,1.368157086381542,1.0
elevators,20260923,0,point,projective_shuffled,32,1.9689214146196305,0.6420025232248138,1.1215469825371265,0.3754409294441246,0.9375
elevators,20260923,1,point,projective_shuffled,32,1.9689214146196305,0.7329161210295017,1.0185524922629845,0.3744712561396179,0.875
elevators,20260923,2,point,projective_shuffled,32,1.9689214146196305,0.7302026040887282,1.2743955999442553,0.4354947450372786,1.0
elevators,20260923,3,point,projective_shuffled,32,1.9689214146196305,0.7687572031341774,1.34806204215638,0.46433966062053544,0.9375
elevators,20260923,0,subset,projective_shuffled,32,1.9689214146196305,0.5238657513352669,0.7707989826102774,0.28610078922674514,0.875
elevators,20260923,1,subset,projective_shuffled,32,1.9689214146196305,0.4720848175316788,0.6207283930794709,0.25218419274028003,0.8125
elevators,20260923,2,subset,projective_shuffled,32,1.9689214146196305,0.4045091438531321,0.7392739719362679,0.24952122602430354,1.0
elevators,20260923,3,subset,projective_shuffled,32,1.9689214146196305,0.34902919414454575,0.7516141355753714,0.23869470998597295,1.0
