dataset,split_seed,context_replicate,query_family,model,n_queries,variance_temperature,rho,rmse,nll,crps,coverage90
superconduct,20260922,0,point,neural_projective,32,1.0000610402309515,,0.8830874378353872,1.497628129174232,0.5029616675363688,0.8125
superconduct,20260922,1,point,neural_projective,32,1.0000610402309515,,0.7382782307094138,1.2652134980089316,0.43331374333741457,0.96875
superconduct,20260922,2,point,neural_projective,32,1.0000610402309515,,0.5882264184296203,1.1119744172767598,0.37418019186835105,0.96875
superconduct,20260922,3,point,neural_projective,32,1.0000610402309515,,0.8889655026130381,1.3470798173949303,0.5061714098935324,0.9375
superconduct,20260922,0,subset,neural_projective,32,1.0000610402309515,,0.39576481836434685,0.5441202007660889,0.22934510953177878,0.875
superconduct,20260922,1,subset,neural_projective,32,1.0000610402309515,,0.4234308135266198,0.66545755904889,0.2454971002782369,0.9375
superconduct,20260922,2,subset,neural_projective,32,1.0000610402309515,,0.4061206022033823,0.6361221308496825,0.24274035662374044,0.96875
superconduct,20260922,3,subset,neural_projective,32,1.0000610402309515,,0.7285871933795445,1.1981788271577611,0.43569452258622143,0.78125
superconduct,20260922,0,difference,neural_projective,32,1.0000610402309515,,1.2122775357093354,1.675864619306181,0.7076741687103809,0.8125
superconduct,20260922,1,difference,neural_projective,32,1.0000610402309515,,0.9727071125172476,1.5633858259087492,0.5702859913484575,0.96875
superconduct,20260922,2,difference,neural_projective,32,1.0000610402309515,,1.1386201520208306,1.610968885030546,0.6694405461970778,0.9375
superconduct,20260922,3,difference,neural_projective,32,1.0000610402309515,,1.0096828019815465,1.5175187174539135,0.5955747082826328,0.90625
superconduct,20260922,0,dense,neural_projective,32,1.0000610402309515,,0.9820804971557355,1.4763507614216953,0.5562467322431802,0.8125
superconduct,20260922,1,dense,neural_projective,32,1.0000610402309515,,0.7378127692960604,1.2008678246182485,0.4243612969876315,0.96875
superconduct,20260922,2,dense,neural_projective,32,1.0000610402309515,,0.8868926552201389,1.3439910060524136,0.5126283194046155,0.90625
superconduct,20260922,3,dense,neural_projective,32,1.0000610402309515,,0.8236112451488509,1.248947576751076,0.4714114393172134,0.90625
superconduct,20260922,0,scaled_dense,neural_projective,32,1.0000610402309515,,2.338092646139339,2.2883726163198084,1.294702740019256,0.8125
superconduct,20260922,1,scaled_dense,neural_projective,32,1.0000610402309515,,1.5754821932574132,2.0293213808485056,0.952291615986466,0.96875
superconduct,20260922,2,scaled_dense,neural_projective,32,1.0000610402309515,,2.2487503658958605,2.2432987112280793,1.276307763223777,0.90625
superconduct,20260922,3,scaled_dense,neural_projective,32,1.0000610402309515,,2.0219627579013792,2.1201351659590912,1.1477718617841264,0.90625
superconduct,20260922,0,point,neural_direct,32,2.411183648232979,,0.9883680607147922,1.513943418784816,0.5774209090957985,0.9375
superconduct,20260922,1,point,neural_direct,32,2.411183648232979,,0.9260281910245062,1.6768388931053368,0.6142545504707433,0.96875
superconduct,20260922,2,point,neural_direct,32,2.411183648232979,,0.891716950522239,1.6315942419596992,0.5972463697568835,1.0
superconduct,20260922,3,point,neural_direct,32,2.411183648232979,,1.0933235747669694,1.6668391369670164,0.6690511171153328,1.0
superconduct,20260922,0,subset,neural_direct,32,2.411183648232979,,0.45977956213311405,0.828017956704543,0.2826663040455605,0.96875
superconduct,20260922,1,subset,neural_direct,32,2.411183648232979,,0.5160414286595838,0.9912099911336653,0.3187898679583758,0.96875
superconduct,20260922,2,subset,neural_direct,32,2.411183648232979,,0.6409516835778402,1.163465993781255,0.3969670340306545,1.0
superconduct,20260922,3,subset,neural_direct,32,2.411183648232979,,0.8173386248858077,1.2372406479073996,0.4733866089471349,1.0
superconduct,20260922,0,difference,neural_direct,32,2.411183648232979,,1.4272131133321662,1.8445922434701378,0.8368307003448845,1.0
superconduct,20260922,1,difference,neural_direct,32,2.411183648232979,,1.2007071024818123,1.9105768164796202,0.7779571430718848,0.96875
superconduct,20260922,2,difference,neural_direct,32,2.411183648232979,,1.489527579768753,1.9861069777948899,0.9115615388558975,1.0
superconduct,20260922,3,difference,neural_direct,32,2.411183648232979,,1.206610037697655,1.894461044890948,0.7832968600904253,1.0
superconduct,20260922,0,dense,neural_direct,32,2.411183648232979,,1.1315225157403035,1.5324101261346,0.6277680508369832,0.9375
superconduct,20260922,1,dense,neural_direct,32,2.411183648232979,,0.9478973434185431,1.5643358694416007,0.5781556784174118,0.96875
superconduct,20260922,2,dense,neural_direct,32,2.411183648232979,,1.0373006946116787,1.6214609225852044,0.6351765170249583,1.0
superconduct,20260922,3,dense,neural_direct,32,2.411183648232979,,0.9623378259679445,1.581418089816823,0.6002093508331607,0.96875
superconduct,20260922,0,scaled_dense,neural_direct,32,2.411183648232979,,2.6760625450988926,2.4206407300232486,1.440954401892097,0.84375
superconduct,20260922,1,scaled_dense,neural_direct,32,2.411183648232979,,2.103301653419708,2.613669957463755,1.2067528904924312,0.875
superconduct,20260922,2,scaled_dense,neural_direct,32,2.411183648232979,,2.542628388321706,3.6872752906351276,1.5099547729406404,0.875
superconduct,20260922,3,scaled_dense,neural_direct,32,2.411183648232979,,2.359133951369886,2.507831821281437,1.359658853576208,0.84375
superconduct,20260922,0,point,bayes_linear,32,1.9355130304688912,,0.8709659660612339,1.3412823940879552,0.49138956318537336,0.9375
superconduct,20260922,1,point,bayes_linear,32,1.9355130304688912,,0.7097899783831765,1.1068451772298111,0.3970525814434043,0.96875
superconduct,20260922,2,point,bayes_linear,32,1.9355130304688912,,0.6903571079777386,1.197879242598359,0.40226280540962234,0.84375
superconduct,20260922,3,point,bayes_linear,32,1.9355130304688912,,0.8117531157862018,1.2782795026316163,0.46676716997715456,0.96875
superconduct,20260922,0,subset,bayes_linear,32,1.9355130304688912,,0.44163178581819484,0.6487014739931178,0.2532809367271842,0.96875
superconduct,20260922,1,subset,bayes_linear,32,1.9355130304688912,,0.33093566121704315,0.3858067335764946,0.19089224416160971,0.90625
superconduct,20260922,2,subset,bayes_linear,32,1.9355130304688912,,0.35125723884508536,0.3385795365512384,0.19641428138782605,0.96875
superconduct,20260922,3,subset,bayes_linear,32,1.9355130304688912,,0.6049883248322065,0.9187851882609845,0.3491965172697318,0.875
superconduct,20260922,0,difference,bayes_linear,32,1.9355130304688912,,1.1619223842834245,1.647126397943873,0.6790267832546344,1.0
superconduct,20260922,1,difference,bayes_linear,32,1.9355130304688912,,0.9774605554204,1.4299614151719577,0.5267418055981996,0.96875
superconduct,20260922,2,difference,bayes_linear,32,1.9355130304688912,,1.1324337071417923,1.7070708726051533,0.6324178865824748,0.8125
