dataset,split_seed,context_replicate,query_family,model,n_queries,variance_temperature,rho,rmse,nll,crps,coverage90
sulfur,20260922,0,point,neural_projective,32,1.8456860075487278,,1.8183486016039876,3.1712202221569727,0.5694258804928738,0.90625
sulfur,20260922,1,point,neural_projective,32,1.8456860075487278,,0.6382493480576528,0.9751602089329223,0.328081688555776,0.96875
sulfur,20260922,2,point,neural_projective,32,1.8456860075487278,,0.34903476037202535,0.9853239575446829,0.28535840504299603,1.0
sulfur,20260922,3,point,neural_projective,32,1.8456860075487278,,0.34496320686365994,0.4783244535747197,0.20739388028601097,1.0
sulfur,20260922,0,subset,neural_projective,32,1.8456860075487278,,0.47421880546852446,0.652442961457248,0.18940420858148593,0.9375
sulfur,20260922,1,subset,neural_projective,32,1.8456860075487278,,0.38796632689249594,0.5640947340212115,0.21370259826332558,0.9375
sulfur,20260922,2,subset,neural_projective,32,1.8456860075487278,,0.195490707087156,0.45571159400677946,0.166831088470489,1.0
sulfur,20260922,3,subset,neural_projective,32,1.8456860075487278,,0.4811507579463232,0.9203767231188306,0.20731735214760846,0.875
sulfur,20260922,0,difference,neural_projective,32,1.8456860075487278,,0.5114549877354367,0.8940016383822342,0.3088007135168178,1.0
sulfur,20260922,1,difference,neural_projective,32,1.8456860075487278,,1.290248942328212,1.6516257661761897,0.5582068258423057,0.96875
sulfur,20260922,2,difference,neural_projective,32,1.8456860075487278,,0.843809289835419,1.4317465070286968,0.5086274305058562,0.96875
sulfur,20260922,3,difference,neural_projective,32,1.8456860075487278,,0.7051874310234967,0.9775225519715036,0.37686318488936926,0.9375
sulfur,20260922,0,dense,neural_projective,32,1.8456860075487278,,1.1290465694039358,2.225499401998355,0.41027906490014643,0.90625
sulfur,20260922,1,dense,neural_projective,32,1.8456860075487278,,1.3701863249487345,1.8070347447041666,0.6564082008296365,0.84375
sulfur,20260922,2,dense,neural_projective,32,1.8456860075487278,,0.5628956379555615,1.101653793556789,0.3538754017853706,1.0
sulfur,20260922,3,dense,neural_projective,32,1.8456860075487278,,1.1178336840119734,2.2714903769848274,0.5519367235982225,0.78125
sulfur,20260922,0,scaled_dense,neural_projective,32,1.8456860075487278,,2.4284173082912024,3.0932515251895327,0.9433512084550454,0.90625
sulfur,20260922,1,scaled_dense,neural_projective,32,1.8456860075487278,,3.54048679703728,2.659919277759209,1.6449979814110596,0.84375
sulfur,20260922,2,scaled_dense,neural_projective,32,1.8456860075487278,,1.2903721168135196,1.9564112157280862,0.8298234157949225,1.0
sulfur,20260922,3,scaled_dense,neural_projective,32,1.8456860075487278,,3.0262164274997643,3.1212593502274193,1.4230714574671157,0.78125
sulfur,20260922,0,point,neural_direct,32,3.4425241816617005,,1.9949088744309662,2.2881986238340963,0.6807213495598807,0.9375
