dataset,seed,model,train_seconds,heldout_nll,coverage_50,coverage_90,mean_coverage_error,mean_additivity_violation,scale_violation,variance_polarization_violation
JenaWeather,20261301,querynet_broad,11.191171532962471,-0.5137023329734802,0.5556640625,0.88671875,0.03447265625000001,0.08750050514936447,0.39788613468408585,0.4430033564567566
JenaWeather,20261301,jointdiag,11.656418400118127,-0.8243805170059204,0.648193359375,0.9296875,0.08894042968749999,8.52076667001711e-08,7.752484521006409e-08,5.9521774176118925e-08
JenaWeather,20261302,querynet_broad,10.458209431963041,-0.4635445177555084,0.587646484375,0.90185546875,0.04475097656249999,0.09703944623470306,0.3318932093679905,0.48166605830192566
JenaWeather,20261302,jointdiag,11.772993265185505,-0.8076748847961426,0.65234375,0.932373046875,0.09235839843749999,8.368878212650088e-08,7.60515703746023e-08,6.057965151740063e-08
JenaWeather,20261303,querynet_broad,10.234219225123525,-0.5402194261550903,0.615234375,0.910400390625,0.06281738281249999,0.06894519925117493,0.367484875023365,0.3926481008529663
JenaWeather,20261303,jointdiag,11.620001106988639,-0.8093134760856628,0.644775390625,0.930908203125,0.08784179687499999,8.724376954205582e-08,8.64540794509594e-08,5.897172172808496e-08
Electricity,20261301,querynet_broad,10.479589270893484,-0.11335091292858124,0.517333984375,0.89013671875,0.013598632812500011,0.14372357726097107,0.29754551500082016,0.39613696932792664
Electricity,20261301,jointdiag,11.693940740078688,-0.49148234724998474,0.57958984375,0.920166015625,0.04987792968749999,9.108867260465559e-08,8.201573820088015e-08,5.328413266170173e-08
Electricity,20261302,querynet_broad,10.513901745900512,-0.18974244594573975,0.54345703125,0.8984375,0.02250976562500001,0.12233901023864746,0.28421304374933243,0.3511037528514862
Electricity,20261302,jointdiag,11.687471915967762,-0.45102977752685547,0.5390625,0.90478515625,0.02192382812499999,8.58690398786166e-08,8.032657206058502e-08,5.945515013650038e-08
Electricity,20261303,querynet_broad,10.513917675008997,-0.2030973583459854,0.572998046875,0.910888671875,0.04194335937499999,0.09941425174474716,0.28469760715961456,0.3726908266544342
Electricity,20261303,jointdiag,11.640549947042018,-0.4708257019519806,0.545654296875,0.919921875,0.03278808593749999,8.891472447203341e-08,8.588006039644824e-08,5.4350234535149866e-08
Traffic,20261301,querynet_broad,10.422442700015381,3.044888496398926,0.47021484375,0.796875,0.06645507812500001,0.23573313653469086,0.458175465464592,0.8354832530021667
Traffic,20261301,jointdiag,11.660076108993962,0.40905576944351196,0.458251953125,0.81640625,0.06267089843750001,9.225374242305406e-08,7.28869427035761e-08,5.6408655524364804e-08
Traffic,20261302,querynet_broad,10.386857758974656,3.9802393913269043,0.480224609375,0.80615234375,0.05681152343750001,0.20230445265769958,0.4419674575328827,0.8226463198661804
Traffic,20261302,jointdiag,11.675950009841472,1.0284223556518555,0.459716796875,0.80810546875,0.06608886718750001,9.21184621915927e-08,8.93776785915179e-08,6.154515830303353e-08
Traffic,20261303,querynet_broad,10.467610253952444,0.8112983703613281,0.4501953125,0.7763671875,0.08671875000000001,0.19404518604278564,0.45126423984766006,0.8045539855957031
Traffic,20261303,jointdiag,11.601014537038282,0.8028932213783264,0.465576171875,0.804931640625,0.06474609375000001,9.034329195856117e-08,8.062598411129329e-08,4.840013190232639e-08
