dataset,seed,model,prediction_dispersion
JenaWeather,20261311,levels_erm,0.7634555697441101
JenaWeather,20261311,view_aug,0.4678301513195038
JenaWeather,20261311,view_consistent,0.3998979926109314
JenaWeather,20261311,oracle_canonical,1.4082247901114897e-07
JenaWeather,20261312,levels_erm,0.7597922086715698
JenaWeather,20261312,view_aug,0.4398641288280487
JenaWeather,20261312,view_consistent,0.39152321219444275
JenaWeather,20261312,oracle_canonical,1.3908766050008126e-07
JenaWeather,20261313,levels_erm,0.7930946946144104
JenaWeather,20261313,view_aug,0.4519027769565582
JenaWeather,20261313,view_consistent,0.3990161716938019
JenaWeather,20261313,oracle_canonical,1.4284464100455807e-07
Electricity,20261311,levels_erm,0.8176586031913757
Electricity,20261311,view_aug,0.6292669177055359
Electricity,20261311,view_consistent,0.5502521395683289
Electricity,20261311,oracle_canonical,1.3270012289012811e-07
Electricity,20261312,levels_erm,0.8312745094299316
Electricity,20261312,view_aug,0.6245222687721252
Electricity,20261312,view_consistent,0.5630751848220825
Electricity,20261312,oracle_canonical,1.2968936857760127e-07
Electricity,20261313,levels_erm,0.856034517288208
Electricity,20261313,view_aug,0.608500063419342
Electricity,20261313,view_consistent,0.5492504239082336
Electricity,20261313,oracle_canonical,1.3923376229740825e-07
Traffic,20261311,levels_erm,1.1226328611373901
Traffic,20261311,view_aug,0.8284897804260254
Traffic,20261311,view_consistent,0.769813060760498
Traffic,20261311,oracle_canonical,1.7673292518338712e-07
Traffic,20261312,levels_erm,1.1096895933151245
Traffic,20261312,view_aug,0.8107465505599976
Traffic,20261312,view_consistent,0.7781586647033691
Traffic,20261312,oracle_canonical,1.698852969411746e-07
Traffic,20261313,levels_erm,1.177542805671692
Traffic,20261313,view_aug,0.8164698481559753
Traffic,20261313,view_consistent,0.7856429815292358
Traffic,20261313,oracle_canonical,1.753005989257872e-07
