dataset,backbone,train_mode,seed,phase_materiality,phase_spread_rms,epochs,fit_wall_seconds,parameters_total,parameters_trainable,canonical,exact_iid4,full8,phasecover4,exact_iid4_quotient_mse,phasecover4_quotient_mse,cover_minus_iid_rmse,full_gain_vs_canonical,cover_quotient_ratio
Electricity,moment,canonical_train,20261211,1.1294658098955683,0.4151679277420044,6,20.93245823518373,36123864,786456,0.36757901310920715,0.7328825831413269,0.7246523499488831,0.6670435070991516,0.024623485235497355,0.00568727171048522,-0.06583907604217532,-0.3570733368396759,0.23096940405034203
Electricity,moment,canonical_train,20261212,1.1985369821963048,0.43310755491256714,8,27.885858055204153,36123864,786456,0.3613635301589966,0.7340752465384347,0.7252361178398132,0.6645918488502502,0.026797442477462546,0.006404542829841375,-0.06948339768818446,-0.36387258768081665,0.2389982863188451
Electricity,moment,phase_aug_train,20261211,0.5552493989934446,0.31368741393089294,12,42.14519013185054,36123864,786456,0.5649486780166626,0.5485025367566517,0.5368382334709167,0.5228996872901917,0.014057111775036902,0.003223454812541604,-0.025602849466460076,0.02811044454574585,0.2293113168713594
Electricity,moment,phase_aug_train,20261212,0.6757436865673981,0.3699939250946045,5,17.488649046048522,36123864,786456,0.5475358963012695,0.60610785143716,0.5934522747993469,0.5647783279418945,0.019556500114101386,0.004811702761799097,-0.04132952349526542,-0.04591637849807739,0.246041098035204
Electricity,patchtst,canonical_train,20261211,1.3131864701154046,0.4362443685531616,12,10.166378027061,409880,401688,0.3322029113769531,0.7345840999058315,0.7250828742980957,0.6642904877662659,0.027187015382306917,0.006309352349489927,-0.07029361213956564,-0.3928799629211426,0.23207226908754394
Electricity,patchtst,canonical_train,20261212,1.2856769851378296,0.4282069206237793,12,10.419637819053605,409880,401688,0.33305948972702026,0.7194353784833636,0.7101085782051086,0.6507135033607483,0.026194453831495983,0.006463741417974234,-0.0687218751226153,-0.3770490884780884,0.24675992328583266
Electricity,patchtst,phase_aug_train,20261211,0.41206759250123215,0.2984597086906433,6,5.108206047909334,409880,401688,0.7242979407310486,0.5307966879435948,0.51898193359375,0.5269240736961365,0.012725459448327975,0.003309805877506733,-0.003872614247458328,0.20531600713729858,0.26009323207120943
Electricity,patchtst,phase_aug_train,20261212,0.41682578245748153,0.24673132598400116,5,4.340848627034575,409880,401688,0.5919291377067566,0.7083064930779593,0.7034586668014526,0.6802103519439697,0.008696621573264045,0.002165371784940362,-0.028096141133989616,-0.11152952909469604,0.24898999763279883
JenaWeather,moment,canonical_train,20261211,0.24587713802242095,0.10928215086460114,4,13.922992994077504,36123864,786456,0.44445836544036865,0.46495599789278846,0.46320006251335144,0.4587055444717407,0.0017060840282023752,0.0004837870073970407,-0.006250453421047741,-0.018741697072982788,0.28356575608224033
JenaWeather,moment,canonical_train,20261212,0.25539704787946743,0.11239233613014221,5,17.30106318509206,36123864,786456,0.4400690495967865,0.4598696666104453,0.45797622203826904,0.4536629915237427,0.0018045766453724354,0.0005736720631830394,-0.00620667508670264,-0.017907172441482544,0.31789841936286545
