dataset,task,metric,seed,candidate_id,phase,method,bins,width,depth,dropout,learning_rate,weight_decay,model,activation,low_cardinality,smoothing,identity_effect_threshold,gate_entropy_weight,input_features,parameters,best_epoch,val_score,train_seconds,selected_numeric,members,selection_loss
adult,binclass,accuracy,0,base_000,backbone,schema_ple,16,256,3,0.1,0.001,0.0001,mlp,relu,32,20.0,0.01,0.001,159,172801,9,0.8539843390142792,5.701446534018032,,,0.3102226257324219
adult,binclass,accuracy,0,base_001,backbone,schema_ple,32,256,3,0.1,0.001,0.0001,mlp,relu,32,20.0,0.01,0.001,203,184065,9,0.8547520343927529,5.031552963075228,,,0.3031308054924011
adult,binclass,accuracy,0,base_002,backbone,schema_ple,64,256,3,0.1,0.001,0.0001,mlp,relu,32,20.0,0.01,0.001,263,199425,9,0.8555197297712268,5.856583974091336,,,0.30159276723861694
adult,binclass,accuracy,0,base_003,backbone,schema_ple,128,256,3,0.1,0.001,0.0001,mlp,relu,32,20.0,0.01,0.001,350,221697,9,0.8581298940580377,5.6847078069113195,,,0.29925039410591125
adult,binclass,accuracy,0,base_004,backbone,schema_ple,64,384,4,0.0,0.0003,0.0,mlp,gelu,32,20.0,0.01,0.001,263,545281,10,0.8542914171656687,6.201767208054662,,,0.30144572257995605
adult,binclass,accuracy,0,base_005,backbone,schema_ple,64,384,3,0.0,0.001,0.0001,resnet,gelu,32,20.0,0.01,0.001,263,1877761,9,0.8564409642253954,7.273414592957124,,,0.30258193612098694
adult,binclass,accuracy,0,base_006,backbone,schema_ple,64,384,3,0.0,0.0003,0.0001,resnet,relu,32,20.0,0.01,0.001,263,1877761,6,0.8569015814524796,6.253326463047415,,,0.30066385865211487
adult,binclass,accuracy,0,base_007,backbone,schema_ple,128,256,3,0.1,0.0003,0.0001,mlp,silu,32,20.0,0.01,0.001,350,221697,32,0.857362198679564,11.903724096016958,,,0.2988303005695343
adult,binclass,accuracy,0,base_008,backbone,schema_ple,64,128,4,0.2,0.0003,0.0001,resnet,relu,32,20.0,0.01,0.001,263,298881,9,0.8538307999385844,8.440386638976634,,,0.3021044433116913
adult,binclass,accuracy,0,base_009,backbone,schema_ple,16,384,4,0.0,0.001,1e-05,mlp,relu,32,20.0,0.01,0.001,159,505345,6,0.8572086596038692,4.754758266033605,,,0.31059154868125916
adult,binclass,accuracy,0,base_010,backbone,schema_ple,32,384,3,0.2,0.001,0.0,mlp,silu,32,20.0,0.01,0.001,203,374401,15,0.8541378780899739,6.928674052935094,,,0.3025922477245331
adult,binclass,accuracy,0,base_011,backbone,schema_ple,16,512,3,0.1,0.001,1e-05,mlp,relu,32,20.0,0.01,0.001,159,607745,9,0.8536772608628896,5.538503519957885,,,0.3096795082092285
adult,binclass,accuracy,0,base_012,backbone,schema_ple,64,512,3,0.0,0.0003,0.0,resnet,silu,32,20.0,0.01,0.001,263,3290113,9,0.8549055734684478,7.180847531068139,,,0.30138421058654785
adult,binclass,accuracy,0,base_013,backbone,schema_ple,64,384,4,0.1,0.001,0.0,resnet,gelu,32,20.0,0.01,0.001,263,2469505,9,0.8561338860740059,8.903539494029246,,,0.30279210209846497
adult,binclass,accuracy,0,base_014,backbone,schema_ple,16,512,3,0.2,0.001,0.0001,resnet,relu,32,20.0,0.01,0.001,159,3236865,6,0.8504529402732995,6.70869831496384,,,0.3133127689361572
adult,binclass,accuracy,0,base_015,backbone,schema_ple,64,512,3,0.2,0.001,0.0,mlp,relu,32,20.0,0.01,0.001,263,660993,4,0.8532166436358053,4.381290911929682,,,0.30199646949768066
adult,binclass,accuracy,0,base_016,backbone,schema_ple,16,512,3,0.0,0.001,1e-05,mlp,silu,32,20.0,0.01,0.001,159,607745,22,0.8542914171656687,8.451251912978478,,,0.3077571392059326
adult,binclass,accuracy,0,base_017,backbone,schema_ple,32,128,2,0.2,0.001,1e-05,resnet,silu,32,20.0,0.01,0.001,203,158849,4,0.8562874251497006,6.218811042024754,,,0.3028700649738312
adult,binclass,accuracy,0,base_018,backbone,schema_ple,128,384,2,0.0,0.001,0.0001,resnet,gelu,32,20.0,0.01,0.001,350,1319425,19,0.8610471364962383,15.127729953965172,,,0.29707205295562744
adult,binclass,accuracy,0,base_019,backbone,schema_ple,32,512,3,0.2,0.001,0.0,mlp,gelu,32,20.0,0.01,0.001,203,630273,9,0.8555197297712268,8.630301124067046,,,0.3034430742263794
adult,binclass,accuracy,0,base_020,backbone,schema_ple,128,384,3,0.2,0.0003,1e-05,resnet,relu,32,20.0,0.01,0.001,350,1911169,6,0.8584369722094273,6.893703804002143,,,0.29879289865493774
adult,binclass,accuracy,0,base_021,backbone,schema_ple,64,256,2,0.0,0.001,0.0001,resnet,gelu,32,20.0,0.01,0.001,263,595201,9,0.8555197297712268,6.399445508024655,,,0.30249711871147156
adult,binclass,accuracy,0,base_022,backbone,schema_ple,16,384,2,0.2,0.0003,0.0001,resnet,gelu,32,20.0,0.01,0.001,159,1246081,14,0.8552126516198373,8.044319789973088,,,0.30892953276634216
adult,binclass,accuracy,0,base_023,backbone,schema_ple,32,512,4,0.0,0.001,0.0,mlp,gelu,32,20.0,0.01,0.001,203,892929,9,0.8550591125441425,5.584965500980616,,,0.3041256368160248
adult,binclass,accuracy,0,semantic_00_000,semantic,gated_ple,128,985,2,0.0,0.001,0.0001,gated,gelu,32,20.0,0.01,0.0,350,1318918,6,0.8588975894365116,6.2475218350300565,,schema:0.5128;numeric_ple:0.4872,0.301157146692276
adult,binclass,accuracy,0,semantic_00_001,semantic,gated_ple,128,985,2,0.0,0.001,0.0001,gated,gelu,32,20.0,0.01,0.001,350,1318918,4,0.8569015814524796,5.7039725470822304,,schema:0.5066;numeric_ple:0.4934,0.30129000544548035
adult,binclass,accuracy,0,semantic_00_002,semantic,numeric_identity,128,384,2,0.0,0.001,0.0001,resnet,gelu,8,20.0,0.01,0.001,350,1319425,19,0.8601259020420697,9.638439184986055,,,0.29658210277557373
adult,binclass,accuracy,0,semantic_00_003,semantic,numeric_identity,128,383,2,0.0,0.001,0.0001,resnet,gelu,32,20.0,0.01,0.001,366,1319053,19,0.8618148318747121,9.65997143893037,2,,0.29791590571403503
adult,binclass,accuracy,0,semantic_00_004,semantic,numeric_identity,128,362,2,0.0,0.001,0.0001,resnet,gelu,128,20.0,0.01,0.001,736,1319853,7,0.8670351604483341,6.1528077309485525,0;2;3;4;5,,0.28213587403297424
adult,binclass,accuracy,0,semantic_00_005,semantic,diagnostic_residual,128,370,2,0.0,0.001,0.0001,resnet,gelu,32,20.0,0.001,0.001,585,1316831,15,0.8584369722094273,9.233429365092888,,,0.29669952392578125
adult,binclass,accuracy,0,semantic_00_006,semantic,diagnostic_residual,128,370,2,0.0,0.001,0.0001,resnet,gelu,32,20.0,0.01,0.001,585,1316831,15,0.8584369722094273,10.245649858028628,,,0.29669952392578125
adult,binclass,accuracy,0,semantic_00_007,semantic,diagnostic_residual,128,354,2,0.0,0.001,0.0001,resnet,gelu,128,20.0,0.001,0.001,882,1319713,11,0.8719484108705665,8.61343503696844,3;4;5,,0.2734096944332123
adult,binclass,accuracy,0,semantic_00_008,semantic,diagnostic_residual,128,359,2,0.0,0.001,0.0001,resnet,gelu,128,20.0,0.01,0.001,789,1319326,11,0.8710271764163979,8.328566050971858,3;4,,0.2755530774593353
adult,binclass,accuracy,0,semantic_00_009,semantic,cat_target,128,370,2,0.0,0.001,0.0001,resnet,gelu,32,1.0,0.01,0.001,590,1318681,11,0.8581298940580377,7.865866007981822,,,0.2955498695373535
adult,binclass,accuracy,0,semantic_00_010,semantic,cat_target,128,370,2,0.0,0.001,0.0001,resnet,gelu,32,20.0,0.01,0.001,589,1318311,13,0.8584369722094273,8.425587250036187,,,0.29666462540626526
adult,binclass,accuracy,0,semantic_00_011,semantic,cat_target,128,370,2,0.0,0.001,0.0001,resnet,gelu,32,100.0,0.01,0.001,586,1317201,19,0.8601259020420697,10.61027196701616,,,0.2963629961013794
adult,binclass,accuracy,0,semantic_00_012,semantic,cat_residual,128,370,2,0.0,0.001,0.0001,resnet,gelu,32,1.0,0.01,0.001,588,1317941,15,0.8588975894365116,8.849830750958063,,,0.2974199950695038
