dataset,task,metric,role,seed,candidate_id,phase,method,bins,width,depth,dropout,learning_rate,weight_decay,model,activation,low_cardinality,smoothing,identity_effect_threshold,gate_entropy_weight,input_features,parameters,best_epoch,val_score,test_score,train_seconds,selected_numeric,members,ensemble_members
black-friday,regression,rmse,fixed_baseline,0,base_000,backbone,schema_ple,16,256,3,0.1,0.001,0.0001,mlp,relu,32,20.0,0.01,0.001,60,147457,20,0.6927257704530412,0.6941751837730408,19.884510901058093,,,base_000
black-friday,regression,rmse,tuned_backbone,0,base_010,backbone,schema_ple,32,384,3,0.2,0.001,0.0,mlp,silu,32,20.0,0.01,0.001,66,321793,75,0.6898666335573864,0.692672610282898,69.59622075792868,,,base_010
black-friday,regression,rmse,best_semantic,0,semantic_00_003,semantic,numeric_identity,32,369,3,0.2,0.001,0.0,mlp,silu,32,20.0,0.01,0.001,128,321031,57,0.6884844404641903,0.6903558969497681,52.2309811830055,0;1;2;3,,semantic_00_003
black-friday,regression,rmse,best_overall,0,semantic_00_003,semantic,numeric_identity,32,369,3,0.2,0.001,0.0,mlp,silu,32,20.0,0.01,0.001,128,321031,57,0.6884844404641903,0.6903558969497681,52.2309811830055,0;1;2;3,,semantic_00_003
black-friday,regression,rmse,hp_ensemble,0,,,,,0,,,,,ensemble,,,,,,495,4815192,0,0.6829469136261253,0.6847366955654515,217.29245477588847,,,semantic_00_003;base_013;semantic_00_019;base_018;base_019
black-friday,regression,rmse,fixed_baseline,1,base_000,backbone,schema_ple,16,256,3,0.1,0.001,0.0001,mlp,relu,32,20.0,0.01,0.001,60,147457,25,0.6923477204829602,0.6939847469329834,21.403048855951056,,,base_000
black-friday,regression,rmse,tuned_backbone,1,base_010,backbone,schema_ple,32,384,3,0.2,0.001,0.0,mlp,silu,32,20.0,0.01,0.001,66,321793,79,0.6885515580313424,0.6914570331573486,56.02934494195506,,,base_010
black-friday,regression,rmse,best_semantic,1,semantic_00_003,semantic,numeric_identity,32,369,3,0.2,0.001,0.0,mlp,silu,32,20.0,0.01,0.001,128,321031,60,0.6895421823543302,0.6911498308181763,43.520681643043645,0;1;2;3,,semantic_00_003
black-friday,regression,rmse,best_overall,1,semantic_00_003,semantic,numeric_identity,32,369,3,0.2,0.001,0.0,mlp,silu,32,20.0,0.01,0.001,128,321031,60,0.6895421823543302,0.6911498308181763,43.520681643043645,0;1;2;3,,semantic_00_003
black-friday,regression,rmse,hp_ensemble,1,,,,,0,,,,,ensemble,,,,,,494,4814828,0,0.6839811911671454,0.6853956030747419,168.44426183903124,,,semantic_00_003;base_013;semantic_00_019;base_018;base_019
black-friday,regression,rmse,fixed_baseline,2,base_000,backbone,schema_ple,16,256,3,0.1,0.001,0.0001,mlp,relu,32,20.0,0.01,0.001,60,147457,19,0.6927074873180672,0.6947259306907654,18.364801093935966,,,base_000
black-friday,regression,rmse,tuned_backbone,2,base_010,backbone,schema_ple,32,384,3,0.2,0.001,0.0,mlp,silu,32,20.0,0.01,0.001,66,321793,77,0.6909875624384298,0.6928938627243042,52.643241661950015,,,base_010
black-friday,regression,rmse,best_semantic,2,semantic_00_003,semantic,numeric_identity,32,369,3,0.2,0.001,0.0,mlp,silu,32,20.0,0.01,0.001,128,321031,60,0.6887944200001499,0.6910580396652222,42.79117527906783,0;1;2;3,,semantic_00_003
black-friday,regression,rmse,best_overall,2,semantic_00_003,semantic,numeric_identity,32,369,3,0.2,0.001,0.0,mlp,silu,32,20.0,0.01,0.001,128,321031,60,0.6887944200001499,0.6910580396652222,42.79117527906783,0;1;2;3,,semantic_00_003
black-friday,regression,rmse,hp_ensemble,2,,,,,0,,,,,ensemble,,,,,,494,4814828,0,0.6836695441139895,0.6853368230935715,162.8425402721623,,,semantic_00_003;base_013;semantic_00_019;base_018;base_019
black-friday,regression,rmse,fixed_baseline,3,base_000,backbone,schema_ple,16,256,3,0.1,0.001,0.0001,mlp,relu,32,20.0,0.01,0.001,60,147457,19,0.6925276336776065,0.6944274306297302,18.387325301999226,,,base_000
black-friday,regression,rmse,tuned_backbone,3,base_010,backbone,schema_ple,32,384,3,0.2,0.001,0.0,mlp,silu,32,20.0,0.01,0.001,66,321793,62,0.6907025956604151,0.6932188868522644,44.70202742505353,,,base_010
black-friday,regression,rmse,best_semantic,3,semantic_00_003,semantic,numeric_identity,32,369,3,0.2,0.001,0.0,mlp,silu,32,20.0,0.01,0.001,128,321031,68,0.6888523066685366,0.6918649673461914,48.80173241801094,0;1;2;3,,semantic_00_003
black-friday,regression,rmse,best_overall,3,semantic_00_003,semantic,numeric_identity,32,369,3,0.2,0.001,0.0,mlp,silu,32,20.0,0.01,0.001,128,321031,68,0.6888523066685366,0.6918649673461914,48.80173241801094,0;1;2;3,,semantic_00_003
black-friday,regression,rmse,hp_ensemble,3,,,,,0,,,,,ensemble,,,,,,493,4814464,0,0.682999797742923,0.6848992189379075,161.73542014008854,,,semantic_00_003;base_013;semantic_00_019;base_018;base_019
black-friday,regression,rmse,fixed_baseline,4,base_000,backbone,schema_ple,16,256,3,0.1,0.001,0.0001,mlp,relu,32,20.0,0.01,0.001,60,147457,27,0.6930215165386464,0.694462776184082,22.905570707982406,,,base_000
black-friday,regression,rmse,tuned_backbone,4,base_010,backbone,schema_ple,32,384,3,0.2,0.001,0.0,mlp,silu,32,20.0,0.01,0.001,66,321793,67,0.6915342698620819,0.6931162476539612,50.87109990196768,,,base_010
black-friday,regression,rmse,best_semantic,4,semantic_00_003,semantic,numeric_identity,32,369,3,0.2,0.001,0.0,mlp,silu,32,20.0,0.01,0.001,128,321031,61,0.6890684288080173,0.6915451288223267,44.198681592941284,0;1;2;3,,semantic_00_003
