dataset,task,model,seed,bins,representation,blend_alpha_local,train_rows,val_rows,test_rows,input_features,basis_features,parameters,width,best_epoch,val_loss,val_score,test_loss,test_score,train_seconds
adult,binclass,mlp,4,32,cumulative_ple,,26048,6513,16281,203,96,184065,256,15,0.30356585209735254,0.8585905112851221,0.3057108396536292,0.858731036177139,4.436679885955527
adult,binclass,mlp,4,32,local_ple_energy,,26048,6513,16281,203,96,184065,256,7,0.3163166604084265,0.8515277138031629,0.31541357285612504,0.8549843375714022,2.6848528790287673
adult,binclass,mlp,4,32,energy_basis_blend,0.05,26048,6513,16281,203,96,368130,256,15,0.30354425881862945,0.857976354982343,0.3055858868719761,0.858731036177139,7.121532764984295
adult,binclass,mlp,4,32,energy_basis_select,0.0,26048,6513,16281,203,96,368130,256,15,0.30356585209735254,0.8585905112851221,0.3057108396536292,0.858731036177139,7.121532764984295
black-friday,regression,mlp,4,32,cumulative_ple,,100000,25000,25000,66,44,148993,256,19,0.4840012788772583,0.6948115524590506,0.48884835839271545,0.6982819959573447,16.795646347105503
black-friday,regression,mlp,4,32,local_ple_energy,,100000,25000,25000,66,44,148993,256,14,0.48104387521743774,0.6926854973030174,0.48655545711517334,0.6966424660369341,13.04974364489317
black-friday,regression,mlp,4,32,energy_basis_blend,0.6000000000000001,100000,25000,25000,66,44,297986,256,19,0.47920143604278564,0.6913577173714671,0.4843525290489197,0.6950635955090476,29.845389991998672
black-friday,regression,mlp,4,32,energy_basis_select,1.0,100000,25000,25000,66,44,297986,256,19,0.48104387521743774,0.6926854973030174,0.48655545711517334,0.6966424660369341,29.845389991998672
california,regression,mlp,4,32,cumulative_ple,,13209,3303,4128,262,254,199169,256,28,0.17509599030017853,0.48564288271704115,0.17517231404781342,0.48574872287224125,4.322529976954684
california,regression,mlp,4,32,local_ple_energy,,13209,3303,4128,262,254,199169,256,10,0.1857924610376358,0.5002567794404378,0.1827988475561142,0.4962101575066207,1.812250493094325
california,regression,mlp,4,32,energy_basis_blend,0.4,13209,3303,4128,262,254,398338,256,28,0.16543366014957428,0.4720531105542065,0.1638040691614151,0.4697224134894995,6.134780470049009
california,regression,mlp,4,32,energy_basis_select,0.0,13209,3303,4128,262,254,398338,256,28,0.17509599030017853,0.48564288271704115,0.17517231404781342,0.48574872287224125,6.134780470049009
churn,binclass,mlp,4,32,cumulative_ple,,6400,1600,2000,171,158,175873,256,14,0.3396749723072118,0.8625,0.3498767713273547,0.851,1.1373722711578012
churn,binclass,mlp,4,32,local_ple_energy,,6400,1600,2000,171,158,175873,256,6,0.3743516331148497,0.84875,0.37885734974942104,0.8485,0.6514799820724875
churn,binclass,mlp,4,32,energy_basis_blend,0.0,6400,1600,2000,171,158,351746,256,14,0.3396749723072118,0.8625,0.3498767713273547,0.851,1.7888522532302886
churn,binclass,mlp,4,32,energy_basis_select,0.0,6400,1600,2000,171,158,351746,256,14,0.3396749723072118,0.8625,0.3498767713273547,0.851,1.7888522532302886
diamond,regression,mlp,4,32,cumulative_ple,,34521,8631,10788,193,167,181505,256,28,0.01772323250770569,0.1328154700214066,0.018835557624697685,0.13691985411941143,9.620717018842697
diamond,regression,mlp,4,32,local_ple_energy,,34521,8631,10788,193,167,181505,256,17,0.01990480162203312,0.14075250060675515,0.021230150014162064,0.14536295679525324,9.01544200303033
diamond,regression,mlp,4,32,energy_basis_blend,0.2,34521,8631,10788,193,167,363010,256,28,0.017574815079569817,0.13225819905071656,0.018773997202515602,0.13669592591604207,18.636159021873027
diamond,regression,mlp,4,32,energy_basis_select,0.0,34521,8631,10788,193,167,363010,256,28,0.01772323250770569,0.1328154700214066,0.018835557624697685,0.13691985411941143,18.636159021873027
