dataset,task,model,seed,representation,top_k,utility_columns,utility_statistics,selected_values,input_features,parameters,width,best_epoch,val_score,test_score,train_seconds,selected_numeric,members,activation,test_loss,test_auc,test_mae
adult,binclass,mlp,0,baseline_ple,0,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.01019768661167703},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0033561153277103964},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027668792410538424},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.018287441471217226},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.010883038215533186}}",{},350,430849,384,6,0.8572086596038692,0.8616792580308335,5.16376146604307,,,gelu,0.3022345632470673,0.9135398926210365,nan
adult,binclass,mlp,0,top1,1,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.01019768661167703},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0033561153277103964},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027668792410538424},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.018287441471217226},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.010883038215533186}}","{""3"":[0.0],""4"":[0.0]}",352,431617,384,4,0.8564409642253954,0.8613107302991216,4.846076853107661,3;4,,gelu,0.3020173767053699,0.9132778958122538,nan
adult,binclass,mlp,0,top2,2,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.01019768661167703},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0033561153277103964},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027668792410538424},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.018287441471217226},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.010883038215533186}}","{""3"":[0.0,15024.0],""4"":[0.0,1902.0]}",354,430493,383,6,0.8578228159066482,0.8617406793194521,5.4672968978993595,3;4,,gelu,0.30199403617506465,0.9138664163373933,nan
adult,binclass,mlp,0,top4,4,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.01019768661167703},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0033561153277103964},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027668792410538424},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.018287441471217226},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.010883038215533186}}","{""3"":[0.0,15024.0,7688.0,7298.0],""4"":[0.0,1902.0,1977.0,1887.0]}",358,430133,382,6,0.8595117457392907,0.8621706283397825,5.070672661997378,3;4,,gelu,0.2997137829700176,0.914641711522904,nan
adult,binclass,mlp,0,top8,8,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.01019768661167703},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0033561153277103964},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027668792410538424},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.018287441471217226},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.010883038215533186}}","{""3"":[0.0,15024.0,7688.0,7298.0,99999.0,3103.0,5178.0,4386.0],""4"":[0.0,1902.0,1977.0,1887.0,1848.0,2415.0,1485.0,1602.0]}",366,431293,381,11,0.8682634730538922,0.8667772249861803,6.313748321030289,3;4,,gelu,0.2869347326063714,0.9212733149454647,nan
adult,binclass,mlp,0,top16,16,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.01019768661167703},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0033561153277103964},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027668792410538424},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.018287441471217226},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.010883038215533186}}","{""3"":[0.0,15024.0,7688.0,7298.0,99999.0,3103.0,5178.0,4386.0,5013.0,3325.0,2174.0,8614.0,4650.0,4064.0,10520.0,3137.0],""4"":[0.0,1902.0,1977.0,1887.0,1848.0,2415.0,1485.0,1602.0,1590.0,1876.0,1740.0,1672.0,1669.0,1719.0,1741.0,1564.0]}",382,431677,378,9,0.8671886995240289,0.8716909280756711,5.724905829178169,3;4,,gelu,0.28157113089597824,0.9242543075265431,nan
adult,binclass,mlp,0,top32,32,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.01019768661167703},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0033561153277103964},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027668792410538424},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.018287441471217226},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.010883038215533186}}","{""3"":[0.0,15024.0,7688.0,7298.0,99999.0,3103.0,5178.0,4386.0,5013.0,3325.0,2174.0,8614.0,4650.0,4064.0,10520.0,3137.0,27828.0,594.0,14084.0,20051.0,2829.0,3908.0,13550.0,1055.0,6849.0,14344.0,2176.0,3464.0,4787.0,2885.0,9386.0,2597.0],""4"":[0.0,1902.0,1977.0,1887.0,1848.0,2415.0,1485.0,1602.0,1590.0,1876.0,1740.0,1672.0,1669.0,1719.0,1741.0,1564.0,1980.0,1408.0,1579.0,2001.0,2258.0,2051.0,1974.0,2179.0,1504.0,2002.0,2339.0,2377.0,1721.0,1628.0,1762.0,2559.0]}",414,430361,371,6,0.8699524028865346,0.8714452429211965,4.994434311054647,3;4,,gelu,0.2813966144274627,0.9246256822528631,nan
adult,binclass,mlp,0,top64,64,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.01019768661167703},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0033561153277103964},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027668792410538424},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.018287441471217226},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.010883038215533186}}","{""3"":[0.0,15024.0,7688.0,7298.0,99999.0,3103.0,5178.0,4386.0,5013.0,3325.0,2174.0,8614.0,4650.0,4064.0,10520.0,3137.0,27828.0,594.0,14084.0,20051.0,2829.0,3908.0,13550.0,1055.0,6849.0,14344.0,2176.0,3464.0,4787.0,2885.0,9386.0,2597.0,3411.0,2407.0,1506.0,3674.0,4101.0,4865.0,2202.0,3781.0,3942.0,4416.0,2463.0,2635.0,2907.0,6497.0,2105.0,2354.0,2964.0,5455.0,7430.0,10605.0,914.0,1151.0,2580.0,2977.0,3471.0,4508.0,25236.0,1797.0,1831.0,4934.0,6418.0,3273.0],""4"":[0.0,1902.0,1977.0,1887.0,1848.0,2415.0,1485.0,1602.0,1590.0,1876.0,1740.0,1672.0,1669.0,1719.0,1741.0,1564.0,1980.0,1408.0,1579.0,2001.0,2258.0,2051.0,1974.0,2179.0,1504.0,2002.0,2339.0,2377.0,1721.0,1628.0,1762.0,2559.0,625.0,2444.0,2824.0,1617.0,1651.0,1340.0,2042.0,2205.0,1594.0,2392.0,880.0,1092.0,1380.0,1573.0,2174.0,2206.0,2246.0,2603.0,653.0,1258.0,1668.0,1726.0,1825.0,2231.0,2267.0,2547.0,213.0,323.0,419.0,810.0,1138.0,1735.0]}",478,430801,359,6,0.8708736373407032,0.8708924513236288,5.248789325822145,3;4,,gelu,0.278977723335129,0.926276262148194,nan
adult,binclass,mlp,0,full,-1,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.01019768661167703},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0033561153277103964},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027668792410538424},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.018287441471217226},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.010883038215533186}}",{},554,430561,345,6,0.8688776293566712,0.8729193538480438,5.524220250081271,3;4,,gelu,0.27597152831155924,0.9273773805797427,nan
adult,binclass,resnet,0,baseline_ple,0,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.01019768661167703},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0033561153277103964},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027668792410538424},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.018287441471217226},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.010883038215533186}}",{},350,1319425,384,19,0.8601259020420697,0.8616792580308335,9.627049869857728,,,gelu,0.2996808489250813,0.914268967220289,nan
