dataset,task,model,seed,representation,selected_columns,utility_statistics,map_metadata,reused_baseline,input_features,parameters,width,best_epoch,val_score,test_score,train_seconds,selected_numeric,members,activation,test_loss,test_auc,test_mae
california,regression,mlp,0,baseline_ple,,"{""1"":{""cardinality"":52,""fold_wins"":0,""relative_gain"":-0.0064045660015295755}}",{},0,950,661249,384,23,0.48003788555690363,0.47278133034706116,6.807176423957571,,,gelu,0.2235221941781275,nan,0.3139339125100946
california,regression,mlp,0,utility_identity,,"{""1"":{""cardinality"":52,""fold_wins"":0,""relative_gain"":-0.0064045660015295755}}",{},1,950,661249,384,23,0.48003788555690363,0.47278133034706116,6.807176423957571,,,gelu,0.2235221941781275,nan,0.3139339125100946
california,regression,mlp,0,residual_map_a0,,"{""1"":{""cardinality"":52,""fold_wins"":0,""relative_gain"":-0.0064045660015295755}}","{""alpha"":0.0,""column_metadata"":{},""columns"":[]}",1,950,661249,384,23,0.48003788555690363,0.47278133034706116,6.807176423957571,,,gelu,0.2235221941781275,nan,0.3139339125100946
california,regression,mlp,0,residual_map_a5,,"{""1"":{""cardinality"":52,""fold_wins"":0,""relative_gain"":-0.0064045660015295755}}","{""alpha"":5.0,""column_metadata"":{},""columns"":[]}",1,950,661249,384,23,0.48003788555690363,0.47278133034706116,6.807176423957571,,,gelu,0.2235221941781275,nan,0.3139339125100946
california,regression,mlp,0,residual_map_a20,,"{""1"":{""cardinality"":52,""fold_wins"":0,""relative_gain"":-0.0064045660015295755}}","{""alpha"":20.0,""column_metadata"":{},""columns"":[]}",1,950,661249,384,23,0.48003788555690363,0.47278133034706116,6.807176423957571,,,gelu,0.2235221941781275,nan,0.3139339125100946
california,regression,mlp,0,residual_map_a100,,"{""1"":{""cardinality"":52,""fold_wins"":0,""relative_gain"":-0.0064045660015295755}}","{""alpha"":100.0,""column_metadata"":{},""columns"":[]}",1,950,661249,384,23,0.48003788555690363,0.47278133034706116,6.807176423957571,,,gelu,0.2235221941781275,nan,0.3139339125100946
california,regression,resnet,0,baseline_ple,,"{""1"":{""cardinality"":52,""fold_wins"":0,""relative_gain"":-0.0064045660015295755}}",{},0,950,1549825,384,31,0.4714555287367581,0.4825955033302307,8.237210065126419,,,gelu,0.2328984384762438,nan,0.31750994179449027
california,regression,resnet,0,utility_identity,,"{""1"":{""cardinality"":52,""fold_wins"":0,""relative_gain"":-0.0064045660015295755}}",{},1,950,1549825,384,31,0.4714555287367581,0.4825955033302307,8.237210065126419,,,gelu,0.2328984384762438,nan,0.31750994179449027
california,regression,resnet,0,residual_map_a0,,"{""1"":{""cardinality"":52,""fold_wins"":0,""relative_gain"":-0.0064045660015295755}}","{""alpha"":0.0,""column_metadata"":{},""columns"":[]}",1,950,1549825,384,31,0.4714555287367581,0.4825955033302307,8.237210065126419,,,gelu,0.2328984384762438,nan,0.31750994179449027
california,regression,resnet,0,residual_map_a5,,"{""1"":{""cardinality"":52,""fold_wins"":0,""relative_gain"":-0.0064045660015295755}}","{""alpha"":5.0,""column_metadata"":{},""columns"":[]}",1,950,1549825,384,31,0.4714555287367581,0.4825955033302307,8.237210065126419,,,gelu,0.2328984384762438,nan,0.31750994179449027
