dataset,task,model,seed,representation,selected_columns,utility_statistics,map_metadata,reused_baseline,input_features,parameters,width,best_epoch,val_score,test_score,train_seconds,selected_numeric,members,activation,test_loss,test_auc,test_mae,bins,train_rows,val_rows,test_rows,baseline_score,baseline_loss,primary_gain,loss_gain_pct,win
adult,binclass,mlp,0,baseline_ple,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.01019768661167703},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0033561153277103964},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027668792410538424},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.018287441471217226},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.010883038215533186}}",{},0,350,430849,384,6,0.8572086596038692,0.8616792580308335,5.474558949004859,,,gelu,0.3022345632470673,0.9135398926210364,,,,,,0.8616792580308335,0.3022345632470673,0.0,0.0,False
adult,binclass,mlp,0,residual_map_a0,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.01019768661167703},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0033561153277103964},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027668792410538424},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.018287441471217226},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.010883038215533186}}","{""alpha"":0.0,""column_metadata"":{""3"":{""cardinality"":116,""scale"":0.07094506806434984,""test_unseen_rate"":0.0004913703089490795,""val_unseen_rate"":0.0006141563027790564},""4"":{""cardinality"":88,""scale"":0.05851484495160405,""test_unseen_rate"":0.0007370554634236193,""val_unseen_rate"":0.0006141563027790564}},""columns"":[3,4]}",0,352,431617,384,6,0.8713342545677875,0.8747619925066028,4.691766744013876,3;4,,gelu,0.274490887423137,0.928576523036796,,,,,,0.8616792580308335,0.3022345632470673,1.3082734475769353,9.17951789691596,True
adult,binclass,mlp,0,residual_map_a100,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.01019768661167703},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0033561153277103964},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027668792410538424},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.018287441471217226},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.010883038215533186}}","{""alpha"":100.0,""column_metadata"":{""3"":{""cardinality"":116,""scale"":0.019791308830507073,""test_unseen_rate"":0.0004913703089490795,""val_unseen_rate"":0.0006141563027790564},""4"":{""cardinality"":88,""scale"":0.011898179470207331,""test_unseen_rate"":0.0007370554634236193,""val_unseen_rate"":0.0006141563027790564}},""columns"":[3,4]}",0,352,431617,384,6,0.8707200982650084,0.8731650390025183,4.611428636824712,3;4,,gelu,0.2767531993482094,0.9272387083661876,,,,,,0.8616792580308335,0.3022345632470673,1.1485780971684845,8.430989369679633,True
adult,binclass,mlp,0,residual_map_a20,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.01019768661167703},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0033561153277103964},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027668792410538424},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.018287441471217226},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.010883038215533186}}","{""alpha"":20.0,""column_metadata"":{""3"":{""cardinality"":116,""scale"":0.042288333602045036,""test_unseen_rate"":0.0004913703089490795,""val_unseen_rate"":0.0006141563027790564},""4"":{""cardinality"":88,""scale"":0.027919591100390054,""test_unseen_rate"":0.0007370554634236193,""val_unseen_rate"":0.0006141563027790564}},""columns"":[3,4]}",0,352,431617,384,6,0.8717948717948718,0.8735949880228487,4.71456186985597,3;4,,gelu,0.2761288582247003,0.9280543903702267,,,,,,0.8616792580308335,0.3022345632470673,1.191572999201529,8.637564394323237,True
adult,binclass,mlp,0,residual_map_a5,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.01019768661167703},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0033561153277103964},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027668792410538424},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.018287441471217226},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.010883038215533186}}","{""alpha"":5.0,""column_metadata"":{""3"":{""cardinality"":116,""scale"":0.056995697244251735,""test_unseen_rate"":0.0004913703089490795,""val_unseen_rate"":0.0006141563027790564},""4"":{""cardinality"":88,""scale"":0.04317679934276157,""test_unseen_rate"":0.0007370554634236193,""val_unseen_rate"":0.0006141563027790564}},""columns"":[3,4]}",0,352,431617,384,6,0.8711807154920927,0.8741477796204165,4.5919974280986935,3;4,,gelu,0.275399204142567,0.9281827228054944,,,,,,0.8616792580308335,0.3022345632470673,1.2468521589583004,8.87898419565046,True
adult,binclass,mlp,0,utility_identity,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.01019768661167703},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.0033561153277103964},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027668792410538424},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.018287441471217226},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.010883038215533186}}",{},0,554,430561,345,6,0.8688776293566712,0.8729193538480438,5.252251852070913,3;4,,gelu,0.2759715283115592,0.9273773805797428,,,,,,0.8616792580308335,0.3022345632470673,1.1240095817210305,8.689619960520176,True
adult,binclass,mlp,1,baseline_ple,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.008582651031315296},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.003506499821401756},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027499698005552017},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017893877469805152},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008277867058827862}}",{},0,350,430849,384,12,0.8575157377552587,0.8579939807137154,6.374755325959995,,,gelu,0.3023285837055621,0.9139564529103078,,,,,,0.8579939807137154,0.3023285837055621,0.0,0.0,False
adult,binclass,mlp,1,residual_map_a0,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.008582651031315296},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.003506499821401756},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027499698005552017},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017893877469805152},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008277867058827862}}","{""alpha"":0.0,""column_metadata"":{""3"":{""cardinality"":116,""scale"":0.07029190801442155,""test_unseen_rate"":0.0004913703089490795,""val_unseen_rate"":0.0006141563027790564},""4"":{""cardinality"":88,""scale"":0.059263978387675824,""test_unseen_rate"":0.0007370554634236193,""val_unseen_rate"":0.0006141563027790564}},""columns"":[3,4]}",0,352,431617,384,7,0.8721019499462613,0.8741477796204165,4.907002008985728,3;4,,gelu,0.2754943798064575,0.92916021345317,,,,,,0.8579939807137154,0.3023285837055621,1.61537989067011,8.8758408385356,True
adult,binclass,mlp,1,residual_map_a100,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.008582651031315296},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.003506499821401756},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027499698005552017},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017893877469805152},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008277867058827862}}","{""alpha"":100.0,""column_metadata"":{""3"":{""cardinality"":116,""scale"":0.019419677033796195,""test_unseen_rate"":0.0004913703089490795,""val_unseen_rate"":0.0006141563027790564},""4"":{""cardinality"":88,""scale"":0.011640131015015442,""test_unseen_rate"":0.0007370554634236193,""val_unseen_rate"":0.0006141563027790564}},""columns"":[3,4]}",0,352,431617,384,7,0.8701059419622293,0.8745163073521283,5.037569571053609,3;4,,gelu,0.2778103141892209,0.9283217400268188,,,,,,0.8579939807137154,0.3023285837055621,1.652232663841291,8.109808611487269,True
adult,binclass,mlp,1,residual_map_a20,3;4,"{""0"":{""cardinality"":73,""fold_wins"":0,""relative_gain"":-0.008582651031315296},""2"":{""cardinality"":16,""fold_wins"":0,""relative_gain"":-0.003506499821401756},""3"":{""cardinality"":116,""fold_wins"":5,""relative_gain"":0.027499698005552017},""4"":{""cardinality"":88,""fold_wins"":5,""relative_gain"":0.017893877469805152},""5"":{""cardinality"":93,""fold_wins"":0,""relative_gain"":-0.008277867058827862}}","{""alpha"":20.0,""column_metadata"":{""3"":{""cardinality"":116,""scale"":0.041716661737997866,""test_unseen_rate"":0.0004913703089490795,""val_unseen_rate"":0.0006141563027790564},""4"":{""cardinality"":88,""scale"":0.02752072082524275,""test_unseen_rate"":0.0007370554634236193,""val_unseen_rate"":0.0006141563027790564}},""columns"":[3,4]}",0,352,431617,384,7,0.8713342545677875,0.8747619925066028,4.908053118968383,3;4,,gelu,0.2763927792495214,0.9286070300873956,,,,,,0.8579939807137154,0.3023285837055621,1.676801179288745,8.578680896841563,True
