dataset,column,states,selected,diagnostic_gain,fold_wins,basis,centered_rank,condition_number,minimum_coefficient_norm,weighted_reconstruction_mse
adult,0,73,0,-0.006095655395315924,0,ple,72,795.4323701100718,0.6696382018312703,2.62133474064799e-32
adult,0,73,0,-0.006095655395315924,0,identity,72,26.90172462251997,0.5616248360935898,2.430268457053066e-33
adult,0,73,0,-0.006095655395315924,0,support_gated_identity,72,549.7437923314998,5.258887741301702,1.6441346490767265e-30
adult,2,16,0,-0.00012397847400763887,1,ple,15,26.8219310470384,0.0036110993167165406,5.4986145403084265e-36
adult,2,16,0,-0.00012397847400763887,1,identity,15,13.354867458000916,0.009721523053171349,3.302222237509306e-37
adult,2,16,0,-0.00012397847400763887,1,support_gated_identity,15,19.63607222937778,0.012535442331903264,1.6123145082775856e-35
adult,3,116,1,0.027543413957915954,5,ple,115,10738.395561537984,23.04686506159746,2.2958340591930334e-30
adult,3,116,1,0.027543413957915954,5,identity,115,45.922369029343464,3.0131820007761014,4.869094665216632e-33
adult,3,116,1,0.027543413957915954,5,support_gated_identity,115,958.4625430650503,37.382821060600186,3.0988410717517507e-30
adult,4,88,1,0.015064108338888868,5,ple,87,474.0267622640336,4.342719246545834,1.2250702633787999e-31
adult,4,88,1,0.015064108338888868,5,identity,87,34.72113609673555,3.113755421954715,7.853276013168821e-33
adult,4,88,1,0.015064108338888868,5,support_gated_identity,87,722.3645593670633,37.003555782847236,2.6755872519072098e-31
adult,5,93,0,-0.008406477539479202,1,ple,92,676.0559581291718,1.454748439626574,6.352646212346939e-32
adult,5,93,0,-0.008406477539479202,1,identity,92,83.46199840475921,0.9857719199328013,4.6196009114792484e-33
adult,5,93,0,-0.008406477539479202,1,support_gated_identity,92,1747.8550709102537,12.449668167254881,1.247147146976384e-30
black-friday,0,21,0,-3.99697537262957e-05,3,ple,20,43.0037854158019,0.03662575668564314,6.02457433118778e-33
black-friday,0,21,0,-3.99697537262957e-05,3,identity,20,6.3449788902045885,0.05683839940228132,3.7188006591829e-35
black-friday,0,21,0,-3.99697537262957e-05,3,support_gated_identity,20,6.701409000384562,0.060063510999756924,1.2891896174688813e-32
black-friday,1,12,1,0.0013744729463571266,5,ple,11,43.01538849598655,0.3146473086590526,1.9144081155519496e-32
black-friday,1,12,1,0.0013744729463571266,5,identity,11,17.966239108490303,0.7162506633627945,9.313190434670778e-33
black-friday,1,12,1,0.0013744729463571266,5,support_gated_identity,11,21.650202677768416,0.8338740229071208,2.643027425023803e-31
black-friday,2,14,0,1.3601244215333894e-06,3,ple,13,20.90283280310239,0.0050424456405851305,1.3769812678524554e-35
black-friday,2,14,0,1.3601244215333894e-06,3,identity,13,6.435747089997099,0.010470014343498361,1.6558156101524275e-36
black-friday,2,14,0,1.3601244215333894e-06,3,support_gated_identity,13,6.653777943172429,0.010677923987754273,3.70437047121943e-36
black-friday,3,15,0,4.4310175893186095e-06,3,ple,14,23.94067190087402,0.011114352401817783,2.646410266558211e-34
black-friday,3,15,0,4.4310175893186095e-06,3,identity,14,6.909063394274465,0.020897759354336392,2.1640604168162852e-36
black-friday,3,15,0,4.4310175893186095e-06,3,support_gated_identity,14,7.237019382583577,0.021642772887664523,2.6483352422536726e-36
