experiment,intervention_class,dataset,task,model,optimizer,weight_decay,seed,representation,split_fingerprint,regularizer,rank,effective_rank,sigma_max,sigma_min_nonzero,condition_number,log_condition_number,trace_cov,logdet_nonzero_cov,max_variance,min_nonzero_variance,target_kappa,realized_block_kappa_mean,realized_block_kappa_max,categorical_cardinalities,categorical_entropy_mean,transform_seed,input_features,parameters,best_epoch,train_loss,val_loss,test_loss,val_metric,test_metric,first_gradient_norm,first_weight_norm,first_update_ratio,train_seconds
categorical_kappa,A,adult,binclass,mlp,AdamW,0.0001,0,categorical_kappa_1,cf26f38091e76190,standard,98,88.95184238677105,2.114945282691799,0.11488174339817823,18.409759637451124,1.2650481182807616,104.8286048930585,-4.231079743904931,4.020346722999055,0.0,1.0,1.0000000000000007,1.0000000000000009,9;16;7;15;6;5;42,1.3688505018527373,41000,100,157697,9,0.29642712004660676,0.3261492024388408,0.32553877580519264,0.8467680024566252,0.8506848473680978,0.05862098187208176,10.318203926086426,0.017330192029476166,3.417257604887709
categorical_kappa,A,adult,binclass,mlp,AdamW,0.0001,0,categorical_kappa_1000,cf26f38091e76190,standard,98,17.64482174787011,35.91539463700714,0.005505233786758384,6523.863659231628,3.8145048762397757,10829.513532342859,3.8363643782750163,668.0459641420719,0.0,1000.0,1000.0000000000063,1000.0000000000158,9;16;7;15;6;5;42,1.3688505018527373,41000,100,157697,9,0.31356792536086087,0.3361327130481872,0.33615965993645563,0.8401658222017504,0.8422701308273448,0.3590463697910309,10.810443878173828,0.01734744757413864,3.5198693179991096
categorical_kappa,A,adult,binclass,mlp,AdamW,0.0001,1,categorical_kappa_1,cf26f38091e76190,standard,98,88.95184238677105,2.114945282691799,0.11488174339817823,18.409759637451124,1.2650481182807616,104.8286048930585,-4.231079743904931,4.020346722999055,0.0,1.0,1.0000000000000007,1.0000000000000009,9;16;7;15;6;5;42,1.3688505018527373,41000,100,157697,9,0.2968993788219418,0.32755343892400723,0.3290850761017785,0.8476892369107938,0.8495792641729624,0.057281091809272766,10.338740348815918,0.017293844372034073,3.1110691719222814
categorical_kappa,A,adult,binclass,mlp,AdamW,0.0001,2,categorical_kappa_1,cf26f38091e76190,standard,98,88.95184238677105,2.114945282691799,0.11488174339817823,18.409759637451124,1.2650481182807616,104.8286048930585,-4.231079743904931,4.020346722999055,0.0,1.0,1.0000000000000007,1.0000000000000009,9;16;7;15;6;5;42,1.3688505018527373,41000,100,157697,7,0.30527924698175146,0.3265914881266078,0.3255075962022353,0.8436972209427299,0.8489036299981574,0.0705501064658165,9.999007225036621,0.017375661060214043,2.7134208609350026
categorical_kappa,A,adult,binclass,mlp,AdamW,0.0001,3,categorical_kappa_1,cf26f38091e76190,standard,98,88.95184238677105,2.114945282691799,0.11488174339817823,18.409759637451124,1.2650481182807616,104.8286048930585,-4.231079743904931,4.020346722999055,0.0,1.0,1.0000000000000007,1.0000000000000009,9;16;7;15;6;5;42,1.3688505018527373,41000,100,157697,8,0.30170464275930337,0.32686346844291253,0.3253857833643165,0.8473821587594043,0.8511147963884282,0.06445559859275818,10.1559419631958,0.017287416383624077,2.3274206339847296
categorical_kappa,A,adult,binclass,mlp,AdamW,0.0001,4,categorical_kappa_1,cf26f38091e76190,standard,98,88.95184238677105,2.114945282691799,0.11488174339817823,18.409759637451124,1.2650481182807616,104.8286048930585,-4.231079743904931,4.020346722999055,0.0,1.0,1.0000000000000007,1.0000000000000009,9;16;7;15;6;5;42,1.3688505018527373,41000,100,157697,6,0.30898125004548355,0.3267963582982462,0.32486023536653164,0.8461538461538461,0.8512376389656655,0.06378365308046341,9.925909996032715,0.01726231537759304,2.0076822370756418
categorical_kappa,A,adult,binclass,mlp,AdamW,0.0001,0,categorical_kappa_3,cf26f38091e76190,standard,98,75.74256616895511,2.3281088024172005,0.08813312868591111,26.41581930801658,1.4218640852267244,128.40373875927153,-3.901122076948889,4.020346722999055,0.0,3.0,3.000000000000001,3.000000000000002,9;16;7;15;6;5;42,1.3688505018527373,41000,100,157697,9,0.29848284125273106,0.3258844390446358,0.32525952376883,0.8467680024566252,0.8487193661323015,0.058862652629613876,10.26272964477539,0.01733310893177986,3.098719649016857
categorical_kappa,A,adult,binclass,mlp,AdamW,0.0001,1,categorical_kappa_3,cf26f38091e76190,standard,98,75.74256616895511,2.3281088024172005,0.08813312868591111,26.41581930801658,1.4218640852267244,128.40373875927153,-3.901122076948889,4.020346722999055,0.0,3.0,3.000000000000001,3.000000000000002,9;16;7;15;6;5;42,1.3688505018527373,41000,100,157697,10,0.2954720554589607,0.3263051753994413,0.3257399629697453,0.8496852448948258,0.8493335790184878,0.05749180167913437,10.448996543884277,0.01729559898376465,2.7714391129557043
categorical_kappa,A,adult,binclass,mlp,AdamW,0.0001,2,categorical_kappa_3,cf26f38091e76190,standard,98,75.74256616895511,2.3281088024172005,0.08813312868591111,26.41581930801658,1.4218640852267244,128.40373875927153,-3.901122076948889,4.020346722999055,0.0,3.0,3.000000000000001,3.000000000000002,9;16;7;15;6;5;42,1.3688505018527373,41000,100,157697,11,0.2915759943844083,0.3273567962239135,0.3296657925569308,0.8466144633809305,0.8474295190713101,0.07157139480113983,10.520596504211426,0.017377052456140518,2.8084633671678603
categorical_kappa,A,adult,binclass,mlp,AdamW,0.0001,3,categorical_kappa_3,cf26f38091e76190,standard,98,75.74256616895511,2.3281088024172005,0.08813312868591111,26.41581930801658,1.4218640852267244,128.40373875927153,-3.901122076948889,4.020346722999055,0.0,3.0,3.000000000000001,3.000000000000002,9;16;7;15;6;5;42,1.3688505018527373,41000,100,157697,8,0.3030852474337043,0.3279350188005087,0.3253028684059939,0.844925533548288,0.850991953811191,0.06436160206794739,10.125953674316406,0.01729050651192665,2.2930245271418244
