dataset,model,seed,target_kappa,remedy,epoch,train_loss,val_loss
adult,mlp,0,1.0,adamw,1,0.404411603396882,0.31925733315130433
adult,mlp,0,1.0,adamw,2,0.3089342148796053,0.3133573097628738
adult,mlp,0,1.0,adamw,3,0.2990026598480468,0.3127415419732936
adult,mlp,0,1.0,adamw,4,0.2922420783622845,0.3099756496195766
adult,mlp,0,1.0,adamw,5,0.2874868194359819,0.3126638025985032
adult,mlp,0,1.0,adamw,6,0.283305823802948,0.31662062056865314
adult,mlp,0,1.0,adamw,7,0.27692218772902244,0.32462921465632205
adult,mlp,0,1.0,adamw,8,0.2709237778655434,0.3243295812559827
adult,mlp,0,1.0,adamw,9,0.2675805720855329,0.3295622378306921
adult,mlp,0,1.0,adamw,10,0.2610465034073635,0.33236601071357164
adult,mlp,0,1.0,adamw,11,0.25473068292076523,0.3487126297464652
adult,mlp,1,1.0,adamw,1,0.40640126238291036,0.31596821343245196
adult,mlp,1,1.0,adamw,2,0.30766534138956,0.31009955348490353
adult,mlp,1,1.0,adamw,3,0.2997891080613804,0.30995013797801346
adult,mlp,1,1.0,adamw,4,0.2932158930442257,0.3098727482103222
adult,mlp,1,1.0,adamw,5,0.28933813662728164,0.31011689018911776
adult,mlp,1,1.0,adamw,6,0.28366133299740875,0.31328238540586245
adult,mlp,1,1.0,adamw,7,0.2791990693429764,0.316531096933596
adult,mlp,1,1.0,adamw,8,0.2724318037161956,0.3214716882275153
adult,mlp,1,1.0,adamw,9,0.2673742337660356,0.3283715492258294
adult,mlp,1,1.0,adamw,10,0.2619658076645994,0.33066859900436985
adult,mlp,1,1.0,adamw,11,0.2563559601142893,0.3373614455946552
adult,mlp,0,1.0,adam_no_wd,1,0.404411609767403,0.3192573569694456
adult,mlp,0,1.0,adam_no_wd,2,0.30893420558010914,0.31335731758695645
adult,mlp,0,1.0,adam_no_wd,3,0.2990025546978381,0.31274155580200313
adult,mlp,0,1.0,adam_no_wd,4,0.2922418799974409,0.30997575557455426
adult,mlp,0,1.0,adam_no_wd,5,0.2874864694966731,0.3126639941905206
adult,mlp,0,1.0,adam_no_wd,6,0.28330527440042985,0.31662108455348004
adult,mlp,0,1.0,adam_no_wd,7,0.2769214193856101,0.3246297946438823
adult,mlp,0,1.0,adam_no_wd,8,0.27092279182605133,0.3243302143219324
adult,mlp,0,1.0,adam_no_wd,9,0.2675793036928341,0.32956328678819896
adult,mlp,0,1.0,adam_no_wd,10,0.26104487811903987,0.33236753761275906
adult,mlp,0,1.0,adam_no_wd,11,0.25472852331414564,0.34871560641566424
adult,mlp,1,1.0,adam_no_wd,1,0.4064012441500399,0.31596821559894156
adult,mlp,1,1.0,adam_no_wd,2,0.30766533706932164,0.31009955448527154
adult,mlp,1,1.0,adam_no_wd,3,0.29978900664561503,0.3099501708011502
adult,mlp,1,1.0,adam_no_wd,4,0.29321567044211255,0.3098727730254064
adult,mlp,1,1.0,adam_no_wd,5,0.28933779034919177,0.3101170201885705
adult,mlp,1,1.0,adam_no_wd,6,0.2836607947982207,0.31328265710726155
adult,mlp,1,1.0,adam_no_wd,7,0.2791982919929654,0.3165316554145425
adult,mlp,1,1.0,adam_no_wd,8,0.2724307298806727,0.32147248334993195
adult,mlp,1,1.0,adam_no_wd,9,0.2673728596373331,0.32837310878080783
adult,mlp,1,1.0,adam_no_wd,10,0.2619640392226142,0.3306707440258095
adult,mlp,1,1.0,adam_no_wd,11,0.256353937437259,0.3373637081940109
adult,mlp,0,1.0,adagrad,1,0.343178501293173,0.3135610277958056
adult,mlp,0,1.0,adagrad,2,0.3005591715875949,0.31150155906764476
adult,mlp,0,1.0,adagrad,3,0.29428009150655027,0.31158420909797213
adult,mlp,0,1.0,adagrad,4,0.2887936213971356,0.310001459460655
adult,mlp,0,1.0,adagrad,5,0.2848288800558236,0.3122766027557052
adult,mlp,0,1.0,adagrad,6,0.2804562622264796,0.3162412330698274
adult,mlp,0,1.0,adagrad,7,0.27651674155814054,0.3180422070623666
adult,mlp,0,1.0,adagrad,8,0.27303590953203616,0.3213349324946484
adult,mlp,0,1.0,adagrad,9,0.26975878121226077,0.32062129155784014
adult,mlp,0,1.0,adagrad,10,0.26621883587696626,0.3222232382820682
adult,mlp,0,1.0,adagrad,11,0.2627715933381486,0.3305618034430675
adult,mlp,1,1.0,adagrad,1,0.3459910754050318,0.3121910169548
adult,mlp,1,1.0,adagrad,2,0.30091546699221655,0.30929191550020124
adult,mlp,1,1.0,adagrad,3,0.29450886577587454,0.30794071007497026
adult,mlp,1,1.0,adagrad,4,0.289082755034913,0.3095735327181915
adult,mlp,1,1.0,adagrad,5,0.28612528759665806,0.30845471385437506
adult,mlp,1,1.0,adagrad,6,0.28078561940708674,0.3093335554451566
adult,mlp,1,1.0,adagrad,7,0.27727713280286487,0.3104950218671361
adult,mlp,1,1.0,adagrad,8,0.27287270849987094,0.316027880628764
adult,mlp,1,1.0,adagrad,9,0.2707735884760756,0.3215987908741605
adult,mlp,1,1.0,adagrad,10,0.26602224694423066,0.3202242282675956
adult,mlp,0,1.0,sgd_momentum,1,0.5797736589094344,0.5470230518340848
adult,mlp,0,1.0,sgd_momentum,2,0.5369690044506176,0.5176692443135564
adult,mlp,0,1.0,sgd_momentum,3,0.4418897465493814,0.346375098410525
adult,mlp,0,1.0,sgd_momentum,4,0.3290439932000725,0.3212843987242044
adult,mlp,0,1.0,sgd_momentum,5,0.3151849432864412,0.31564851820718237
adult,mlp,0,1.0,sgd_momentum,6,0.3089714485245782,0.3122335119742097
adult,mlp,0,1.0,sgd_momentum,7,0.3050077624930211,0.31060886103472607
adult,mlp,0,1.0,sgd_momentum,8,0.30232869377886046,0.3100495438948742
adult,mlp,0,1.0,sgd_momentum,9,0.2995299413543954,0.3094508738785715
adult,mlp,0,1.0,sgd_momentum,10,0.2973143275305446,0.3079557906028517
adult,mlp,0,1.0,sgd_momentum,11,0.2950449936659389,0.30782128072700177
adult,mlp,0,1.0,sgd_momentum,12,0.29318181785963093,0.30788940280591715
adult,mlp,0,1.0,sgd_momentum,13,0.2911224233430492,0.3084677693069463
adult,mlp,0,1.0,sgd_momentum,14,0.28867552921871587,0.30934919231343083
adult,mlp,0,1.0,sgd_momentum,15,0.2878373868635304,0.3112278218277393
adult,mlp,0,1.0,sgd_momentum,16,0.285691967430806,0.3098386452778858
adult,mlp,0,1.0,sgd_momentum,17,0.2835040052194853,0.3122497020254056
adult,mlp,0,1.0,sgd_momentum,18,0.2814296378550424,0.3129794132681792
adult,mlp,1,1.0,sgd_momentum,1,0.5829185628188037,0.5456621952200045
adult,mlp,1,1.0,sgd_momentum,2,0.5332943813220875,0.5088714479328262
adult,mlp,1,1.0,sgd_momentum,3,0.4219960839801104,0.3393654071735256
adult,mlp,1,1.0,sgd_momentum,4,0.32710321837033923,0.31938291409388014
adult,mlp,1,1.0,sgd_momentum,5,0.31488227858883155,0.3146757226894744
adult,mlp,1,1.0,sgd_momentum,6,0.30888932350226644,0.3118441004728999
adult,mlp,1,1.0,sgd_momentum,7,0.3045744023100457,0.3093685636125125
adult,mlp,1,1.0,sgd_momentum,8,0.3012582760771018,0.3086541320639536
adult,mlp,1,1.0,sgd_momentum,9,0.2994340227628516,0.30779764663466364
adult,mlp,1,1.0,sgd_momentum,10,0.29754780419628507,0.3070053540359383
adult,mlp,1,1.0,sgd_momentum,11,0.29506973237604706,0.30747708623388476
adult,mlp,1,1.0,sgd_momentum,12,0.29233672065289656,0.3079945353074681
adult,mlp,1,1.0,sgd_momentum,13,0.2908815588500049,0.30711498903313983
adult,mlp,1,1.0,sgd_momentum,14,0.2893956857172804,0.30807517049924354
adult,mlp,1,1.0,sgd_momentum,15,0.28682145058962283,0.30865336611166827
adult,mlp,1,1.0,sgd_momentum,16,0.28631680764495887,0.30815609079739464
adult,mlp,1,1.0,sgd_momentum,17,0.2840944779007089,0.311892951268977
adult,mlp,0,1.0,diagonal_adamw,1,0.3932654556683299,0.3163021779742259
adult,mlp,0,1.0,diagonal_adamw,2,0.30289440094985304,0.3088484908258695
adult,mlp,0,1.0,diagonal_adamw,3,0.2913636661132372,0.30787039649633224
adult,mlp,0,1.0,diagonal_adamw,4,0.28186035412535326,0.31108126344106907
adult,mlp,0,1.0,diagonal_adamw,5,0.2744399551531021,0.3137085125018901
adult,mlp,0,1.0,diagonal_adamw,6,0.2660471374850894,0.32481511110421285
adult,mlp,0,1.0,diagonal_adamw,7,0.2554755206483002,0.3417648644188753
adult,mlp,0,1.0,diagonal_adamw,8,0.24818099138191935,0.3388220225091832
adult,mlp,0,1.0,diagonal_adamw,9,0.23919108077993556,0.35467442210598465
adult,mlp,0,1.0,diagonal_adamw,10,0.23179552094502884,0.3702958763634723
adult,mlp,1,1.0,diagonal_adamw,1,0.39522237647370567,0.31410221605296446
adult,mlp,1,1.0,diagonal_adamw,2,0.3010710996989829,0.3084236334469679
adult,mlp,1,1.0,diagonal_adamw,3,0.2905349475159985,0.3083539855511692
adult,mlp,1,1.0,diagonal_adamw,4,0.2826401394327384,0.30949731387421514
adult,mlp,1,1.0,diagonal_adamw,5,0.27499504991479823,0.31370181002643754
adult,mlp,1,1.0,diagonal_adamw,6,0.2662409192514068,0.3213210172236985
adult,mlp,1,1.0,diagonal_adamw,7,0.25849476822764045,0.3332478260843369
adult,mlp,1,1.0,diagonal_adamw,8,0.24719940631190448,0.3436328975685266
adult,mlp,1,1.0,diagonal_adamw,9,0.23925978955824193,0.36065701390641947
adult,mlp,1,1.0,diagonal_adamw,10,0.2318212992582626,0.362090286210741
adult,mlp,0,1.0,whiten_adamw,1,0.4386264879521925,0.3269949394322198
adult,mlp,0,1.0,whiten_adamw,2,0.3105618341549023,0.31450358998008326
