stage,dataset,arm,seed,epoch,train_member_loss,val_proper_loss
confirmation,australian_credit_approval,cumulative,0,1,0.6943795680999756,0.6877985952484769
confirmation,australian_credit_approval,cumulative,0,2,0.6883008480072021,0.6825921377863561
confirmation,australian_credit_approval,cumulative,0,3,0.6824745535850525,0.6772409785447076
confirmation,australian_credit_approval,cumulative,0,4,0.6767067909240723,0.6715593593606783
confirmation,australian_credit_approval,cumulative,0,5,0.6699070334434509,0.6653261747221635
confirmation,australian_credit_approval,cumulative,0,6,0.6631609201431274,0.6583981446983883
confirmation,australian_credit_approval,cumulative,0,7,0.6556798815727234,0.6506091063525756
confirmation,australian_credit_approval,cumulative,0,8,0.6467453241348267,0.6418609944911349
confirmation,australian_credit_approval,cumulative,0,9,0.6370813250541687,0.6320870658766133
confirmation,australian_credit_approval,cumulative,0,10,0.6266462802886963,0.6212323599653004
confirmation,australian_credit_approval,cumulative,0,11,0.613656759262085,0.6092142271222966
confirmation,australian_credit_approval,cumulative,0,12,0.6018436551094055,0.5960248235777412
confirmation,australian_credit_approval,cumulative,0,13,0.5867748260498047,0.5816551973768065
confirmation,australian_credit_approval,cumulative,0,14,0.5701624751091003,0.5662709235140764
confirmation,australian_credit_approval,cumulative,0,15,0.5526575446128845,0.5500302071362239
confirmation,australian_credit_approval,cumulative,0,16,0.534230649471283,0.533127628039147
confirmation,australian_credit_approval,cumulative,0,17,0.5145046710968018,0.5158284513814504
confirmation,australian_credit_approval,cumulative,0,18,0.4945700168609619,0.49848607624530417
confirmation,australian_credit_approval,cumulative,0,19,0.47443148493766785,0.4815058489391986
confirmation,australian_credit_approval,cumulative,0,20,0.4536711871623993,0.46529516776089636
confirmation,australian_credit_approval,cumulative,0,21,0.43276599049568176,0.4503524768727933
confirmation,australian_credit_approval,cumulative,0,22,0.41196408867836,0.4371140925257866
confirmation,australian_credit_approval,cumulative,0,23,0.3927074670791626,0.426012810264103
confirmation,australian_credit_approval,cumulative,0,24,0.3750649690628052,0.4173742648300101
confirmation,australian_credit_approval,cumulative,0,25,0.35754966735839844,0.41133850342929346
confirmation,australian_credit_approval,cumulative,0,26,0.34141483902931213,0.4079854064496644
confirmation,australian_credit_approval,cumulative,0,27,0.3257664144039154,0.40723092300505503
confirmation,australian_credit_approval,cumulative,0,28,0.31506505608558655,0.4089420092467043
confirmation,australian_credit_approval,cumulative,0,29,0.30399656295776367,0.4128846863095641
confirmation,australian_credit_approval,cumulative,0,30,0.2938530147075653,0.41870455151320285
confirmation,australian_credit_approval,cumulative,1,1,0.6953616738319397,0.6883046880776997
confirmation,australian_credit_approval,cumulative,1,2,0.6885898113250732,0.6823761419137646
confirmation,australian_credit_approval,cumulative,1,3,0.6818513870239258,0.6763737550442831
confirmation,australian_credit_approval,cumulative,1,4,0.6751368641853333,0.6700621865446829
confirmation,australian_credit_approval,cumulative,1,5,0.6682298183441162,0.6632522068515434
confirmation,australian_credit_approval,cumulative,1,6,0.6609967350959778,0.6558248776206657
confirmation,australian_credit_approval,cumulative,1,7,0.6525028347969055,0.6476359326138715
confirmation,australian_credit_approval,cumulative,1,8,0.6433128714561462,0.6385547845268841
confirmation,australian_credit_approval,cumulative,1,9,0.6337296366691589,0.6284772251316159
confirmation,australian_credit_approval,cumulative,1,10,0.6223411560058594,0.6173098237129129
confirmation,australian_credit_approval,cumulative,1,11,0.6100635528564453,0.6050359710875866
confirmation,australian_credit_approval,cumulative,1,12,0.597319483757019,0.5916177863455053
confirmation,australian_credit_approval,cumulative,1,13,0.5815028548240662,0.5771045403024089
confirmation,australian_credit_approval,cumulative,1,14,0.565058171749115,0.561582907797112
confirmation,australian_credit_approval,cumulative,1,15,0.5487593412399292,0.5451659578769802
confirmation,australian_credit_approval,cumulative,1,16,0.5294445157051086,0.5280542003900154
confirmation,australian_credit_approval,cumulative,1,17,0.5108786225318909,0.5104930322608958
confirmation,australian_credit_approval,cumulative,1,18,0.49021148681640625,0.49281347817266813
confirmation,australian_credit_approval,cumulative,1,19,0.47034814953804016,0.4753961020161102
confirmation,australian_credit_approval,cumulative,1,20,0.44977644085884094,0.45863344231793524
confirmation,australian_credit_approval,cumulative,1,21,0.42849722504615784,0.442957452656089
confirmation,australian_credit_approval,cumulative,1,22,0.4095098674297333,0.4287720342052413
confirmation,australian_credit_approval,cumulative,1,23,0.3917286694049835,0.41651486173447244
confirmation,australian_credit_approval,cumulative,1,24,0.3726101517677307,0.4064393124101363
confirmation,australian_credit_approval,cumulative,1,25,0.35589709877967834,0.39869273813412315
confirmation,australian_credit_approval,cumulative,1,26,0.3413592576980591,0.39340591440541056
confirmation,australian_credit_approval,cumulative,1,27,0.327406644821167,0.39052996273881324
confirmation,australian_credit_approval,cumulative,1,28,0.3161303997039795,0.38997659519882993
confirmation,australian_credit_approval,cumulative,1,29,0.3063662350177765,0.39147434634223965
confirmation,australian_credit_approval,cumulative,1,30,0.2952423393726349,0.39480701070309726
confirmation,australian_credit_approval,cumulative,2,1,0.6934763789176941,0.6885768247286796
confirmation,australian_credit_approval,cumulative,2,2,0.6871532201766968,0.684129987773965
confirmation,australian_credit_approval,cumulative,2,3,0.681663453578949,0.6794901815444621
