dataset,task,seed,selected_arm,selected_relative_proper_loss_reduction,orbit_relative_proper_loss_reduction,selected_official_gain,validation_margin
australian_credit_approval,binclass,0,measure_orbit_tabm,0.02423162030068286,0.02423162030068286,2.8846153846153744,0.012482271635291808
australian_credit_approval,binclass,1,measure_orbit_tabm,0.041401967984085734,0.041401967984085734,3.8461538461538436,0.010863785407659199
australian_credit_approval,binclass,2,measure_orbit_tabm,0.031054061827573348,0.031054061827573348,1.9230769230769273,0.015860101220492584
bank_marketing_subscription,binclass,0,measure_orbit_tabm,0.004876697922296366,0.004876697922296366,0.02949417490045736,0.0012295690978674223
bank_marketing_subscription,binclass,1,measure_orbit_tabm,0.005464643975943442,0.005464643975943442,0.0,0.0021273502729621807
bank_marketing_subscription,binclass,2,measure_orbit_tabm,-0.0057788272662663304,-0.0057788272662663304,-0.19171213685297284,0.002207775975616888
compustat_kor_direction,binclass,0,baseline_tabm,0.0,0.0006146488304148727,0.0,-1.3173592157023073e-05
compustat_kor_direction,binclass,1,measure_orbit_tabm,0.0002754769348549979,0.0002754769348549979,0.0,4.166197159372054e-06
compustat_kor_direction,binclass,2,measure_orbit_tabm,0.00024259674829060809,0.00024259674829060809,-0.10499999999999954,6.940558066581559e-05
covtype_extension,multiclass,0,measure_orbit_tabm,0.0033679478045234583,0.0033679478045234583,0.16500000000000403,0.00037964138439661177
covtype_extension,multiclass,1,measure_orbit_tabm,0.004870057696187719,0.004870057696187719,-0.13499999999999623,0.0015437843485871516
covtype_extension,multiclass,2,baseline_tabm,0.0,-0.008464367943084639,0.0,-0.004309871359148287
credit_card_default,binclass,0,measure_orbit_tabm,0.003057168955998599,0.003057168955998599,0.17773828038213368,0.0012976560152755945
credit_card_default,binclass,1,measure_orbit_tabm,0.004837876400452344,0.004837876400452344,0.0888691401910724,0.001802940688950816
credit_card_default,binclass,2,baseline_tabm,0.0,-0.0017927908092381644,0.0,-0.0004396243056734028
credit_card_fraud,binclass,0,baseline_tabm,0.0,-0.004012973010557901,0.0,-9.175029202199841e-06
credit_card_fraud,binclass,1,measure_orbit_tabm,0.0033568207043512305,0.0033568207043512305,0.0,3.6826199260003682e-06
credit_card_fraud,binclass,2,measure_orbit_tabm,0.00046646268639394223,0.00046646268639394223,0.0,1.2390183902000543e-06
fb_comments_extension,regression,0,baseline_tabm,0.0,-0.012927894495444146,0.0,-0.009327605366706904
fb_comments_extension,regression,1,measure_orbit_tabm,0.030899995377218287,0.030899995377218287,1.557117083790384,0.008712738752365196
fb_comments_extension,regression,2,measure_orbit_tabm,0.019785488258523536,0.019785488258523536,0.994214947023256,0.004312634468078613
fremtpl_claim_count,regression,0,measure_orbit_tabm,0.0006033368904058326,0.0006033368904058326,0.030171061762525143,0.0018483400344847523
fremtpl_claim_count,regression,1,measure_orbit_tabm,0.0035638786594002865,0.0035638786594002865,0.17835258446769825,0.0032104849815368652
fremtpl_claim_count,regression,2,measure_orbit_tabm,0.003290097353343548,0.003290097353343548,0.1646416057465739,0.0042569637298583984
german_credit_risk,binclass,0,measure_orbit_tabm,0.011170477630939167,0.011170477630939167,0.0,0.005048100061894045
german_credit_risk,binclass,1,measure_orbit_tabm,0.015378855965429825,0.015378855965429825,3.3333333333333326,0.003248079801811965
german_credit_risk,binclass,2,measure_orbit_tabm,0.004781346742983822,0.004781346742983822,0.666666666666671,0.006439256536166615
gesture_extension,multiclass,0,baseline_tabm,0.0,0.0,0.0,0.0
gesture_extension,multiclass,1,baseline_tabm,0.0,0.0,0.0,0.0
gesture_extension,multiclass,2,baseline_tabm,0.0,0.0,0.0,0.0
heloc_credit_risk,binclass,0,measure_orbit_tabm,0.008200414031111922,0.008200414031111922,0.49400141143260967,0.002605671002557264
heloc_credit_risk,binclass,1,measure_orbit_tabm,0.004264434683923807,0.004264434683923807,0.7057163020465773,0.001980939788870817
