dataset,model,method,seed,selected_columns,parameters,target_parameters,matched_width,matched_ft_feedforward_width,best_epoch,val_log_loss,val_auc,val_accuracy,test_log_loss,test_auc,test_accuracy,mean_support_gate,train_seconds
adult,mlp,qple,20260827,0;2;3;4;5,65297,65318,160,64,25,0.307219459346857,0.9142208425331712,0.8585905112851221,0.3089449750903543,0.9107835000975429,0.8568269762299613,0.0,19.345755477203056
adult,mlp,tple,20260827,0;2;3;4;5,65297,65318,160,64,31,0.28354668282329476,0.9274600322940096,0.8676493167511131,0.29044054939357655,0.9212548831667782,0.8690498126650698,0.0,23.1761073989328
adult,mlp,qple_bin_all_additive,20260827,0;2;3;4;5,65138,65318,148,64,14,0.3101971398040414,0.912476076123068,0.8542914171656687,0.3119561598008528,0.9095004266596075,0.8544315459738345,0.2977798283100128,14.958434510044754
adult,mlp,qple_exact_all_additive,20260827,0;2;3;4;5,65138,65318,148,64,14,0.2711119641608123,0.9316354903943378,0.8705665591893137,0.2736197005342329,0.9284669046592986,0.871875191941527,0.31897851824760437,14.880214110948145
adult,mlp,qple_bin_all_separate,20260827,0;2;3;4;5,65318,65318,128,64,13,0.30952056002756856,0.9123948897051237,0.8527560264087211,0.30992704545565697,0.9104745613226217,0.8572569252502917,0.29091766476631165,13.342678810935467
adult,mlp,qple_exact_all_separate,20260827,0;2;3;4;5,65318,65318,128,64,15,0.27182408323683854,0.9321122913270465,0.8714877936434823,0.27245229998433507,0.9294140868972113,0.875069098949696,0.30233317613601685,14.58972485200502
adult,mlp,qple_bin_supervised_additive,20260827,3;4;5,65258,65318,151,64,15,0.3097425778470974,0.9133981449000228,0.8541378780899739,0.31202970165891575,0.9098509231885158,0.8563356059210122,0.2964929938316345,15.180278338026255
adult,mlp,qple_exact_supervised_additive,20260827,3;4;5,65258,65318,151,64,15,0.2705067305334667,0.9328491596335198,0.8730231844004299,0.27368788008339456,0.9292905322968046,0.8723051409618574,0.33837753534317017,15.088932473910972
adult,mlp,qple_bin_supervised_separate,20260827,3;4;5,65174,65318,138,64,25,0.3084564970256241,0.9137577123872807,0.855366190695532,0.3102384233265265,0.9104702121337768,0.8555985504575886,0.28852319717407227,20.781282602110878
adult,mlp,qple_exact_supervised_separate,20260827,3;4;5,65174,65318,138,64,9,0.27162302003978067,0.9315948649429439,0.8711807154920927,0.27246202766784927,0.9291443012766751,0.8739635157545605,0.30233097076416016,10.628344279015437
adult,mlp,tple_exact_supervised_additive,20260827,3;4;5,65258,65318,151,64,15,0.27069667733798314,0.9327398578238172,0.872255489021956,0.2748254062495712,0.928958028445786,0.871875191941527,0.3397880494594574,14.602268222952262
adult,mlp,tple_exact_supervised_separate,20260827,3;4;5,65174,65318,138,64,14,0.2713687054264826,0.9316453565753906,0.8737908797789037,0.27378616224136776,0.9281333239658497,0.8731650390025183,0.31536149978637695,13.418671301100403
