dataset,model,method,seed,selected_columns,parameters,target_parameters,matched_width,matched_ft_feedforward_width,best_epoch,val_log_loss,val_auc,val_accuracy,test_log_loss,test_auc,test_accuracy,mean_support_gate,train_seconds
adult,resnet,qple,20260827,0;2;3;4;5,181307,181414,135,64,9,0.31008409007583243,0.9141980793834218,0.8536772608628896,0.31299002021644773,0.9103997469106645,0.8530188563356059,0.0,9.462434963090345
adult,resnet,tple,20260827,0;2;3;4;5,181307,181414,135,64,11,0.28891083152606567,0.9235259409628361,0.8654997696913864,0.29343951924916056,0.9180141520095867,0.8635218966893925,0.0,9.83650507288985
adult,resnet,qple_bin_all_additive,20260827,0;2;3;4;5,180446,181414,132,64,14,0.31652504019494004,0.9113283748787686,0.8569015814524796,0.3240441503765517,0.9053609398095265,0.8510533750998096,0.28065624833106995,14.557193742832169
adult,resnet,qple_exact_all_additive,20260827,0;2;3;4;5,180446,181414,132,64,9,0.2782290427646254,0.930217855595221,0.871641332719177,0.28000293457344655,0.9266848349848751,0.8707696087463915,0.30524492263793945,11.433769408846274
adult,resnet,qple_bin_all_separate,20260827,0;2;3;4;5,181414,181414,128,64,9,0.31070671793636523,0.9127738671302698,0.8533701827115001,0.31232223027910294,0.9094692714125936,0.8542472821079786,0.28032734990119934,10.547316186828539
adult,resnet,qple_exact_all_separate,20260827,0;2;3;4;5,181414,181414,128,64,9,0.27687730753235923,0.9311431486143497,0.8721019499462613,0.28144614377209026,0.9268085254974332,0.8681899146244089,0.29549095034599304,10.18669721391052
adult,resnet,qple_bin_supervised_additive,20260827,3;4;5,181346,181414,133,64,9,0.3160641584515166,0.9118610196859331,0.8533701827115001,0.316180738075484,0.9088406045288856,0.8531416989128432,0.28051769733428955,11.838145292829722
adult,resnet,qple_exact_supervised_additive,20260827,3;4;5,181346,181414,133,64,12,0.2772227179638755,0.9298800839850602,0.8696453247351451,0.2770681704946845,0.9274330522879137,0.8708310300350102,0.3437786102294922,13.53895196202211
adult,resnet,qple_bin_supervised_separate,20260827,3;4;5,180560,181414,130,64,15,0.3118294128762517,0.9132186190957676,0.8555197297712268,0.3177739591460481,0.907991069944366,0.8539401756648854,0.2815416753292084,13.641231977846473
adult,resnet,qple_exact_supervised_separate,20260827,3;4;5,180560,181414,130,64,9,0.2758337279624231,0.9312193052145025,0.8721019499462613,0.2770510040218284,0.9285201822226488,0.8699097107057306,0.30098429322242737,10.64506091317162
adult,resnet,tple_exact_supervised_additive,20260827,3;4;5,181346,181414,133,64,9,0.2765287951500611,0.9316581890592436,0.8707200982650084,0.278045499607071,0.9282108670756158,0.8697868681284934,0.3165644109249115,10.573964657029137
adult,resnet,tple_exact_supervised_separate,20260827,3;4;5,180560,181414,130,64,9,0.27624437093486964,0.9311656538247249,0.8719484108705665,0.27745932497740555,0.9281547249023054,0.8708310300350102,0.30136269330978394,10.464039913145825
