control_seed,dataset,model,pairs,correct_wins,mean_correct_gain_pct
991337,california,mlp,3,2,0.43085527760514136
991337,california,resnet,3,3,2.474083842402756
991337,california,tabm,3,3,0.6525951898723455
991337,tabred-weather,mlp,3,3,2.010573705659632
991337,tabred-weather,resnet,3,2,0.08658865021906655
991337,tabred-weather,tabm,3,3,0.5149892670140104
1201,california,mlp,3,1,0.19472880031624284
1201,california,resnet,3,3,2.2693869711415204
1201,california,tabm,3,3,0.6079637467675645
1201,tabred-weather,mlp,3,3,1.9571634237144018
1201,tabred-weather,resnet,3,3,0.9300120525328288
1201,tabred-weather,tabm,3,3,0.3337337780854798
1202,california,mlp,3,2,0.5029631237315573
1202,california,resnet,3,3,1.3445684460631895
1202,california,tabm,3,2,0.4222961880530242
1202,tabred-weather,mlp,3,3,0.96182574161906
1202,tabred-weather,resnet,3,3,1.07160359396159
1202,tabred-weather,tabm,3,3,0.38956877166080944
1203,california,mlp,3,3,0.7811679341551154
1203,california,resnet,3,3,2.891142578562254
1203,california,tabm,3,3,0.2559541387638535
1203,tabred-weather,mlp,3,2,0.6678099478610692
1203,tabred-weather,resnet,3,1,-0.05747540553572545
1203,tabred-weather,tabm,3,2,0.15779487399119407
1204,california,mlp,3,3,0.8243952601964583
1204,california,resnet,3,3,2.3554982479349076
1204,california,tabm,3,3,0.5940955084403944
1204,tabred-weather,mlp,3,3,0.7083777661568945
1204,tabred-weather,resnet,3,3,0.4586331227649311
1204,tabred-weather,tabm,3,3,0.17975005373467756
