stiffness_family,dataset,product_bins,normalization,interaction_projection,model,pairs,wins_vs_raple_raw,gain_vs_raple_raw_pct,wins_vs_anchor_only,gain_vs_anchor_only_pct,wins_vs_anchor_product_mass,gain_vs_anchor_product_mass_pct,wins_vs_anchor_product_wrong,gain_vs_anchor_product_wrong_pct,wins_vs_anchor_product_isospectral,gain_vs_anchor_product_isospectral_pct
product,california,8,legacy-none,center-only,all,9,8,1.4458633965682905,6,0.49456771232812763,1,-0.32502061940004395,8,0.2046967815866098,0,-0.44344152560580385
product,california,8,legacy-none,center-only,mlp,3,3,1.9560303521356592,3,0.7864352708904496,1,-0.07938276713829107,2,0.030759099390684618,0,-0.41672536550143247
product,california,8,legacy-none,center-only,resnet,3,3,2.3351409243748638,2,0.5250004238241458,0,-0.6620240794936779,3,0.28587372521756066,0,-0.7861757402937086
product,california,8,legacy-none,center-only,tabm,3,2,0.046418913194348356,1,0.17226744226978766,0,-0.23365501156816312,3,0.29745752015158416,0,-0.12742347102227045
product,california,12,legacy-none,center-only,all,9,8,2.1175691545217847,7,1.176579573941249,7,0.006838104475861615,0,-0.5275061151838503,6,0.20066129052581572
product,california,12,legacy-none,center-only,mlp,3,3,2.658879474587694,3,1.4987315798861207,2,0.1072202002926338,0,-0.5124074712822299,2,0.2811421652388773
product,california,12,legacy-none,center-only,resnet,3,3,3.3671791316422186,2,1.5756615759178816,3,0.25383527237438425,0,-0.9318461487798738,2,0.1225983373062511
product,california,12,legacy-none,center-only,tabm,3,2,0.32664885733544197,2,0.45534556601974474,2,-0.3405411592394332,0,-0.13826472548944746,2,0.19824336903231865
product,california,16,legacy-none,center-only,all,9,9,2.4000222317954805,8,1.4567508233192743,0,-0.9622769449671966,8,0.49041289179253106,7,0.434367136243929
product,california,16,legacy-none,center-only,mlp,3,3,2.7838355134800765,3,1.625531485085957,0,-0.6919893632963262,3,0.5328085037130573,1,0.23129503401007792
product,california,16,legacy-none,center-only,resnet,3,3,3.3829081731440116,2,1.5872747328582681,0,-0.8530721509081584,2,0.1394723109257793,3,0.6181782818916732
product,california,16,legacy-none,center-only,tabm,3,3,1.0333230087623526,3,1.1574462520135966,0,-1.3417693206971049,3,0.7989578607387565,3,0.45362809283003597
product,california,12,joint-generalized-median,center-only,all,9,8,2.258777838679501,7,1.3192901286020224,7,0.15105368569191369,4,-0.13447543536652737,7,0.5566643678000136
product,california,12,joint-generalized-median,center-only,mlp,3,3,2.7344470230317337,3,1.5760130521978253,2,0.18566583003577133,1,-0.4302456222533491,2,0.32463097089021586
product,california,12,joint-generalized-median,center-only,resnet,3,3,3.522128575506683,2,1.7334856311664921,3,0.4135518499854703,1,-0.015365786381995672,3,0.933126017846667
product,california,12,joint-generalized-median,center-only,tabm,3,2,0.519757917500086,2,0.6483717024417494,2,-0.14605662294550062,2,0.042185102535762665,2,0.41223611466315785
haversine-knn,california,12,joint-generalized-median,center-only,all,9,8,1.9307848628456565,7,0.9846926610162071,3,-0.18800654715033055,3,-0.22638383435228493,7,0.24467105632933592
haversine-knn,california,12,joint-generalized-median,center-only,mlp,3,3,2.5157427235008463,3,1.3515145117038487,1,-0.042472132022292795,1,-0.05857736319977317,1,0.10217718741856374
haversine-knn,california,12,joint-generalized-median,center-only,resnet,3,3,3.0559082408877063,2,1.2569847301190935,1,-0.07080648828405867,1,-0.12164445753215465,3,0.21960349899419038
haversine-knn,california,12,joint-generalized-median,center-only,tabm,3,2,0.2207036241484166,2,0.3455787412256794,1,-0.45074102114464015,1,-0.4989296823249269,3,0.41223248257525363
product,california,12,joint-generalized-median,empirical-anova,all,9,8,2.630350652952108,8,1.692603081228174,7,0.36850919616979333,8,0.2276476496069591,8,0.5466952756659844
product,california,12,joint-generalized-median,empirical-anova,mlp,3,3,3.3042845120023565,3,2.153044076219112,2,0.32335465232013677,3,0.28706507839050505,3,0.7165446676952474
product,california,12,joint-generalized-median,empirical-anova,resnet,3,3,3.729696971228049,3,1.9438348535947618,2,0.45047250539369244,2,0.33642827360546623,2,0.3012623601188203
product,california,12,joint-generalized-median,empirical-anova,tabm,3,2,0.8570704756259174,2,0.9809303138706483,3,0.3317004307955509,3,0.059449596824905866,3,0.6222787991838856
haversine-knn,california,12,joint-generalized-median,empirical-anova,all,9,8,2.400939842247016,8,1.4647751437087324,5,0.13721834269764133,5,0.13250184266890677,8,0.24563467856778354
haversine-knn,california,12,joint-generalized-median,empirical-anova,mlp,3,3,3.0609867665626767,3,1.9059731703099565,2,0.07157595434731247,2,0.06638689182659505,3,0.32242885419072514
haversine-knn,california,12,joint-generalized-median,empirical-anova,resnet,3,3,3.83484866358598,3,2.056829501397384,3,0.5610493011305192,3,0.4992099664874252,3,0.4063810069170441
haversine-knn,california,12,joint-generalized-median,empirical-anova,tabm,3,2,0.30698409659239095,2,0.4315227594188564,0,-0.2209702273849077,0,-0.16809133030729992,2,0.008094174595581418
product,king-county-sales,12,joint-generalized-median,empirical-anova,all,9,5,0.2505195266495457,7,0.26591057514133654,7,0.07995759992442958,5,-0.4677746629894902,5,-0.24406175879188735
product,king-county-sales,12,joint-generalized-median,empirical-anova,mlp,3,2,0.9377487383262472,3,0.8047370341337167,2,-0.23993506388207378,2,0.32674737812497595,2,0.14476560900914315
product,king-county-sales,12,joint-generalized-median,empirical-anova,resnet,3,1,-0.8422076756303088,2,-0.29624028255926943,2,0.08479879262442104,1,-1.7836759427239814,0,-1.529393787353502
product,king-county-sales,12,joint-generalized-median,empirical-anova,tabm,3,2,0.6560175172526992,2,0.2892349738495624,3,0.39500907103094146,2,0.0536045756305347,3,0.6524429019686967
haversine-knn,king-county-sales,12,joint-generalized-median,empirical-anova,all,9,5,-0.02837310288298991,6,-0.013239212827930995,7,-0.19612164800502477,2,-1.103958880420323,5,-0.5652924414869263
haversine-knn,king-county-sales,12,joint-generalized-median,empirical-anova,mlp,3,2,0.5166347445635006,2,0.38869336970689733,2,-0.6620499956082487,0,-0.7808843423438119,2,-0.3879759727833947
haversine-knn,king-county-sales,12,joint-generalized-median,empirical-anova,resnet,3,1,-1.1579295976126394,2,-0.6171041418263935,2,-0.22105144900594142,0,-2.666466479176696,0,-1.771117659407871
haversine-knn,king-county-sales,12,joint-generalized-median,empirical-anova,tabm,3,2,0.5561755444001688,2,0.18869313363570306,3,0.29473650059911566,2,0.1354741802595381,3,0.4632163077304871
