dataset,model,seed,method,n_train,n_val,n_num,n_bin,n_cat,n_cyclic,local_weight,parameters,best_epoch,val_loss,val_rmse,last_local_loss,mean_abs_gate,max_abs_gate,gates,train_seconds,test_evaluated
weather,ft_transformer,20260827,ple,50000,15000,100,3,0,5,0.1,33921,20,0.18147099018096924,1.6619383559054508,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",34.520000318065286,False
weather,ft_transformer,20260827,ple_adapter,50000,15000,100,3,0,5,0.1,35206,20,0.1815984696149826,1.6625219912472322,0.0,0.06053486466407776,0.11746644973754883,"[-0.09209811687469482, -0.11746644973754883, -0.021887730807065964, 0.05964022874832153, 0.011581815779209137]",37.00671569490805,False
weather,ft_transformer,20260827,semantic_noalign,50000,15000,100,3,0,5,0.1,35206,20,0.1813221573829651,1.6612566996468328,0.0,0.11398408561944962,0.17184114456176758,"[-0.006232975982129574, 0.1524064689874649, -0.166655033826828, 0.17184114456176758, -0.07278475910425186]",37.46175257302821,False
weather,ft_transformer,20260827,semantic_local,50000,15000,100,3,0,5,0.1,35206,19,0.18180891871452332,1.6634850361179987,0.12526153028011322,0.08089806884527206,0.15223926305770874,"[0.04219629988074303, 0.0999341756105423, 0.15223926305770874, 0.059278830885887146, 0.05084174871444702]",38.195029167924076,False
weather,ft_transformer,20260827,semantic_wrong_local,50000,15000,100,3,0,5,0.1,35206,20,0.18142545223236084,1.6617298211644818,0.12797202169895172,0.049212899059057236,0.09588325768709183,"[0.033753037452697754, -0.03190178424119949, -0.007566600572317839, 0.09588325768709183, 0.07695981860160828]",37.75712197693065,False
cooking-time,ft_transformer,20260827,ple,50000,15000,186,3,3,3,0.1,57553,19,0.5057091116905212,0.46947596365023136,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",40.88694240897894,False
cooking-time,ft_transformer,20260827,ple_adapter,50000,15000,186,3,3,3,0.1,58324,17,0.5063986778259277,0.46979593459346486,0.0,0.004794742912054062,0.007619838695973158,"[-0.005557209253311157, -0.0012071813689544797, 0.007619838695973158]",41.99767941213213,False
cooking-time,ft_transformer,20260827,semantic_noalign,50000,15000,186,3,3,3,0.1,58324,17,0.5054165124893188,0.4693401265013964,0.0,0.09200086444616318,0.18400153517723083,"[0.18400153517723083, -0.015409760177135468, -0.07659128308296204]",40.42110188794322,False
cooking-time,ft_transformer,20260827,semantic_local,50000,15000,186,3,3,3,0.1,58324,8,0.507779061794281,0.47043580340938973,0.045220211148262024,0.06231231614947319,0.08736533671617508,"[0.05869143083691597, -0.08736533671617508, 0.04088017717003822]",27.680941078113392,False
cooking-time,ft_transformer,20260827,semantic_wrong_local,50000,15000,186,3,3,3,0.1,58324,19,0.5054150819778442,0.4693394622997974,0.049711089581251144,0.09990271180868149,0.16288262605667114,"[0.05041925981640816, -0.16288262605667114, 0.08640623837709427]",43.181260514073074,False
