dataset,task,model,seed,method,bins,spike_fraction,heat_strength,input_size,width,parameter_count,baseline_parameter_count,parameter_error_fraction,input_features,parameters,best_epoch,train_loss,val_loss,test_loss,val_metric,test_metric,first_gradient_norm,first_weight_norm,first_update_ratio,train_seconds
churn,binclass,mlp,20260841,quantile_ple,32,0.35,1.0,163,128,37633,37633,0.0,163,37633,20,0.3250645894841378,0.3465908636210656,0.35892563504508296,0.860625,0.8525,0.22201204299926758,8.404397010803223,0.022156493738293648,7.6641837591305375
churn,binclass,mlp,20260841,adaptive_support_whitened,32,0.35,1.0,163,128,37633,37633,0.0,163,37633,16,0.3102931282349335,0.3532514869360975,0.3701756614216324,0.85,0.8475,0.17702461779117584,8.226011276245117,0.02215471677482128,6.751970982877538
churn,binclass,mlp,20260841,adaptive_support_riesz,32,0.35,1.0,163,128,37633,37633,0.0,163,37633,16,0.3145382403460068,0.35307107186531,0.3685868145711413,0.854375,0.8515,0.17824575304985046,8.24919605255127,0.022153163328766823,6.79434954887256
churn,binclass,mlp,20260841,adaptive_support_wrong_riesz,32,0.35,1.0,163,128,37633,37633,0.0,163,37633,16,0.3183365414153993,0.3506017663060409,0.36530538033866483,0.85125,0.8435,0.17603321373462677,8.273528099060059,0.022154640406370163,6.689234838122502
churn,binclass,resnet,20260841,quantile_ple,32,0.35,1.0,163,128,153729,153729,0.0,163,153729,9,0.3259090093377429,0.35207423408261174,0.3627486590418045,0.855625,0.851,1.7512800693511963,6.875842094421387,0.02216464653611183,4.644545818911865
churn,binclass,resnet,20260841,adaptive_support_whitened,32,0.35,1.0,163,128,153729,153729,0.0,163,153729,8,0.3207770783726714,0.36882976604669326,0.3775594754865856,0.85125,0.8535,1.4597737789154053,6.868194580078125,0.022164270281791687,4.462188513949513
churn,binclass,resnet,20260841,adaptive_support_riesz,32,0.35,1.0,163,128,153729,153729,0.0,163,153729,8,0.31087402349614,0.36232944391634314,0.37272698472956145,0.856875,0.847,1.6169136762619019,6.876290798187256,0.022163907065987587,4.723418485140428
churn,binclass,resnet,20260841,adaptive_support_wrong_riesz,32,0.35,1.0,163,128,153729,153729,0.0,163,153729,8,0.3199789578736455,0.35799995024181397,0.36937956995215415,0.858125,0.8485,1.6194113492965698,6.877811908721924,0.022164294496178627,4.2380687079858035
tabred-weather,regression,mlp,20260841,quantile_ple,32,0.35,1.0,2772,128,371585,371585,0.0,2772,371585,11,0.14091111719608307,0.19090142846107483,0.18292582035064697,1.6955955404379495,1.659797841660783,1.123703956604004,13.697482109069824,0.09112205356359482,39.09005848784
tabred-weather,regression,mlp,20260841,adaptive_support_whitened,32,0.35,1.0,2779,128,372481,371585,0.0024112921673372176,2779,372481,3,0.12749111652374268,0.2138330340385437,0.20954380929470062,1.79454806912495,1.776458676639706,0.9281302094459534,10.178390502929688,0.09125208854675293,18.029269800055772
tabred-weather,regression,mlp,20260841,adaptive_support_riesz,32,0.35,1.0,2779,128,372481,371585,0.0024112921673372176,2779,372481,3,0.13831475377082825,0.20123451948165894,0.1964808851480484,1.740880377106464,1.7201956662060027,0.8686571717262268,10.083019256591797,0.09122169017791748,14.552184275118634
tabred-weather,regression,mlp,20260841,adaptive_support_wrong_riesz,32,0.35,1.0,2779,128,372481,371585,0.0024112921673372176,2779,372481,2,0.16322842240333557,0.2099732756614685,0.19493022561073303,1.7782781752719785,1.7133941739884406,0.7369852066040039,9.30795669555664,0.09123638272285461,10.121591330040246
tabred-weather,regression,resnet,20260841,quantile_ple,32,0.35,1.0,2772,128,487681,487681,0.0,2772,487681,17,0.1481310874223709,0.19008149206638336,0.17734085023403168,1.691950297754758,1.634263447525612,13.778366088867188,16.390684127807617,0.09115234017372131,25.112530102953315
tabred-weather,regression,resnet,20260841,adaptive_support_whitened,32,0.35,1.0,2779,128,488577,487681,0.0018372665738464282,2779,488577,4,0.12943334877490997,0.2058306634426117,0.1975124329328537,1.7606487463044402,1.7247053210921948,8.148629188537598,9.503583908081055,0.09127014130353928,16.60941550694406
tabred-weather,regression,resnet,20260841,adaptive_support_riesz,32,0.35,1.0,2779,128,488577,487681,0.0018372665738464282,2779,488577,4,0.15617381036281586,0.20158430933952332,0.19366507232189178,1.742392693666062,1.7078248797386024,9.048188209533691,9.258992195129395,0.09126436710357666,24.22115873498842
tabred-weather,regression,resnet,20260841,adaptive_support_wrong_riesz,32,0.35,1.0,2779,128,488577,487681,0.0018372665738464282,2779,488577,4,0.1564875841140747,0.20310601592063904,0.19569404423236847,1.748956744319166,1.7167477324896723,8.677785873413086,9.57869815826416,0.09126867353916168,9.018071219790727
