dataset,task,model,seed,method,bins,spike_fraction,heat_strength,input_size,width,parameter_count,baseline_parameter_count,parameter_error_fraction,input_features,parameters,best_epoch,train_loss,val_loss,test_loss,val_metric,test_metric,first_gradient_norm,first_weight_norm,first_update_ratio,train_seconds
adult,binclass,mlp,20260840,quantile_ple,32,0.35,1.0,190,128,41089,41089,0.0,190,41089,18,0.28643881135454724,0.3028845847197668,0.30460370596618375,0.8561338860740059,0.8594666666666667,0.13602639734745026,11.748647689819336,0.023675404489040375,57.293692032806575
adult,binclass,mlp,20260840,adaptive_support_ple,32,0.35,1.0,204,124,41045,41089,-0.0010708462118815254,204,41045,22,0.2803586844204156,0.29768783212878464,0.29821124491287093,0.8599723629663749,0.8603333333333333,0.15306612849235535,12.597006797790527,0.024563677608966827,59.45558435609564
adult,binclass,mlp,20260840,adaptive_support_whitened,32,0.35,1.0,204,124,41045,41089,-0.0010708462118815254,204,41045,7,0.2790073138591252,0.28921826334121953,0.292035543236391,0.8636573007830493,0.8659333333333333,0.12384739518165588,8.82365894317627,0.024569625034928322,30.871923495084047
adult,binclass,mlp,20260840,adaptive_support_mass25,32,0.35,1.0,204,124,41045,41089,-0.0010708462118815254,204,41045,14,0.2773590676363156,0.2939333051774636,0.2945097122606674,0.8608935974205435,0.8634,0.12239547818899155,11.432846069335938,0.024551615118980408,40.93119658110663
adult,binclass,mlp,20260840,adaptive_support_mass50,32,0.35,1.0,204,124,41045,41089,-0.0010708462118815254,204,41045,14,0.2730098669005979,0.2922291841484236,0.29255324614064976,0.8621219100261016,0.8657333333333334,0.12255267053842545,11.068008422851562,0.024561405181884766,32.12494682194665
adult,binclass,mlp,20260840,adaptive_support_mass75,32,0.35,1.0,204,124,41045,41089,-0.0010708462118815254,204,41045,11,0.2740110206567927,0.29111252959874784,0.292033846326873,0.8610471364962383,0.8658,0.12284088134765625,9.941864013671875,0.024566546082496643,20.215523764956743
adult,binclass,resnet,20260840,quantile_ple,32,0.35,1.0,190,128,157185,157185,0.0,190,157185,6,0.2915745692807631,0.30610403904489364,0.3083918064783794,0.8532166436358053,0.8583333333333333,1.6629142761230469,7.402853965759277,0.023735258728265762,14.359027520054951
adult,binclass,resnet,20260840,adaptive_support_ple,32,0.35,1.0,204,127,156719,157185,-0.0029646594776855297,204,156719,8,0.27793564319269304,0.3005219272172066,0.3038247681046774,0.855980346998311,0.8615333333333334,1.5654847621917725,7.8125410079956055,0.024603992700576782,13.698004069039598
adult,binclass,resnet,20260840,adaptive_support_whitened,32,0.35,1.0,204,127,156719,157185,-0.0029646594776855297,204,156719,4,0.28202367400723943,0.29514283437046923,0.29831237308150543,0.8575157377552587,0.8601333333333333,1.5304781198501587,7.079863548278809,0.024603955447673798,7.142007444985211
adult,binclass,resnet,20260840,adaptive_support_mass25,32,0.35,1.0,204,127,156719,157185,-0.0029646594776855297,204,156719,6,0.277665448933758,0.2966230812952792,0.29981003557873553,0.8581298940580377,0.8623333333333333,1.8544944524765015,7.524585723876953,0.024603402242064476,13.90339971613139
