dataset,task,model,alternate_view,split,primary_metric,heterobag,t_plus_t_plus_t,relative_gain_pct,win
openml-ionosphere-59,classification,mlp,qple,val,log_loss,0.2842366691886597,0.287753782445973,1.2222648221743708,True
openml-ionosphere-59,classification,mlp,qple,test,log_loss,0.1839000641950681,0.1823419897333944,-0.8544792474579121,False
openml-ionosphere-59,classification,resnet,qple,val,log_loss,0.2491467845450931,0.2345545165779104,-6.221269229891667,False
openml-ionosphere-59,classification,resnet,qple,test,log_loss,0.2426937538299383,0.245457104617254,1.125797842203287,True
openml-ionosphere-59,classification,ft_transformer,qple,val,log_loss,0.3352507012702395,0.3359232013445012,0.2001945895877717,True
openml-ionosphere-59,classification,ft_transformer,qple,test,log_loss,0.2933300811088055,0.3049433163533625,3.808325882801066,True
openml-diabetes-37,classification,mlp,qple,val,log_loss,0.4201743037535696,0.4236451053533259,0.8192710256528448,True
openml-diabetes-37,classification,mlp,qple,test,log_loss,0.4430155454646021,0.4473656620433621,0.9723849968481383,True
openml-diabetes-37,classification,resnet,qple,val,log_loss,0.4355074560714721,0.4371955235691343,0.3861127131131909,True
openml-diabetes-37,classification,resnet,qple,test,log_loss,0.4367578667354322,0.4335463324546382,-0.7407591854395486,False
openml-diabetes-37,classification,ft_transformer,qple,val,log_loss,0.4670442898573038,0.4789548739018208,2.4867862701734422,True
openml-diabetes-37,classification,ft_transformer,qple,test,log_loss,0.4619889339876524,0.4723554593619168,2.1946449794966005,True
openml-cpu-small-562,regression,mlp,midrank,val,rmse,3.069600933970274,3.0817310775242768,0.3936146032491482,True
openml-cpu-small-562,regression,mlp,midrank,test,rmse,2.989104033687274,2.98996474271439,0.02878659453136597,True
openml-cpu-small-562,regression,resnet,midrank,val,rmse,2.961681804402021,2.991242791165997,0.9882509989251965,True
openml-cpu-small-562,regression,resnet,midrank,test,rmse,2.9094677757997744,2.928179626747057,0.6390267446833422,True
openml-cpu-small-562,regression,ft_transformer,midrank,val,rmse,3.013282672448141,3.0374669245128194,0.7961980382241485,True
openml-cpu-small-562,regression,ft_transformer,midrank,test,rmse,2.9296935686542263,2.937907799733785,0.27959458361161255,True
openml-house-16h-574,regression,mlp,midrank,val,rmse,29639.651572732662,30013.90897751581,1.2469465575560768,True
openml-house-16h-574,regression,mlp,midrank,test,rmse,31349.717975537267,31707.028948343373,1.1269140775953246,True
openml-house-16h-574,regression,resnet,midrank,val,rmse,29494.79938025753,29960.27474306993,1.5536418367460738,True
openml-house-16h-574,regression,resnet,midrank,test,rmse,31324.739813244,31602.1731841687,0.8778933312841986,True
openml-house-16h-574,regression,ft_transformer,midrank,val,rmse,30503.397110417773,30790.509302801867,0.9324697735934109,True
openml-house-16h-574,regression,ft_transformer,midrank,test,rmse,31775.33931986451,31985.995710860538,0.6585894430183439,True
