dataset,task,model,seed,method,bins,spike_fraction,heat_strength,input_size,width,parameter_count,baseline_parameter_count,parameter_error_fraction,input_features,parameters,best_epoch,train_loss,val_loss,test_loss,val_metric,test_metric,first_gradient_norm,first_weight_norm,first_update_ratio,train_seconds
adult,binclass,mlp,20260835,quantile_ple,32,0.35,1.0,190,128,41089,41089,0.0,190,41089,14,0.28981057493942,0.30223837428616157,0.30354603797808327,0.857976354982343,0.8592,0.10902609676122665,10.689555168151855,0.023781249299645424,53.75604603509419
adult,binclass,mlp,20260835,quantile_whitened,32,0.35,1.0,190,128,41089,41089,0.0,190,41089,5,0.2820920021585236,0.30898242739389936,0.3095422969163552,0.8502994011976048,0.8573333333333333,0.0497002974152565,8.341606140136719,0.02378752827644348,31.168086228193715
adult,binclass,mlp,20260835,adaptive_support_whitened,32,0.35,1.0,204,124,41045,41089,-0.0010708462118815254,204,41045,14,0.26607442601231013,0.29000126202252785,0.29312487648820423,0.8624289881774911,0.8648666666666667,0.11426638811826706,10.782617568969727,0.024646228179335594,58.96594362007454
adult,binclass,resnet,20260835,quantile_ple,32,0.35,1.0,190,128,157185,157185,0.0,190,157185,5,0.2962487340304336,0.30575522869063704,0.30810696201732934,0.8532166436358053,0.8572,1.4826525449752808,7.2836761474609375,0.023838723078370094,30.831119725946337
adult,binclass,resnet,20260835,quantile_whitened,32,0.35,1.0,190,128,157185,157185,0.0,190,157185,3,0.28257870907255433,0.3154396163476249,0.3144326657706783,0.8486104713649624,0.8528666666666667,0.45832011103630066,6.963132858276367,0.02384038455784321,22.428700574906543
adult,binclass,resnet,20260835,adaptive_support_whitened,32,0.35,1.0,204,127,156719,157185,-0.0029646594776855297,204,156719,5,0.2767185867616433,0.29348565555790906,0.2953698993632372,0.8621219100261016,0.8647333333333334,1.1458828449249268,7.236085891723633,0.024693399667739868,17.627854423830286
black-friday,regression,mlp,20260835,quantile_ple,32,0.35,1.0,58,128,24193,24193,0.0,58,24193,25,0.5132598280906677,0.5272313952445984,0.5322647094726562,0.7251588373074185,0.7286120471939483,0.1360531747341156,11.36316204071045,0.01313890889286995,21.78633902897127
black-friday,regression,mlp,20260835,quantile_whitened,32,0.35,1.0,58,128,24193,24193,0.0,58,24193,19,0.4606308341026306,0.48323893547058105,0.4855870008468628,0.6942461471875419,0.6959307559649943,0.18119847774505615,8.491870880126953,0.013140343129634857,18.941365856910124
black-friday,regression,mlp,20260835,adaptive_support_whitened,32,0.35,1.0,72,122,24035,24193,-0.006530814698466498,72,24035,23,0.4554653763771057,0.48245668411254883,0.4864216148853302,0.6936840355025424,0.6965285837371482,0.223868727684021,8.87314510345459,0.014646060764789581,104.02782364189625
black-friday,regression,resnet,20260835,quantile_ple,32,0.35,1.0,58,128,140289,140289,0.0,58,140289,14,0.44135773181915283,0.4911963939666748,0.49461326003074646,0.6999388747922808,0.7023691164158947,1.5641332864761353,7.682586193084717,0.013142380863428116,19.46730010700412
black-friday,regression,resnet,20260835,quantile_whitened,32,0.35,1.0,58,128,140289,140289,0.0,58,140289,9,0.44858410954475403,0.48837903141975403,0.49013039469718933,0.6979286543536034,0.6991789555112575,1.121753215789795,7.158137321472168,0.013142237439751625,16.33604974183254
black-friday,regression,resnet,20260835,adaptive_support_whitened,32,0.35,1.0,72,127,139955,140289,-0.002380799635039098,72,139955,6,0.4617021083831787,0.48685410618782043,0.4883541762828827,0.6968381826859655,0.69791091536365,1.3052546977996826,6.861871719360352,0.014667680487036705,54.098346947925165
california,regression,mlp,20260835,quantile_ple,32,0.35,1.0,254,128,49281,49281,0.0,254,49281,24,0.15914340317249298,0.1830824762582779,0.17992623150348663,0.49659498677680247,0.4922958357668037,0.2598768472671509,9.345507621765137,0.027539337053894997,30.080654331017286
california,regression,mlp,20260835,quantile_whitened,32,0.35,1.0,254,128,49281,49281,0.0,254,49281,11,0.07594303041696548,0.19458802044391632,0.19250644743442535,0.5119611095444121,0.5092154568124059,0.23473837971687317,7.779046535491943,0.027568984776735306,19.94843051605858
california,regression,mlp,20260835,adaptive_support_whitened,32,0.35,1.0,249,129,49150,49281,-0.00265822527951949,249,49150,16,0.07185816764831543,0.17758327722549438,0.18022368848323822,0.48908005905130736,0.4927026285986038,0.2443990260362625,8.445856094360352,0.0272638201713562,26.848994594998658
california,regression,resnet,20260835,quantile_ple,32,0.35,1.0,254,128,165377,165377,0.0,254,165377,23,0.10444409400224686,0.1799291968345642,0.18768121302127838,0.49229991718455324,0.5027931384537787,6.8717942237854,7.637631416320801,0.027566419914364815,30.25155236083083
california,regression,resnet,20260835,quantile_whitened,32,0.35,1.0,254,128,165377,165377,0.0,254,165377,6,0.08090677857398987,0.20857681334018707,0.20518073439598083,0.530044038413493,0.5257111984129175,1.4689593315124512,6.781986236572266,0.02757127396762371,14.27913613896817
california,regression,resnet,20260835,adaptive_support_whitened,32,0.35,1.0,249,128,164737,165377,-0.003869945639357347,249,164737,8,0.07779504358768463,0.180097296833992,0.17684930562973022,0.49252982552168234,0.48806831709713805,1.9424880743026733,6.834939956665039,0.02728133462369442,16.686770998872817
