split,level,name,cells,wins,mean_relative_gain_pct,median_relative_gain_pct
val,overall,overall,12,11,1.3842037527108717,0.8109219004347463
val,task,classification,6,5,2.1378835348691254,1.9988682559890565
val,task,regression,6,6,0.6305239705526183,0.662371703842657
val,dataset,openml-fried-564,3,3,0.5461840207885666,0.6303675260528222
val,dataset,openml-magic-telescope-1120,3,3,1.7494002866551845,1.7833469781175821
val,dataset,openml-phoneme-1489,3,2,2.5263667830830663,2.6646924485493093
val,dataset,openml-wine-quality-287,3,3,0.7148639203166701,0.6661382905546427
test,overall,overall,12,12,1.6067012716670088,0.8127735839663593
test,task,classification,6,6,2.809389456098898,2.5161364661913153
test,task,regression,6,6,0.40401308723512,0.25131188486153755
test,dataset,openml-fried-564,3,3,0.18558007004019408,0.21409347030191536
test,dataset,openml-magic-telescope-1120,3,3,2.2424832339577576,2.030178447768963
test,dataset,openml-phoneme-1489,3,3,3.376295678240039,4.305895995273919
test,dataset,openml-wine-quality-287,3,3,0.6224461044300459,0.7353890102959059
