task,dataset,model,seed,selected_heterogeneous_pair,anchor_parameters,tt_parameters,q_parameters,rank_active_parameters,tt_val_log_loss,tt_val_auc,tt_val_accuracy,tt_test_log_loss,tt_test_auc,tt_test_accuracy,tq_val_log_loss,tq_val_auc,tq_val_accuracy,tq_test_log_loss,tq_test_auc,tq_test_accuracy,trank_val_log_loss,trank_val_auc,trank_val_accuracy,trank_test_log_loss,trank_test_auc,trank_test_accuracy,tt_val_loss,tt_val_rmse,tt_test_loss,tt_test_rmse,tq_val_loss,tq_val_rmse,tq_test_loss,tq_test_rmse,trank_val_loss,trank_val_rmse,trank_test_loss,trank_test_rmse
classification,openml-credit-g-31,mlp,20260827,tq,62451,62451,62451,62591,0.45365096942479466,0.8321428571428572,0.78,0.5040564414282805,0.780952380952381,0.74,0.45309679838750666,0.8336309523809523,0.785,0.5048742367200609,0.7829761904761905,0.72,0.4607906938658718,0.8255952380952382,0.765,0.49803560859123,0.7889285714285714,0.705,,,,,,,,,,,,
classification,openml-credit-g-31,resnet,20260827,tq,179191,179191,179191,179265,0.4647494405604791,0.8244642857142856,0.795,0.5120890194597366,0.7780952380952382,0.725,0.45770811308204956,0.8313690476190476,0.805,0.5111317055336904,0.7803571428571429,0.705,0.4658277946295902,0.8204166666666667,0.77,0.4880471292312929,0.7977380952380951,0.73,,,,,,,,,,,,
classification,openml-credit-g-31,ft_transformer,20260827,trank,11251,11251,11251,11273,0.4682371171295759,0.8411309523809524,0.79,0.503953659370896,0.7994047619047618,0.765,0.46452452256150395,0.843154761904762,0.79,0.5050782515174969,0.803154761904762,0.755,0.4529044587517486,0.8460119047619047,0.795,0.513256159261702,0.7927380952380951,0.755,,,,,,,,,,,,
classification,openml-spambase-44,mlp,20260827,trank,182581,182581,182581,182581,0.15863413419839975,0.985224954949603,0.941304347826087,0.1676940715349367,0.9839302112029386,0.9446254071661238,0.15370372315958944,0.9859576427255986,0.9423913043478261,0.16316860040719783,0.984502897992634,0.9467969598262758,0.1518195047442441,0.9859031862017069,0.9434782608695652,0.16124002129200996,0.984490555604925,0.9467969598262758,,,,,,,,,,,,
classification,openml-spambase-44,resnet,20260827,trank,298787,298787,298787,298787,0.15189365953872333,0.9857868472643021,0.9445652173913044,0.1571207696442943,0.9830218114675593,0.9467969598262758,0.13999784072596885,0.9867571635081883,0.9445652173913044,0.1502533895935522,0.9850755847823297,0.9489685124864278,0.139341372350827,0.9867546882116479,0.9478260869565217,0.15403168535474357,0.9825528007346188,0.9500542888165038,,,,,,,,,,,,
classification,openml-spambase-44,ft_transformer,20260827,trank,34801,34801,34801,34801,0.17129908804442298,0.9827546090021584,0.9478260869565217,0.1771959937409456,0.9775566021900333,0.9522258414766558,0.1713484611679558,0.9802941642408761,0.9467391304347826,0.17591082256764537,0.9780354868331408,0.9511400651465798,0.16413096148628223,0.985229905542684,0.9456521739130435,0.1685082431713886,0.9821060062995547,0.9543973941368078,,,,,,,,,,,,
regression,openml-kin8nm-189,mlp,20260827,tq,35329,35329,35329,35329,,,,,,,,,,,,,,,,,,,0.12537342309951782,0.09305195636369848,0.12622758746147156,0.09336839802169587,0.10996340960264206,0.08714588109553813,0.11100389808416367,0.08755720337803818,0.11430458724498749,0.08884941985156454,0.11508018523454666,0.0891503479715096
regression,openml-kin8nm-189,resnet,20260827,tq,151425,151425,151425,151425,,,,,,,,,,,,,,,,,,,0.07691527903079987,0.07288347589815415,0.08279800415039062,0.07561930832382542,0.0756826177239418,0.07229709366799343,0.07952523976564407,0.07410973496122242,0.07808313518762589,0.07343471063546905,0.08214369416236877,0.0753199254576447
regression,openml-kin8nm-189,ft_transformer,20260827,trank,8801,8801,8801,8801,,,,,,,,,,,,,,,,,,,0.15000708401203156,0.10178379769332149,0.15712590515613556,0.10417095911705253,0.14116354286670685,0.0987379352594649,0.14542028307914734,0.10021558347815761,0.1411547064781189,0.09873484487082505,0.14065545797348022,0.09856008312074946
regression,openml-abalone-183,mlp,20260827,tq,37479,37479,37479,37289,,,,,,,,,,,,,,,,,,,0.40548813343048096,2.0690212786928313,0.4488151967525482,2.1767555446639646,0.40479087829589844,2.0672416256102735,0.4402662515640259,2.1559246624807167,0.4084870517253876,2.0766582414495427,0.44145479798316956,2.1588327771483806
regression,openml-abalone-183,resnet,20260827,trank,153415,153415,153415,153623,,,,,,,,,,,,,,,,,,,0.41575634479522705,2.095054501807674,0.4574226438999176,2.1975294931643576,0.41353821754455566,2.089458300590363,0.4472197890281677,2.1728832333620596,0.40784502029418945,2.075025626464077,0.45475563406944275,2.1911137628169954
regression,openml-abalone-183,ft_transformer,20260827,trank,11167,11167,11167,11177,,,,,,,,,,,,,,,,,,,0.4160431921482086,2.0957771092008968,0.44813114404678345,2.1750960828999912,0.4165745675563812,2.0971150580902367,0.44960248470306396,2.1786638830481833,0.41493546962738037,2.0929852273816896,0.44701141119003296,2.172376957168215
