dataset,model,seed,method,strength,width,baseline_parameter_count,parameter_count,parameter_error_fraction,input_features,parameters,best_epoch,train_loss,val_loss,test_loss,val_metric,test_metric,first_gradient_norm,first_weight_norm,first_update_ratio,train_seconds
tabred-cooking-time,mlp,20260847,quantile_ple,1.0,128,641281,641281,0.0,4879,641281,8,0.47337621450424194,0.5282541513442993,0.5503653883934021,0.47842747954595666,0.4883376774062178,1.6115602254867554,10.316040992736816,0.12100469321012497,13.834733974188566
tabred-cooking-time,mlp,20260847,anchor_only,1.0,128,641281,641409,0.00019960048714993896,4880,641409,7,0.4732358455657959,0.5271205306053162,0.5545766949653625,0.47791385284528687,0.49020244326287,1.7308611869812012,10.099475860595703,0.12101776152849197,10.333712178980932
tabred-cooking-time,mlp,20260847,anchor_mass_representer,1.0,124,641281,643933,0.004135472593137798,5066,643933,5,0.4701155126094818,0.5282651782035828,0.5521906018257141,0.4784325016388209,0.48914674441366657,1.8647675514221191,9.43199634552002,0.12331242859363556,12.407599048921838
tabred-cooking-time,mlp,20260847,anchor_riesz_representer,1.0,124,641281,643933,0.004135472593137798,5066,643933,4,0.4794858694076538,0.5300109386444092,0.555241584777832,0.47922238268212425,0.4904961964603274,1.869203805923462,9.008126258850098,0.12331268191337585,10.094149032840505
tabred-cooking-time,mlp,20260847,anchor_wrong_representer,1.0,124,641281,643933,0.004135472593137798,5066,643933,7,0.4612833559513092,0.5292440056800842,0.5563716888427734,0.47887550515858734,0.490995109998309,1.876853346824646,10.326484680175781,0.1233135312795639,13.553066708846018
tabred-cooking-time,resnet,20260847,quantile_ple,1.0,128,757377,757377,0.0,4879,757377,11,0.4756675660610199,0.5242094993591309,0.5455235242843628,0.4765924146603844,0.486184847441681,17.812517166137695,14.112153053283691,0.12103244662284851,26.52787923393771
tabred-cooking-time,resnet,20260847,anchor_only,1.0,128,757377,757505,0.0001690043399786368,4880,757505,20,0.45894718170166016,0.5212979912757874,0.5482150912284851,0.4752670529654317,0.48738277353020365,37.47425079345703,17.752395629882812,0.12104440480470657,28.170586784835905
tabred-cooking-time,resnet,20260847,anchor_mass_representer,1.0,125,757377,760001,0.003464588969562054,5066,760001,12,0.45750901103019714,0.5233024954795837,0.5492140650749207,0.47617989681370787,0.48782660098708064,18.323801040649414,15.286711692810059,0.12332621216773987,21.86569262901321
tabred-cooking-time,resnet,20260847,anchor_riesz_representer,1.0,125,757377,760001,0.003464588969562054,5066,760001,12,0.4597204625606537,0.5223596096038818,0.5485703945159912,0.4757507432844186,0.4875406555746231,18.528297424316406,15.070383071899414,0.12332604825496674,20.359147005015984
tabred-cooking-time,resnet,20260847,anchor_wrong_representer,1.0,125,757377,760001,0.003464588969562054,5066,760001,12,0.46049657464027405,0.5234535336494446,0.5490341186523438,0.4762486367097871,0.48774667908735836,18.19131088256836,15.11573314666748,0.12332598865032196,23.95827734284103
