dataset,model,seed,method,strength,width,baseline_parameter_count,parameter_count,parameter_error_fraction,input_features,parameters,best_epoch,train_loss,val_loss,test_loss,val_metric,test_metric,first_gradient_norm,first_weight_norm,first_update_ratio,train_seconds
california,mlp,20260850,anchor_isospectral_representer,1.0,126,49281,49393,0.00227268115500903,263,49393,21,0.14325882494449615,0.15285378694534302,0.1472146064043045,0.45375040771579833,0.44530173462109346,0.44462937116622925,7.709111213684082,0.02815982699394226,2.8747550630941987
california,mlp,20260851,anchor_isospectral_representer,1.0,126,49281,49393,0.00227268115500903,263,49393,25,0.13999205827713013,0.15470227599143982,0.14760471880435944,0.4564858223151447,0.44589136113275885,0.3858732581138611,8.036499977111816,0.028099289163947105,2.438689246075228
california,mlp,20260852,anchor_isospectral_representer,1.0,126,49281,49393,0.00227268115500903,263,49393,21,0.141230970621109,0.15448541939258575,0.14787358045578003,0.4561657423163794,0.4462972546691226,0.3636076748371124,7.862536907196045,0.028012912720441818,2.4227564549073577
california,resnet,20260850,anchor_isospectral_representer,1.0,128,165377,166529,0.006965902150843225,263,166529,10,0.1347278207540512,0.15770770609378815,0.15371784567832947,0.4608985958446965,0.45503110818200554,3.2427780628204346,6.795584201812744,0.028149133548140526,2.071558711118996
california,resnet,20260851,anchor_isospectral_representer,1.0,128,165377,166529,0.006965902150843225,263,166529,13,0.12963753938674927,0.1628401130437851,0.15348978340625763,0.4683382594598271,0.4546934227456596,3.121173858642578,6.883892059326172,0.028096366673707962,2.7634554328396916
california,resnet,20260852,anchor_isospectral_representer,1.0,128,165377,166529,0.006965902150843225,263,166529,9,0.14183197915554047,0.16301552951335907,0.15453273057937622,0.46859044265314864,0.4562356106541259,3.266571044921875,6.809345722198486,0.02801293320953846,2.2324131219647825
tabred-weather,mlp,20260850,anchor_isospectral_representer,1.0,124,371585,372001,0.001119528506263708,2873,372001,9,0.14009885489940643,0.18963295221328735,0.16948144137859344,1.6913705188893005,1.5989796591105687,1.0663317441940308,11.485913276672363,0.09273135662078857,17.075033948989585
tabred-weather,mlp,20260851,anchor_isospectral_representer,1.0,124,371585,372001,0.001119528506263708,2873,372001,6,0.15370716154575348,0.18947306275367737,0.17471471428871155,1.6906573651154986,1.6234787657856486,1.4739925861358643,9.754921913146973,0.09273155778646469,11.484844698105007
tabred-weather,mlp,20260852,anchor_isospectral_representer,1.0,124,371585,372001,0.001119528506263708,2873,372001,3,0.17018833756446838,0.1944192349910736,0.1753438115119934,1.71258247398697,1.6263989805893289,1.455554723739624,8.76146411895752,0.09279795736074448,7.317414389923215
tabred-weather,resnet,20260850,anchor_isospectral_representer,1.0,125,487681,485876,-0.003701189917179468,2873,485876,14,0.1490693986415863,0.18786132335662842,0.17292602360248566,1.683451282493479,1.615146985963463,29.110355377197266,13.236639022827148,0.09274454414844513,19.303858360974118
tabred-weather,resnet,20260851,anchor_isospectral_representer,1.0,125,487681,485876,-0.003701189917179468,2873,485876,14,0.150481715798378,0.18702642619609833,0.16900299489498138,1.6797063280958469,1.5967210880288576,18.369295120239258,13.234582901000977,0.09276485443115234,20.187716607004404
tabred-weather,resnet,20260852,anchor_isospectral_representer,1.0,125,487681,485876,-0.003701189917179468,2873,485876,15,0.14306451380252838,0.18693770468235016,0.16798004508018494,1.6793079065263896,1.5918814582150844,15.936503410339355,14.727049827575684,0.09282807260751724,21.89676845120266
