dataset,model,seed,method,strength,width,baseline_parameter_count,parameter_count,parameter_error_fraction,input_features,parameters,best_epoch,train_loss,val_loss,test_loss,val_metric,test_metric,first_gradient_norm,first_weight_norm,first_update_ratio,train_seconds
california,mlp,20260850,anchor_wrong_representer,1.0,126,49281,49393,0.00227268115500903,263,49393,21,0.1434134840965271,0.15292514860630035,0.1470988690853119,0.45385631704757046,0.4451266487172951,0.44825324416160583,7.667891979217529,0.0281586442142725,2.6756263519637287
california,mlp,20260851,anchor_wrong_representer,1.0,126,49281,49393,0.00227268115500903,263,49393,25,0.14118926227092743,0.15464754402637482,0.1471620351076126,0.4564050586673041,0.44522221615154933,0.3874959349632263,7.948659420013428,0.028099369257688522,2.4235432879067957
california,mlp,20260852,anchor_wrong_representer,1.0,126,49281,49393,0.00227268115500903,263,49393,17,0.14482374489307404,0.15495531260967255,0.1500658094882965,0.45685899533294005,0.44959327620816936,0.3670543134212494,7.54204797744751,0.028014058247208595,2.198556133080274
california,resnet,20260850,anchor_wrong_representer,1.0,128,165377,166529,0.006965902150843225,263,166529,10,0.13865230977535248,0.15644297003746033,0.15282641351222992,0.45904680818812693,0.45370976647973293,3.25087833404541,6.7893853187561035,0.028149355202913284,1.9374739688355476
california,resnet,20260851,anchor_wrong_representer,1.0,128,165377,166529,0.006965902150843225,263,166529,11,0.13769148290157318,0.16465000808238983,0.15292426943778992,0.4709337298539644,0.45385500269270196,3.0543060302734375,6.806135177612305,0.028096791356801987,2.0539113879203796
california,resnet,20260852,anchor_wrong_representer,1.0,128,165377,166529,0.006965902150843225,263,166529,9,0.1417689472436905,0.16173429787158966,0.15212176740169525,0.4667453305357796,0.4526626061206862,3.264570474624634,6.784041404724121,0.028013240545988083,1.7409566990099847
tabred-weather,mlp,20260850,anchor_wrong_representer,1.0,124,371585,372001,0.001119528506263708,2873,372001,9,0.13922293484210968,0.18964271247386932,0.17018641531467438,1.6914141577422015,1.6023017680714702,1.0690593719482422,11.385520935058594,0.09273184835910797,10.406014282954857
tabred-weather,mlp,20260851,anchor_wrong_representer,1.0,124,371585,372001,0.001119528506263708,2873,372001,9,0.14243441820144653,0.1915149837732315,0.17221249639987946,1.699742927988325,1.611811333910282,1.4907881021499634,11.188173294067383,0.09273340553045273,10.7877644400578
tabred-weather,mlp,20260852,anchor_wrong_representer,1.0,124,371585,372001,0.001119528506263708,2873,372001,13,0.12557853758335114,0.19059450924396515,0.17157572507858276,1.6956532613786521,1.6088286125268496,1.457640528678894,13.742308616638184,0.0928000658750534,13.392104147933424
tabred-weather,resnet,20260850,anchor_wrong_representer,1.0,125,487681,485876,-0.003701189917179468,2873,485876,13,0.15191343426704407,0.18708014488220215,0.17049677670001984,1.67994755719252,1.6037621069791612,29.37101936340332,12.553675651550293,0.09274409711360931,15.068026227178052
tabred-weather,resnet,20260851,anchor_wrong_representer,1.0,125,487681,485876,-0.003701189917179468,2873,485876,14,0.15068672597408295,0.18718938529491425,0.16812637448310852,1.680437886584798,1.5925745867327805,18.136917114257812,13.258685111999512,0.09276476502418518,17.960011766059324
tabred-weather,resnet,20260852,anchor_wrong_representer,1.0,125,487681,485876,-0.003701189917179468,2873,485876,13,0.1493643969297409,0.18760547041893005,0.16891168057918549,1.682304518260878,1.5962896768756423,16.197792053222656,13.708199501037598,0.09282802045345306,18.204125558026135
