dataset,model,seed,method,strength,width,baseline_parameter_count,parameter_count,parameter_error_fraction,input_features,parameters,best_epoch,train_loss,val_loss,test_loss,val_metric,test_metric,first_gradient_norm,first_weight_norm,first_update_ratio,train_seconds
california,mlp,20260850,anchor_riesz_representer,1.0,128,49281,49409,0.002597349891438891,255,49409,23,0.14964339137077332,0.1524973064661026,0.14689454436302185,0.45322099941008176,0.44481739485205196,0.33359116315841675,7.707949638366699,0.027736468240618706,2.7914916989393532
california,mlp,20260850,anchor_wrong_representer,1.0,128,49281,49409,0.002597349891438891,255,49409,23,0.14964339137077332,0.1524973064661026,0.14689454436302185,0.45322099941008176,0.44481739485205196,0.33359116315841675,7.707949638366699,0.027736468240618706,2.4426246059592813
california,mlp,20260851,anchor_riesz_representer,1.0,128,49281,49409,0.002597349891438891,255,49409,23,0.14995868504047394,0.15263335406780243,0.14820246398448944,0.4534230987652563,0.44679328527883655,0.3855631351470947,7.880903720855713,0.02767302468419075,2.417570120887831
california,mlp,20260851,anchor_wrong_representer,1.0,128,49281,49409,0.002597349891438891,255,49409,23,0.14995868504047394,0.15263335406780243,0.14820246398448944,0.4534230987652563,0.44679328527883655,0.3855631351470947,7.880903720855713,0.02767302468419075,2.5549228629097342
california,mlp,20260852,anchor_riesz_representer,1.0,128,49281,49409,0.002597349891438891,255,49409,13,0.15433906018733978,0.15427875518798828,0.14915581047534943,0.4558605352805998,0.4482280419709461,0.33352625370025635,7.239808082580566,0.02756969816982746,1.8996435129083693
california,mlp,20260852,anchor_wrong_representer,1.0,128,49281,49409,0.002597349891438891,255,49409,13,0.15433906018733978,0.15427875518798828,0.14915581047534943,0.4558605352805998,0.4482280419709461,0.33352625370025635,7.239808082580566,0.02756969816982746,1.6680068799760193
california,resnet,20260850,anchor_riesz_representer,1.0,128,165377,165505,0.0007739891278714695,255,165505,12,0.14395999908447266,0.15455442667007446,0.1514374166727066,0.456267639406974,0.451643254743594,6.49027156829834,6.802332878112793,0.027741938829421997,2.125860686181113
california,resnet,20260850,anchor_wrong_representer,1.0,128,165377,165505,0.0007739891278714695,255,165505,12,0.14395999908447266,0.15455442667007446,0.1514374166727066,0.456267639406974,0.451643254743594,6.49027156829834,6.802332878112793,0.027741938829421997,2.17591700097546
california,resnet,20260851,anchor_riesz_representer,1.0,128,165377,165505,0.0007739891278714695,255,165505,11,0.14523570239543915,0.15592391788959503,0.15122655034065247,0.4582846553058282,0.45132870887059084,3.786465883255005,6.781329154968262,0.027683384716510773,1.9735622939188033
california,resnet,20260851,anchor_wrong_representer,1.0,128,165377,165505,0.0007739891278714695,255,165505,11,0.14523570239543915,0.15592391788959503,0.15122655034065247,0.4582846553058282,0.45132870887059084,3.786465883255005,6.781329154968262,0.027683384716510773,1.7523160700220615
california,resnet,20260852,anchor_riesz_representer,1.0,128,165377,165505,0.0007739891278714695,255,165505,8,0.15247170627117157,0.15923567116260529,0.15289553999900818,0.46312594311079636,0.4538123899243338,3.2669262886047363,6.757093906402588,0.0275842547416687,1.578741773031652
california,resnet,20260852,anchor_wrong_representer,1.0,128,165377,165505,0.0007739891278714695,255,165505,8,0.15247170627117157,0.15923567116260529,0.15289553999900818,0.46312594311079636,0.4538123899243338,3.2669262886047363,6.757093906402588,0.0275842547416687,1.6651385778095573
