dataset,fields,strength,semantic_retention,node_control_retention,isospectral_retention,semantic_minus_node,semantic_minus_isospectral
california,8,0.01,0.9493783351744164,0.9487232296523759,0.9614313766351777,0.0006551055220404834,-0.012053041460761388
california,8,0.03,0.8870663129232098,0.8858978022657985,0.9138636479279579,0.0011685106574112298,-0.02679733500474818
california,8,0.1,0.7677330400130414,0.7660129005728361,0.8206408036355858,0.001720139440205306,-0.05290776362254436
california,8,0.3,0.6206629287765844,0.6187224663049509,0.6933487133833173,0.0019404624716334892,-0.07268578460673293
california,8,1.0,0.4547326064049668,0.44542832040160707,0.5220272778696791,0.009304286003359795,-0.06729467146471221
california,8,3.0,0.32360288395745923,0.30414728825002335,0.3671923530561611,0.019455595707435852,-0.043589469098701886
california,8,10.0,0.20998134684420275,0.18501809671150782,0.22649364171128475,0.02496325013269493,-0.016512294867082007
california,8,30.0,0.13204646621966512,0.1099810003130324,0.13242427315832977,0.02206546590663273,-0.00037780693866464667
california,8,100.0,0.07070349978118728,0.0585056439981901,0.06570188726656681,0.012197855782997173,0.00500161251462047
tabred-weather,100,0.01,0.9665301314131576,0.9548725997838676,0.9652938323350728,0.011657531629289973,0.00123629907808478
tabred-weather,100,0.03,0.9253716474827445,0.91027953321603,0.9257963201497255,0.015092114266714534,-0.00042467266698102007
tabred-weather,100,0.1,0.8313186127632742,0.8199837933613984,0.8366482042572041,0.011334819401875836,-0.005329591493929817
tabred-weather,100,0.3,0.6889552187506843,0.6885071600592759,0.7034497756083049,0.000448058691408381,-0.014494556857620609
tabred-weather,100,1.0,0.4945364792036715,0.508296777061976,0.5223329051533843,-0.013760297858304483,-0.02779642594971281
tabred-weather,100,3.0,0.3276471167667811,0.3512411556795428,0.362968914357406,-0.02359403891276171,-0.03532179759062494
tabred-weather,100,10.0,0.19154709583790372,0.2174625170107531,0.22415269342822886,-0.025915421172849364,-0.032605597590325136
tabred-weather,100,30.0,0.11182656225992331,0.1321357435748187,0.13471029230504195,-0.020309181314895394,-0.02288373004511865
tabred-weather,100,100.0,0.05911844275632777,0.0698421116332862,0.07052405610397536,-0.010723668876958432,-0.011405613347647583
