dataset,model,seed,method,n_train,n_val,n_test,n_num,n_support_fields,support_levels,parameters,target_parameters,matched_width,matched_ft_feedforward_width,best_epoch,val_loss,val_rmse,test_loss,test_rmse,mean_support_gate,train_seconds
cooking-time,mlp,20260827,qple,50000,15000,15000,186,12,419,467579,467821,130,64,8,0.5036054849624634,0.46849849325243104,0.5307406783103943,0.48095468579878237,0.0,13.785914819920436
cooking-time,mlp,20260827,tple,50000,15000,15000,186,12,419,467579,467821,130,64,12,0.5018068552017212,0.4676611224417131,0.5307167768478394,0.4809438559808424,0.0,20.068775094812736
cooking-time,mlp,20260827,qple_bin_control,50000,15000,15000,186,12,419,467821,467821,128,64,12,0.5020223259925842,0.4677615161450568,0.528152346611023,0.4797804854997203,0.2816307842731476,21.40169321000576
cooking-time,mlp,20260827,qple_support,50000,15000,15000,186,12,419,467821,467821,128,64,8,0.5029144287109375,0.46817694199315335,0.529225766658783,0.4802677924152451,0.28139543533325195,16.659990814048797
cooking-time,mlp,20260827,tple_support,50000,15000,15000,186,12,419,467821,467821,128,64,8,0.5025225877761841,0.4679945186746604,0.5286175012588501,0.47999171527816786,0.2794863283634186,15.740035102004185
cooking-time,resnet,20260827,qple,50000,15000,15000,186,12,419,582151,583917,129,64,13,0.5025066137313843,0.4679870803773584,0.534322202205658,0.4825747372865613,0.0,21.41924323607236
cooking-time,resnet,20260827,tple,50000,15000,15000,186,12,419,582151,583917,129,64,5,0.5038467049598694,0.46861068193905553,0.5302237272262573,0.48072039942460915,0.0,12.09511409397237
cooking-time,resnet,20260827,qple_bin_control,50000,15000,15000,186,12,419,583917,583917,128,64,8,0.5016698837280273,0.46759729249976917,0.5295649170875549,0.48042165580469487,0.2759280800819397,17.95293498598039
cooking-time,resnet,20260827,qple_support,50000,15000,15000,186,12,419,583917,583917,128,64,12,0.5023312568664551,0.46790541786221357,0.5317506790161133,0.48141209721341727,0.28792041540145874,23.542836718959734
cooking-time,resnet,20260827,tple_support,50000,15000,15000,186,12,419,583917,583917,128,64,12,0.5014587640762329,0.4674988917694962,0.5302269458770752,0.480721858496204,0.2848183512687683,23.199743520002812
cooking-time,ft_transformer,20260827,qple,50000,15000,15000,186,12,419,64483,64461,128,169,8,0.5054200291633606,0.4693417593263316,0.5364916920661926,0.48355343556321245,0.0,23.46481423988007
cooking-time,ft_transformer,20260827,tple,50000,15000,15000,186,12,419,64483,64461,128,169,8,0.5045794248580933,0.46895129707595057,0.5363239049911499,0.4834778142978588,0.0,22.66064235405065
cooking-time,ft_transformer,20260827,qple_bin_control,50000,15000,15000,186,12,419,64461,64461,128,64,19,0.49951398372650146,0.4665914733082025,0.5342791080474854,0.482555276583541,0.2789817154407501,41.97401888715103
cooking-time,ft_transformer,20260827,qple_support,50000,15000,15000,186,12,419,64461,64461,128,64,19,0.5029348134994507,0.4681864302785326,0.5364593863487244,0.4835388763667912,0.3125443458557129,45.31994912819937
cooking-time,ft_transformer,20260827,tple_support,50000,15000,15000,186,12,419,64461,64461,128,64,17,0.500876784324646,0.46722752960079594,0.5333315134048462,0.48212715790972654,0.3024936318397522,44.14864721894264
