dataset,task,model,seed,method,target_parameters,input_features,width,parameters,parameter_error_fraction,members,best_epoch,val_loss,test_loss,val_metric,test_metric,train_seconds
adult,binclass,tabm,20260833,quantile_ple,48376,190,128,48376,0.0,8,20,0.3004670359193054,0.3025822662906719,0.8547520343927529,0.8594666666666667,36.316605414962396
adult,binclass,tabm,20260833,adaptive_support_ple,48376,204,124,48264,-0.002315197618653878,8,24,0.2952996128054749,0.29793935738115584,0.8602794411177644,0.863,40.29725922597572
adult,binclass,tabm,20260833,adaptive_support_whitened,48376,204,124,48264,-0.002315197618653878,8,20,0.28899823366910576,0.2895123754617868,0.8638108398587441,0.8669333333333333,53.399972608080134
adult,binclass,tabm,20260833,adaptive_support_riesz,48376,204,124,48264,-0.002315197618653878,8,20,0.28816065465178636,0.2907149454612747,0.8651926915399969,0.8674,55.94719193596393
adult,binclass,tabm,20260833,adaptive_support_wrong_riesz,48376,204,124,48264,-0.002315197618653878,8,20,0.2891533071345129,0.290336534998461,0.8645785352372178,0.8664,66.14615094289184
black-friday,regression,tabm,20260833,quantile_ple,30424,58,128,30424,0.0,8,25,0.4883139431476593,0.4910562038421631,0.6978821639134907,0.6998389888018721,22.194097763858736
black-friday,regression,tabm,20260833,adaptive_support_ple,30424,72,123,30473,0.0016105706021561925,8,25,0.48465806245803833,0.48694294691085815,0.6952647699931873,0.6969017573211005,127.66537393606268
black-friday,regression,tabm,20260833,adaptive_support_whitened,30424,72,123,30473,0.0016105706021561925,8,20,0.48079660534858704,0.48322638869285583,0.6924895109676612,0.6942371586389413,142.85342808510177
black-friday,regression,tabm,20260833,adaptive_support_riesz,30424,72,123,30473,0.0016105706021561925,8,24,0.47974324226379395,0.48322954773902893,0.6917305441156287,0.6942394206577944,105.46723468205892
black-friday,regression,tabm,20260833,adaptive_support_wrong_riesz,30424,72,123,30473,0.0016105706021561925,8,25,0.4803023636341095,0.48254477977752686,0.692133540632355,0.6937473125036178,112.9910137609113
california,regression,tabm,20260833,quantile_ple,57080,254,128,57080,0.0,8,25,0.18157152831554413,0.17903301119804382,0.4945415840010625,0.49107234432566216,30.156608195975423
california,regression,tabm,20260833,adaptive_support_ple,57080,249,129,56954,-0.002207428170988087,8,25,0.17931953072547913,0.17721110582351685,0.491465163489913,0.4885673222994491,29.79271124000661
california,regression,tabm,20260833,adaptive_support_whitened,57080,249,129,56954,-0.002207428170988087,8,25,0.16288019716739655,0.15547361969947815,0.46839588354432493,0.4576224279818213,28.8464068248868
california,regression,tabm,20260833,adaptive_support_riesz,57080,249,129,56954,-0.002207428170988087,8,25,0.15870928764343262,0.1509157121181488,0.4623598471638921,0.450864637837153,26.310428136959672
california,regression,tabm,20260833,adaptive_support_wrong_riesz,57080,249,129,56954,-0.002207428170988087,8,25,0.16959302127361298,0.16308565437793732,0.4779505170842988,0.4686911983303048,24.63785495981574
