dataset,model,task,total_nuisance_variance,quotient_test_loss,schema_only_variance,seed_only_variance,schema_seed_interaction_variance,feature_total_variance,category_total_variance,class_total_variance,seed_total_variance,main_pair_fraction,higher_order_fraction,iid16_residual_mean,srswor16_residual_mean,strength2_16_residual_mean,strength2_vs_iid16_reduction,wall_seconds,actions
australian_credit_approval,onehot_linear,classification,1.0669177900255904e-18,0.19237109943641337,1.0669177900255904e-18,0.0,0.0,8.736469679738268e-19,8.7993219795925e-19,6.662343784548607e-19,0.0,0.5522827687776142,0.4477172312223858,6.759077402293012e-20,5.1165700350085857e-20,5.545917532547993e-20,0.17948601525608432,0.572298550279811,128
australian_credit_approval,native_histgb,classification,0.0014630801726131864,0.15078550904783572,0.0014630801726131864,0.0,0.0,0.0004262677345065956,0.0,0.0012499130339552625,0.0,1.0,0.0,8.965169554014356e-05,8.539638363583138e-05,0.0,1.0,6.565249092178419,128
australian_credit_approval,catboost_native,classification,0.0008492329091660648,0.15811635484076508,0.00017489803824318378,0.00017447187837012047,0.0004998629925527606,0.0006002583784175408,0.0,0.00030487706801932834,0.0006743348709228811,0.7972439257593886,0.20275607424061137,5.480431882420732e-05,4.7204292395829016e-05,1.909190798255928e-05,0.6516349734443503,10.529962872387841,128
australian_credit_approval,xgboost,classification,0.0035969120111735246,0.14979484433833182,0.0035969120111735246,0.0,0.0,0.0003463071136352842,0.0035139775250534067,7.992191649657766e-16,0.0,0.9999999999998919,1.0813572259849025e-13,0.00023368951762856025,0.00021348403531044533,4.298654589179297e-17,0.999999999999816,3.2206417359411716,128
australian_credit_approval,lightgbm,classification,0.0,0.1459395240395087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.528186202980578,128
bank_marketing_subscription,onehot_linear,classification,6.69242586123197e-15,0.1848551455444333,6.69242586123197e-15,0.0,0.0,5.378562213248734e-15,5.0180496781298045e-15,3.0922994507567735e-15,0.0,0.7366781982506089,0.2633218017493911,4.296296883482514e-16,3.692781339101799e-16,1.967290328961219e-16,0.5420962791178056,2.316051894566044,128
bank_marketing_subscription,native_histgb,classification,0.0014278130327444283,0.1895448851581464,0.0014278130327444283,0.0,0.0,0.00038409753076739446,0.0,0.001235764267360731,0.0,1.0,0.0,8.772863777154677e-05,7.860731402932453e-05,0.0,1.0,17.51618890510872,128
bank_marketing_subscription,catboost_native,classification,0.0004077376040737326,0.17509294413829388,7.463408582103224e-05,6.914417785348665e-05,0.0002639593403992137,0.00029533658919580986,0.0,0.00015348366270569554,0.00033310351825270037,0.7851270271968512,0.21487297280314877,2.4969439814312083e-05,2.2319806015775425e-05,9.746212768150528e-06,0.6096743523030839,17.725736557971686,128
bank_marketing_subscription,xgboost,classification,0.004028722683615387,0.1822012204845579,0.004028722683615387,0.0,0.0,0.00013529997350190262,0.003992747708611905,8.448902169411818e-16,0.0,0.9999999999999509,4.907185768843192e-14,0.0002561740925352535,0.00022502348110069273,2.162126250109091e-17,0.9999999999999156,4.161493400344625,128
bank_marketing_subscription,lightgbm,classification,0.0,0.19166240250109848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.41454703360796,128
credit_card_default,onehot_linear,classification,2.371692252312041e-18,0.2815441889272585,2.371692252312041e-18,0.0,0.0,2.0599841277224584e-18,0.0,1.4501204056993622e-18,0.0,1.0,0.0,1.4036841404718603e-19,7.234604355450035e-20,0.0,1.0,0.33744922862388194,32
credit_card_default,native_histgb,classification,2.5639140042857996e-07,0.2757722424121374,2.5639140042857996e-07,0.0,0.0,2.5639140042857996e-07,0.0,0.0,0.0,1.0,0.0,1.74641603319272e-08,8.888569057826747e-09,0.0,1.0,5.0409615826793015,32
credit_card_default,catboost_native,classification,0.0022337107536433533,0.2595816496930293,0.0004786011852711047,0.000432533913691187,0.0013225756546810614,0.0017679430393521376,0.0,0.0001329352024001158,0.001755109568372249,0.9666066848847242,0.03339331511527577,0.00013738566511434464,7.257754042103208e-05,8.307653604867447e-06,0.939530419000024,6.61239831126295,32
credit_card_default,xgboost,classification,0.0010641158262711147,0.27357375648371235,0.0010641158262711147,0.0,0.0,0.0010641158262709005,0.0,7.491900274648084e-16,0.0,1.0,0.0,6.737129892627744e-05,3.659804391063535e-05,0.0,1.0,3.5290671098046005,32
credit_card_default,lightgbm,classification,0.0004701515561276452,0.2680248584012684,0.0004701515561276452,0.0,0.0,0.0004701515561276452,0.0,0.0,0.0,1.0,0.0,3.1240132289894404e-05,1.6203546876632308e-05,0.0,1.0,3.0722729607950896,32
german_credit_risk,onehot_linear,classification,9.265876783118751e-15,0.3625526442263564,9.265876783118751e-15,0.0,0.0,6.668728281516838e-15,7.044401488252361e-15,4.846835535324929e-15,0.0,0.7167005804815072,0.2832994195184928,5.780622519938968e-16,5.302570888297726e-16,2.941397400159365e-16,0.4911625192591852,1.1261158878915012,128
german_credit_risk,native_histgb,classification,0.004841245635627299,0.40244281879509486,0.004841245635627299,0.0,0.0,0.0,0.0,0.004841245635627299,0.0,1.0,0.0,0.00030819208971919387,0.0002711085736503935,0.0,1.0,11.783290489809588,128
german_credit_risk,catboost_native,classification,0.005534614313846889,0.35698093640573825,0.0011989256487972342,0.0007847572050418368,0.003550931460007818,0.004165099158094952,0.0,0.0025813574410810383,0.004335688665049654,0.7292622158713845,0.2707377841286155,0.0003492196478598351,0.00030229412275355964,0.00016827840732658186,0.5181301843757569,18.86148891877383,128
german_credit_risk,xgboost,classification,0.013600844031096867,0.39960455669730366,0.013600844031096867,0.0,0.0,0.0015274255389756287,0.013269882365640626,7.877872277585983e-16,0.0,0.9999999999999757,2.4313884239290928e-14,0.000883445098381226,0.0008010645433086902,3.7065468834377246e-17,0.999999999999958,3.545711789280176,128
german_credit_risk,lightgbm,classification,0.0,0.4033904720449658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4084865616168827,128
heloc_credit_risk,onehot_linear,classification,8.326285220054864e-15,0.398488711060148,8.326285220054864e-15,0.0,0.0,7.757664141038511e-15,0.0,5.1673703933226886e-15,0.0,1.0,0.0,4.64706160860657e-16,2.609513097665707e-16,0.0,1.0,0.3202291773632169,32
heloc_credit_risk,native_histgb,classification,7.648001547400952e-07,0.3970743638987974,7.648001547400952e-07,0.0,0.0,7.648001547400952e-07,0.0,0.0,0.0,1.0,0.0,4.973721709445627e-08,2.3153129684514602e-08,0.0,1.0,4.246575085213408,32
