dataset,control,control_residual,strength2_16_residual_mean,strength2_wins,fractional_reduction
australian_credit_approval,iid16,0.000576713503249893,0.0003852788372728486,True,0.3319406688039602
bank_marketing_subscription,iid16,0.0008288184771945466,0.0006354239434916976,True,0.23333762340514752
credit_card_default,iid16,0.0006230160709893715,0.000306898739162514,True,0.5073983586408164
fremtpl_claim_count,iid16,0.0035839598786853773,0.002401193578675845,True,0.33001661292128637
german_credit_risk,iid16,0.0021818627565693837,0.0015256414610026192,True,0.3007619492064493
heloc_credit_risk,iid16,0.0014311519328116284,0.0007862099720334442,True,0.45064534798282174
kdd17_stock_return,iid16,0.004921100586935168,0.0017555585174529066,True,0.643258964851548
lendingclub_loan_default,iid16,0.0006434533182761114,0.00045905603777483665,True,0.2865744495580459
openml-abalone-183,iid16,0.00028305645781940577,5.0413358821898125e-05,True,0.8218964541198965
openml-kin8nm-189,iid16,0.0005182519912065893,0.0,True,1.0
openml-pol-201,iid16,0.00019470939091458707,0.0,True,1.0
openml-puma32h-308,iid16,0.001723468790733924,0.0,True,1.0
australian_credit_approval,srswor16,0.0005102757050210264,0.0003852788372728486,True,0.24495947292459708
bank_marketing_subscription,srswor16,0.0007294866969749498,0.0006354239434916976,True,0.12894375438690453
credit_card_default,srswor16,0.00032354788279398986,0.000306898739162514,True,0.051458051549287065
fremtpl_claim_count,srswor16,0.0027520329409984755,0.002401193578675845,True,0.12748370744259374
german_credit_risk,srswor16,0.0019458639420931732,0.0015256414610026192,True,0.21595676449943313
heloc_credit_risk,srswor16,0.0007359998796149339,0.0007862099720334442,False,-0.06822024542283844
kdd17_stock_return,srswor16,0.0038329090548754907,0.0017555585174529066,True,0.5419775182977999
lendingclub_loan_default,srswor16,0.0005744426011475399,0.00045905603777483665,True,0.20086700245107236
openml-abalone-183,srswor16,0.00022366604890174916,5.0413358821898125e-05,True,0.7746043305658632
openml-kin8nm-189,srswor16,0.0,0.0,False,
openml-pol-201,srswor16,0.0,0.0,False,
openml-puma32h-308,srswor16,0.0,0.0,False,
australian_credit_approval,lhs16,0.0004882969224847705,0.0003852788372728486,True,0.21097426682048137
bank_marketing_subscription,lhs16,0.0007304229857105788,0.0006354239434916976,True,0.13006031310263744
credit_card_default,lhs16,0.0003961118655421611,0.000306898739162514,True,0.22522204998211914
fremtpl_claim_count,lhs16,0.0030284101183467448,0.002401193578675845,True,0.20711083213964
german_credit_risk,lhs16,0.0019028658028203964,0.0015256414610026192,True,0.19824011827773746
heloc_credit_risk,lhs16,0.0010157952909465031,0.0007862099720334442,True,0.22601534084602282
kdd17_stock_return,lhs16,0.0035598063677346314,0.0017555585174529066,True,0.5068387614099081
lendingclub_loan_default,lhs16,0.0005208351253299262,0.00045905603777483665,True,0.11861543999352042
openml-abalone-183,lhs16,0.00011623114491422299,5.0413358821898125e-05,True,0.5662663491863347
openml-kin8nm-189,lhs16,0.00024397689337346445,0.0,True,1.0
openml-pol-201,lhs16,9.855616153216363e-05,0.0,True,1.0
openml-puma32h-308,lhs16,0.000893328069252801,0.0,True,1.0
australian_credit_approval,sobol16,0.00040472078512488466,0.0003852788372728486,True,0.04803792779270488
bank_marketing_subscription,sobol16,0.0006399516348141906,0.0006354239434916976,True,0.007075052357367051
credit_card_default,sobol16,0.0007964292153519067,0.000306898739162514,True,0.6146566031898903
fremtpl_claim_count,sobol16,0.0026075497138991367,0.002401193578675845,True,0.07913794859723766
german_credit_risk,sobol16,0.001695854032999676,0.0015256414610026192,True,0.10036982469297773
heloc_credit_risk,sobol16,0.0020217698640714065,0.0007862099720334442,True,0.6111278607891664
kdd17_stock_return,sobol16,0.006078440946757222,0.0017555585174529066,True,0.7111827633384384
lendingclub_loan_default,sobol16,0.0006134349626744128,0.00045905603777483665,True,0.25166306828441143
openml-abalone-183,sobol16,0.0001978461510585953,5.0413358821898125e-05,True,0.7451890847905986
openml-kin8nm-189,sobol16,0.0007662487267464422,0.0,True,1.0
openml-pol-201,sobol16,0.0002932202297777459,0.0,True,1.0
openml-puma32h-308,sobol16,0.0032256714459193807,0.0,True,1.0
australian_credit_approval,strength1_16,0.0005365378559719261,0.0003852788372728486,True,0.2819167688085591
bank_marketing_subscription,strength1_16,0.0007635550414010051,0.0006354239434916976,True,0.16780859396096293
credit_card_default,strength1_16,0.00046115974714738806,0.000306898739162514,True,0.3345066626892129
fremtpl_claim_count,strength1_16,0.003239457056913144,0.002401193578675845,True,0.25876665858200154
german_credit_risk,strength1_16,0.0020140833672696212,0.0015256414610026192,True,0.24251325153891468
heloc_credit_risk,strength1_16,0.001159237790666394,0.0007862099720334442,True,0.3217871446534819
kdd17_stock_return,strength1_16,0.003972369135704307,0.0017555585174529066,True,0.5580575577245181
lendingclub_loan_default,strength1_16,0.0005586254693899945,0.00045905603777483665,True,0.17824005003546528
openml-abalone-183,strength1_16,0.0001347026556455947,5.0413358821898125e-05,True,0.6257433932517511
openml-kin8nm-189,strength1_16,0.0002859781250465462,0.0,True,1.0
openml-pol-201,strength1_16,0.00012627216487194387,0.0,True,1.0
openml-puma32h-308,strength1_16,0.0010510265229485018,0.0,True,1.0
