panel,dataset,method,selection_agreement,validation_quotient_regret,selected_quotient_test_loss,selected_realized_test_loss
confirmation,compustat_kor_direction,iid_u32,1.0,0.0,0.49504183403045376,0.4951269439058823
confirmation,compustat_kor_direction,strength2_cross32,1.0,0.0,0.49504183403045376,0.4951099876995581
confirmation,credit_card_default,iid_u32,1.0,0.0,0.2721779840816302,0.27221271781799156
confirmation,credit_card_default,strength2_cross32,1.0,0.0,0.2721779840816302,0.27217911977741543
confirmation,credit_card_fraud,iid_u32,1.0,0.0,0.002567274734391755,0.0025672747343501987
confirmation,credit_card_fraud,strength2_cross32,1.0,0.0,0.002567274734391755,0.002567274734391755
confirmation,heloc_credit_risk,iid_u32,1.0,0.0,0.35786129555170393,0.357918239103183
confirmation,heloc_credit_risk,strength2_cross32,1.0,0.0,0.35786129555170393,0.3578668539591693
confirmation,kdd17_stock_direction,iid_u32,0.712890625,5.550772181997976e-05,0.4996375925888312,0.49971669219048054
confirmation,kdd17_stock_direction,strength2_cross32,0.78515625,3.904878732207296e-05,0.499725701435147,0.4997807490331521
confirmation,kdd17_stock_return,iid_u32,0.599609375,2.696731632987812e-05,0.5536969618470581,0.5539049504510022
confirmation,kdd17_stock_return,strength2_cross32,1.0,0.0,0.5524112405488422,0.5524112405488422
confirmation,polish_bankruptcy_1year,iid_u32,1.0,0.0,0.03960661055115997,0.03962281687825394
confirmation,polish_bankruptcy_1year,strength2_cross32,1.0,0.0,0.03960661055115997,0.03960661055115997
confirmation,polish_bankruptcy_2year,iid_u32,1.0,0.0,0.03898719095246714,0.038990445910942945
confirmation,polish_bankruptcy_2year,strength2_cross32,1.0,0.0,0.03898719095246714,0.03898719095246714
confirmation,polish_bankruptcy_3year,iid_u32,1.0,0.0,0.047186662206262484,0.047182089731886895
confirmation,polish_bankruptcy_3year,strength2_cross32,1.0,0.0,0.047186662206262484,0.047186662206262484
confirmation,polish_bankruptcy_4year,iid_u32,1.0,0.0,0.04673440446582666,0.04676652111852265
confirmation,polish_bankruptcy_4year,strength2_cross32,1.0,0.0,0.04673440446582666,0.04673440446582666
confirmation,polish_bankruptcy_5year,iid_u32,1.0,0.0,0.059455180921651585,0.05948809550018973
confirmation,polish_bankruptcy_5year,strength2_cross32,1.0,0.0,0.059455180921651585,0.059455180921651585
menu_repeat,compustat_kor_direction,iid_u32,1.0,0.0,0.4953557386892694,0.49542243699838906
menu_repeat,compustat_kor_direction,strength2_cross32,1.0,0.0,0.4953557386892694,0.49539448117660345
menu_repeat,credit_card_default,iid_u32,1.0,0.0,0.272331995863838,0.2723655209299049
menu_repeat,credit_card_default,strength2_cross32,1.0,0.0,0.272331995863838,0.2723319902485709
menu_repeat,credit_card_fraud,iid_u32,1.0,0.0,0.00256727473568877,0.0025672747354912135
menu_repeat,credit_card_fraud,strength2_cross32,1.0,0.0,0.00256727473568877,0.00256727473568877
menu_repeat,heloc_credit_risk,iid_u32,1.0,0.0,0.3584046448714157,0.35844957634438757
menu_repeat,heloc_credit_risk,strength2_cross32,1.0,0.0,0.3584046448714157,0.35842097212046914
menu_repeat,kdd17_stock_return,iid_u32,0.9921875,6.387730777998504e-06,0.5606590065665664,0.5607866458482774
menu_repeat,kdd17_stock_return,strength2_cross32,1.0,0.0,0.5606952462756983,0.5606952462756983
menu_repeat,polish_bankruptcy_3year,iid_u32,0.9765625,8.136933323082507e-06,0.04680221241458668,0.04680663002604697
menu_repeat,polish_bankruptcy_3year,strength2_cross32,1.0,0.0,0.04672940856363235,0.04672940856363235
openml_external,openml-blood-transfusion-1464,iid_u32,1.0,0.0,0.3191275535340467,0.3191275535340467
openml_external,openml-blood-transfusion-1464,strength2_cross32,1.0,0.0,0.3191275535340467,0.3191275535340467
openml_external,openml-breast-w-15,iid_u32,0.943359375,3.6017377296911423e-05,0.06071243216914228,0.06068613971693034
openml_external,openml-breast-w-15,strength2_cross32,1.0,0.0,0.06126037667306118,0.06126037667306118
openml_external,openml-ilpd-1480,iid_u32,0.9296875,9.230601115596971e-05,0.34557934666184076,0.345589714850786
openml_external,openml-ilpd-1480,strength2_cross32,1.0,0.0,0.3423418773692635,0.3423418773692635
openml_external,openml-kc1-1067,iid_u32,1.0,0.0,0.23313242991755345,0.2331763839643545
openml_external,openml-kc1-1067,strength2_cross32,1.0,0.0,0.23313242991755345,0.23313242991755345
openml_external,openml-mammography-310,iid_u32,1.0,0.0,0.022872225217038744,0.022872225217038744
openml_external,openml-mammography-310,strength2_cross32,1.0,0.0,0.022872225217038744,0.022872225217038744
openml_external,openml-pc4-1049,iid_u32,0.99609375,9.90398059916547e-06,0.14830230568516584,0.1484666443879924
openml_external,openml-pc4-1049,strength2_cross32,1.0,0.0,0.1483615648876026,0.1484227509690222
openml_external,openml-sonar-40,iid_u32,0.521484375,0.0002790988220619596,0.5312559608518094,0.5303201144731654
openml_external,openml-sonar-40,strength2_cross32,0.4921875,0.0002961865050453449,0.5253008940409766,0.524605965245937
openml_external,openml-wdbc-1510,iid_u32,1.0,0.0,0.08285136046350088,0.08285547875297998
openml_external,openml-wdbc-1510,strength2_cross32,1.0,0.0,0.08285136046350088,0.08285136046350088
openml_taskbalanced,openml-abalone-183,iid_u32,1.0,0.0,0.38730389580446345,0.3874303362588727
openml_taskbalanced,openml-abalone-183,strength2_cross32,1.0,0.0,0.38730389580446345,0.387416415888488
openml_taskbalanced,openml-banknote-1462,iid_u32,1.0,0.0,0.014354677505912034,0.014364013632692508
openml_taskbalanced,openml-banknote-1462,strength2_cross32,1.0,0.0,0.014354677505912034,0.014354677505912034
openml_taskbalanced,openml-credit-g-31,iid_u32,0.98828125,6.459064984645681e-05,0.3433008416348228,0.34338164989995473
openml_taskbalanced,openml-credit-g-31,strength2_cross32,0.998046875,1.0765108307742802e-05,0.3432420962975631,0.3432873287027903
openml_taskbalanced,openml-kin8nm-189,iid_u32,1.0,0.0,0.07546624309271797,0.07585673921619393
openml_taskbalanced,openml-kin8nm-189,strength2_cross32,1.0,0.0,0.07546624309271797,0.07546624309271797
openml_taskbalanced,openml-pol-201,iid_u32,1.0,0.0,0.004683229458674506,0.004751693400293478
openml_taskbalanced,openml-pol-201,strength2_cross32,1.0,0.0,0.004683229458674506,0.004683229458674506
openml_taskbalanced,openml-puma32h-308,iid_u32,1.0,0.0,0.12412627972591486,0.12817329940903655
openml_taskbalanced,openml-puma32h-308,strength2_cross32,1.0,0.0,0.12412627972591486,0.12412627972591486
openml_taskbalanced,openml-qsar-biodeg-1494,iid_u32,0.712890625,0.0006986691565359652,0.16660694017055555,0.16487832426633572
openml_taskbalanced,openml-qsar-biodeg-1494,strength2_cross32,0.908203125,0.00022338401603530863,0.1643561677139516,0.16391533830471675
openml_taskbalanced,openml-spambase-44,iid_u32,0.8828125,0.00025826381237912773,0.09160093020501325,0.09144299229375656
openml_taskbalanced,openml-spambase-44,strength2_cross32,0.998046875,4.304396872985462e-06,0.09120642925458702,0.09133094099879949
subsample_repeat,compustat_kor_direction,iid_u32,0.986328125,1.045319027155676e-05,0.4960230412922734,0.496082781351776
subsample_repeat,compustat_kor_direction,strength2_cross32,0.998046875,1.49331289593668e-06,0.4960097035609129,0.49605331917673057
subsample_repeat,credit_card_default,iid_u32,0.892578125,1.6102200474711636e-05,0.2696381765698249,0.2696840705680585
subsample_repeat,credit_card_default,strength2_cross32,1.0,0.0,0.26946579645702107,0.26946580174129386
subsample_repeat,credit_card_fraud,iid_u32,1.0,0.0,0.002383215463128721,0.0023841837121312496
subsample_repeat,credit_card_fraud,strength2_cross32,1.0,0.0,0.002383215463128721,0.002383405904430472
subsample_repeat,heloc_credit_risk,iid_u32,1.0,0.0,0.35786129555170393,0.3579091657866819
subsample_repeat,heloc_credit_risk,strength2_cross32,1.0,0.0,0.35786129555170393,0.3578656399876085
subsample_repeat,kdd17_stock_return,iid_u32,1.0,0.0,0.5928629701290992,0.5929871244515484
subsample_repeat,kdd17_stock_return,strength2_cross32,1.0,0.0,0.5928629701290992,0.5929242356615007
subsample_repeat,polish_bankruptcy_3year,iid_u32,1.0,0.0,0.047186662206262484,0.04719051648851005
subsample_repeat,polish_bankruptcy_3year,strength2_cross32,1.0,0.0,0.047186662206262484,0.047186662206262484
