panel,dataset,task,model,method,product_cells,score_bias,score_rmse,max_absolute_score_error
confirmation,compustat_kor_direction,binclass,onehot_linear,disjoint_pack_cross128,128,-4.979272549832103e-11,9.291936930275846e-10,3.3546743161139148e-09
confirmation,compustat_kor_direction,binclass,onehot_linear,independent_cover_u128,128,6.873834834664194e-12,1.279101154585498e-09,3.710671880874372e-09
confirmation,compustat_kor_direction,binclass,ordinal_forest,disjoint_pack_cross128,128,1.617761800076778e-06,9.086604759301137e-05,0.00030765369158380906
confirmation,compustat_kor_direction,binclass,ordinal_forest,independent_cover_u128,128,5.187688788321765e-06,0.00012901760455020426,0.0004662851930354872
confirmation,compustat_kor_direction,binclass,native_histgb,disjoint_pack_cross128,128,-5.553260434831842e-07,5.6252604814606976e-05,0.00020110838429782119
confirmation,compustat_kor_direction,binclass,native_histgb,independent_cover_u128,128,4.7842830817601545e-06,7.815132373603622e-05,0.00029499567458995957
confirmation,compustat_kor_direction,binclass,catboost_native,disjoint_pack_cross128,128,-3.4376847834471924e-06,3.7642659171128105e-05,0.00017310840613832257
confirmation,compustat_kor_direction,binclass,catboost_native,independent_cover_u128,128,-1.7149468655719424e-06,5.5342103332009154e-05,0.00017413546295952376
confirmation,compustat_kor_direction,binclass,onehot_adam_mlp,disjoint_pack_cross128,128,5.015277179443167e-06,0.0001582767765260565,0.0004890387994218037
confirmation,compustat_kor_direction,binclass,onehot_adam_mlp,independent_cover_u128,128,-1.9859869041516376e-06,0.0001975141659615162,0.0009112007620803997
confirmation,credit_card_default,binclass,onehot_linear,disjoint_pack_cross128,32,-1.1102230246251565e-16,0.0,0.0
confirmation,credit_card_default,binclass,onehot_linear,independent_cover_u128,32,-1.1102230246251565e-16,0.0,0.0
confirmation,credit_card_default,binclass,ordinal_forest,disjoint_pack_cross128,32,0.0,0.0,0.0
confirmation,credit_card_default,binclass,ordinal_forest,independent_cover_u128,32,0.0,0.0,0.0
confirmation,credit_card_default,binclass,native_histgb,disjoint_pack_cross128,32,0.0,0.0,0.0
confirmation,credit_card_default,binclass,native_histgb,independent_cover_u128,32,-2.826105382491839e-07,4.620030382887263e-06,1.232057436617584e-05
confirmation,credit_card_default,binclass,catboost_native,disjoint_pack_cross128,32,0.0,0.0,0.0
confirmation,credit_card_default,binclass,catboost_native,independent_cover_u128,32,3.0822805863195413e-07,7.512121133863579e-06,2.5715188220254426e-05
confirmation,credit_card_default,binclass,onehot_adam_mlp,disjoint_pack_cross128,32,-5.551115123125783e-17,0.0,0.0
confirmation,credit_card_default,binclass,onehot_adam_mlp,independent_cover_u128,32,7.3802394466304655e-06,8.133243598419764e-05,0.0002499536687690096
confirmation,credit_card_fraud,binclass,onehot_linear,disjoint_pack_cross128,32,-4.336808689942018e-19,0.0,0.0
confirmation,credit_card_fraud,binclass,onehot_linear,independent_cover_u128,32,-4.336808689942018e-19,0.0,0.0
confirmation,credit_card_fraud,binclass,ordinal_forest,disjoint_pack_cross128,32,-4.336808689942018e-19,0.0,0.0
confirmation,credit_card_fraud,binclass,ordinal_forest,independent_cover_u128,32,-4.336808689942018e-19,0.0,0.0
confirmation,credit_card_fraud,binclass,native_histgb,disjoint_pack_cross128,32,-4.336808689942018e-19,0.0,0.0
confirmation,credit_card_fraud,binclass,native_histgb,independent_cover_u128,32,-6.331800504267085e-09,2.733753124327454e-07,8.205465508515693e-07
confirmation,credit_card_fraud,binclass,catboost_native,disjoint_pack_cross128,32,-6.505213034913027e-19,0.0,0.0
confirmation,credit_card_fraud,binclass,catboost_native,independent_cover_u128,32,-2.3748172859206634e-08,2.0106049103303616e-06,7.603522610462191e-06
confirmation,credit_card_fraud,binclass,onehot_adam_mlp,disjoint_pack_cross128,32,0.0,0.0,0.0
confirmation,credit_card_fraud,binclass,onehot_adam_mlp,independent_cover_u128,32,9.093438650448378e-08,2.6386773783543094e-06,8.610324786738777e-06
confirmation,heloc_credit_risk,binclass,onehot_linear,disjoint_pack_cross128,32,-1.1102230246251565e-16,0.0,0.0
confirmation,heloc_credit_risk,binclass,onehot_linear,independent_cover_u128,32,-1.1102230246251565e-16,0.0,0.0
confirmation,heloc_credit_risk,binclass,ordinal_forest,disjoint_pack_cross128,32,1.1102230246251565e-16,0.0,0.0
confirmation,heloc_credit_risk,binclass,ordinal_forest,independent_cover_u128,32,1.1102230246251565e-16,0.0,0.0
confirmation,heloc_credit_risk,binclass,native_histgb,disjoint_pack_cross128,32,-1.1102230246251565e-16,0.0,0.0
confirmation,heloc_credit_risk,binclass,native_histgb,independent_cover_u128,32,-1.1102230246251565e-16,0.0,0.0
confirmation,heloc_credit_risk,binclass,catboost_native,disjoint_pack_cross128,32,1.1102230246251565e-16,0.0,0.0
confirmation,heloc_credit_risk,binclass,catboost_native,independent_cover_u128,32,-2.8115863983102507e-06,7.030950773165263e-05,0.00028151493666361826
confirmation,heloc_credit_risk,binclass,onehot_adam_mlp,disjoint_pack_cross128,32,-1.1102230246251565e-16,0.0,0.0
confirmation,heloc_credit_risk,binclass,onehot_adam_mlp,independent_cover_u128,32,-9.735383535436348e-07,0.00012031705211004328,0.0003948806776488678
confirmation,kdd17_stock_direction,binclass,onehot_linear,disjoint_pack_cross128,128,-1.4099788003818503e-10,1.5780280888524362e-09,6.469676128162405e-09
confirmation,kdd17_stock_direction,binclass,onehot_linear,independent_cover_u128,128,4.879463499918302e-11,2.1365461117896155e-09,8.020955899468163e-09
confirmation,kdd17_stock_direction,binclass,ordinal_forest,disjoint_pack_cross128,128,5.167750396273263e-06,7.998250105593868e-05,0.0002543388589544282
