panel,dataset,task,model,method,product_cells,score_rmse,prediction_residual,max_absolute_score_error
confirmation,compustat_kor_direction,binclass,onehot_linear,disjoint_pair_mean32_independent,128,2.3024029419696594e-09,1.3213210877077624e-14,6.115281614427204e-09
confirmation,compustat_kor_direction,binclass,onehot_linear,independent_pair_mean32_independent,128,2.5316527030712443e-09,1.5363607880395854e-14,6.115281614427204e-09
confirmation,compustat_kor_direction,binclass,ordinal_forest,disjoint_pair_mean32_independent,128,0.00023696281468983487,4.225983909799105e-05,0.0008334733090787916
confirmation,compustat_kor_direction,binclass,ordinal_forest,independent_pair_mean32_independent,128,0.0002551450566272754,4.9480456673232074e-05,0.0009451443916538294
confirmation,compustat_kor_direction,binclass,native_histgb,disjoint_pair_mean32_independent,128,0.00014595320153326218,6.662068556392254e-06,0.00047299484664120595
confirmation,compustat_kor_direction,binclass,native_histgb,independent_pair_mean32_independent,128,0.00016203306168234062,8.137478863520933e-06,0.00047294553607918344
confirmation,compustat_kor_direction,binclass,catboost_native,disjoint_pair_mean32_independent,128,0.00010263008503437642,1.0728836119316791e-05,0.0003451389462219012
confirmation,compustat_kor_direction,binclass,catboost_native,independent_pair_mean32_independent,128,0.00011388468643209299,1.279550294043946e-05,0.00040108418014217495
confirmation,compustat_kor_direction,binclass,onehot_adam_mlp,disjoint_pair_mean32_independent,128,0.0003850042768389187,5.3503641625751274e-05,0.001596760588326085
confirmation,compustat_kor_direction,binclass,onehot_adam_mlp,independent_pair_mean32_independent,128,0.0004202572302467957,6.0574727601089736e-05,0.001540558136827852
confirmation,credit_card_default,binclass,onehot_linear,disjoint_pair_mean32_independent,32,1.5704761098706087e-16,0.0,0.0
confirmation,credit_card_default,binclass,onehot_linear,independent_pair_mean32_independent,32,1.5704761098706087e-16,0.0,0.0
confirmation,credit_card_default,binclass,ordinal_forest,disjoint_pair_mean32_independent,32,0.0,0.0,0.0
confirmation,credit_card_default,binclass,ordinal_forest,independent_pair_mean32_independent,32,0.0,0.0,0.0
confirmation,credit_card_default,binclass,native_histgb,disjoint_pair_mean32_independent,32,0.0,0.0,0.0
confirmation,credit_card_default,binclass,native_histgb,independent_pair_mean32_independent,32,8.827243546755598e-06,4.329517192728054e-07,1.665552123281122e-05
confirmation,credit_card_default,binclass,catboost_native,disjoint_pair_mean32_independent,32,0.0,0.0,0.0
confirmation,credit_card_default,binclass,catboost_native,independent_pair_mean32_independent,32,1.545467242532505e-05,1.3830805425510041e-06,4.024546573361265e-05
confirmation,credit_card_default,binclass,onehot_adam_mlp,disjoint_pair_mean32_independent,32,7.852380549353044e-17,0.0,0.0
confirmation,credit_card_default,binclass,onehot_adam_mlp,independent_pair_mean32_independent,32,0.00015046858651456113,3.396390705051865e-05,0.0006136489764997366
confirmation,credit_card_fraud,binclass,onehot_linear,disjoint_pair_mean32_independent,32,6.134672304182065e-19,0.0,0.0
confirmation,credit_card_fraud,binclass,onehot_linear,independent_pair_mean32_independent,32,6.134672304182065e-19,0.0,0.0
confirmation,credit_card_fraud,binclass,ordinal_forest,disjoint_pair_mean32_independent,32,6.134672304182065e-19,0.0,0.0
confirmation,credit_card_fraud,binclass,ordinal_forest,independent_pair_mean32_independent,32,6.134672304182065e-19,0.0,0.0
confirmation,credit_card_fraud,binclass,native_histgb,disjoint_pair_mean32_independent,32,6.134672304182065e-19,0.0,0.0
confirmation,credit_card_fraud,binclass,native_histgb,independent_pair_mean32_independent,32,5.368041654555066e-07,9.013266858938716e-09,1.447749051236959e-06
confirmation,credit_card_fraud,binclass,catboost_native,disjoint_pair_mean32_independent,32,9.202008456273099e-19,0.0,0.0
confirmation,credit_card_fraud,binclass,catboost_native,independent_pair_mean32_independent,32,3.8417654245633575e-06,4.0419834513379344e-08,1.2555806088593259e-05
confirmation,credit_card_fraud,binclass,onehot_adam_mlp,disjoint_pair_mean32_independent,32,0.0,1.4989098714042392e-91,0.0
confirmation,credit_card_fraud,binclass,onehot_adam_mlp,independent_pair_mean32_independent,32,5.209860052462144e-06,2.8589520002573005e-07,1.4179581823346677e-05
