dataset,task,model,alternate_view,seed_a,seed_b,seed_c,target_parameters,maximum_alternate_parameter_relative_mismatch,transformed_t_parameters,heterobag_val_log_loss,heterobag_val_auc,heterobag_val_accuracy,heterobag_test_log_loss,heterobag_test_auc,heterobag_test_accuracy,ttt_val_log_loss,ttt_val_auc,ttt_val_accuracy,ttt_test_log_loss,ttt_test_auc,ttt_test_accuracy,alternate_homogeneous_val_log_loss,alternate_homogeneous_val_auc,alternate_homogeneous_val_accuracy,alternate_homogeneous_test_log_loss,alternate_homogeneous_test_auc,alternate_homogeneous_test_accuracy,transformed_t_placebo_val_log_loss,transformed_t_placebo_val_auc,transformed_t_placebo_val_accuracy,transformed_t_placebo_test_log_loss,transformed_t_placebo_test_auc,transformed_t_placebo_test_accuracy,same_representation_prediction_correlation,same_representation_error_correlation,same_representation_mean_absolute_disagreement,same_representation_mean_squared_disagreement,cross_representation_prediction_correlation,cross_representation_error_correlation,cross_representation_mean_absolute_disagreement,cross_representation_mean_squared_disagreement,coordinate_placebo_prediction_correlation,coordinate_placebo_error_correlation,coordinate_placebo_mean_absolute_disagreement,coordinate_placebo_mean_squared_disagreement,heterobag_relative_test_gain_vs_ttt_pct,alternate_homogeneous_relative_test_gain_vs_ttt_pct,transformed_t_placebo_relative_test_gain_vs_ttt_pct
openml-breast-w-15,classification,mlp,qple,20261840,20261941,20262042,39277,0.0,39277,0.05914744873268236,0.997961956521739,0.9785714285714285,0.09881087730558866,0.9932065217391304,0.9642857142857143,0.06197897747319828,0.9981884057971013,0.9571428571428572,0.0949959833068797,0.9941123188405797,0.9714285714285714,0.06683585052265954,0.9970561594202899,0.9857142857142858,0.11283968493673538,0.9929800724637681,0.9642857142857143,0.06094629246939157,0.9984148550724637,0.9571428571428572,0.09639653177264627,0.9941123188405797,0.9714285714285714,0.9985287969574502,0.9890855733439547,0.006243752781301737,0.000627022935077548,0.9921339599705327,0.9449348810692125,0.023081099614501,0.0035702057648450136,0.9992955548257441,0.9944443032231237,0.005073241423815489,0.0003105048381257802,-4.015847687354466,-18.78363801152783,-1.4743238787709358
openml-breast-w-15,classification,resnet,qple,20261840,20261941,20262042,155959,0.0,155959,0.06300762362790784,0.997961956521739,0.9857142857142858,0.10711172851632954,0.9861865942028986,0.9714285714285714,0.06080902292533115,0.9981884057971014,0.9928571428571429,0.10306039570214941,0.9860733695652174,0.9785714285714285,0.07541781332876314,0.9968297101449275,0.9857142857142858,0.11485999305359412,0.990828804347826,0.9642857142857143,0.05857352154583216,0.9981884057971014,0.9928571428571429,0.10487982595647759,0.9839221014492754,0.9785714285714285,0.9953065671895602,0.9604404799362147,0.009627844206988811,0.0019729742780327797,0.9976891553665342,0.9833574736401045,0.006675591692328453,0.0009348018793389201,0.9943652996778237,0.9523497638617269,0.009314049035310745,0.0022745418827980757,-3.9310278080910153,-11.449206332902353,-1.765401968362746
openml-breast-w-15,classification,ft_transformer,qple,20261840,20261941,20262042,10657,0.0,10657,0.15967231028373285,0.9960371376811593,0.9714285714285714,0.17974247082510064,0.9856204710144927,0.9571428571428572,0.15525120172579782,0.996490036231884,0.9785714285714285,0.18400656559172066,0.9867527173913043,0.9571428571428572,0.16456430018421697,0.9960371376811594,0.9714285714285714,0.17164021174813685,0.9856204710144928,0.9642857142857143,0.15003550005465405,0.9961503623188406,0.9785714285714285,0.1749415203576592,0.9909420289855072,0.9571428571428572,0.9891610231101343,0.9646902167722275,0.025181135162711143,0.003289533546194434,0.9798075190351991,0.9362788679145752,0.03213119134306908,0.005678071174770594,0.9537632331000937,0.8391000626719798,0.041336022317409515,0.012721655890345573,2.3173601185956136,6.720604671804294,4.926479229102757
openml-sonar-40,classification,mlp,qple,20261840,20261941,20262042,268199,0.0,268199,0.48235088544361976,0.8375286041189931,0.7380952380952381,0.61867159918567,0.775,0.6904761904761905,0.48936499113226145,0.8283752860411899,0.7380952380952381,0.6086291211263963,0.7590909090909091,0.6904761904761905,0.45752251760605184,0.8672768878718535,0.7619047619047619,0.6409510188804097,0.7931818181818182,0.6428571428571429,0.4874807252784293,0.8329519450800915,0.7380952380952381,0.6117068866285829,0.7545454545454545,0.6904761904761905,0.9925918041271128,0.9969480489026074,0.027208631858229637,0.0012985104694962502,0.9838728427778586,0.9873730111710992,0.06750842183828354,0.006114920601248741,0.9963966953962267,0.9984710988649063,0.01939350925385952,0.0006368260364979506,-1.6500160295793929,-5.31060651422576,-0.5056881761573405
openml-sonar-40,classification,resnet,qple,20261840,20261941,20262042,384061,0.0,384061,0.3802310291627703,0.8878718535469108,0.8333333333333334,0.6194843867101982,0.8545454545454546,0.6904761904761905,0.4141725694913475,0.8810068649885583,0.8333333333333334,0.6216833735859022,0.8431818181818181,0.6904761904761905,0.38231646452194645,0.88558352402746,0.8571428571428571,0.6392966219377255,0.8772727272727272,0.7142857142857143,0.40280398797471534,0.8787185354691076,0.8095238095238095,0.6220374856740845,0.8522727272727273,0.6666666666666666,0.8319590070128661,0.8871748522780539,0.1701536476612091,0.05878350883722305,0.8539822730889032,0.8947258814814342,0.15512268245220184,0.048634082078933716,0.8078693657213802,0.8896047782544982,0.1764216274023056,0.058084532618522644,0.3537149245314534,-2.833154158559715,-0.05696019923127745
openml-sonar-40,classification,ft_transformer,qple,20261840,20261941,20262042,35617,0.0,35617,0.4300553922098986,0.8489702517162471,0.8333333333333334,0.6202955165563453,0.8295454545454546,0.6904761904761905,0.4636940582872856,0.8157894736842105,0.8333333333333334,0.5899950746144224,0.8227272727272728,0.7142857142857143,0.418700988114117,0.8215102974828375,0.8571428571428571,0.5812893341613401,0.8011363636363636,0.7142857142857143,0.47287856251022325,0.776887871853547,0.8333333333333334,0.624553939104404,0.7818181818181819,0.6904761904761905,0.7907573867458192,0.9293278136939,0.07744242995977402,0.02600233629345894,0.7969584277958573,0.9239871747489706,0.10010881721973419,0.031573861837387085,0.8648986789082932,0.9560469612484988,0.07296429574489594,0.019779659807682037,-5.135710999235899,1.4755615474877806,-5.857483558242725
openml-pc4-1049,classification,mlp,qple,20261840,20261941,20262042,122711,0.0,122711,0.24187908277848735,0.8984375,0.886986301369863,0.2258240075186037,0.9130859375,0.8972602739726028,0.2426520606527153,0.8987087673611112,0.9006849315068494,0.2291076170556583,0.9106987847222222,0.8972602739726028,0.2465925834101662,0.8910047743055556,0.8801369863013698,0.2196940315292434,0.9171006944444444,0.8938356164383562,0.24318131181610764,0.8983832465277778,0.9041095890410958,0.22947333229799888,0.9091796875,0.8972602739726028,0.9942502337464586,0.9957942512150686,0.013095524162054062,0.0006669987924396992,0.9386065795691041,0.9639415170056237,0.03625258803367615,0.0054122572764754295,0.9935733363035207,0.9949268060551023,0.01599029079079628,0.0009209937998093665,1.4332170965127204,4.108805131576221,-0.1596259640078818
openml-pc4-1049,classification,resnet,qple,20261840,20261941,20262042,237675,0.0,237675,0.25144250024984016,0.89794921875,0.8801369863013698,0.2231120727180764,0.92333984375,0.8972602739726028,0.2559628092823051,0.8952365451388888,0.886986301369863,0.23106074506402743,0.916015625,0.8938356164383562,0.24290256645276442,0.9004448784722222,0.8698630136986302,0.19807792143466033,0.9443359375,0.8801369863013698,0.2580512126854758,0.8941514756944444,0.886986301369863,0.23453868636993377,0.9144422743055556,0.8972602739726028,0.951765758671181,0.9607801261281181,0.039012130349874496,0.006558513268828392,0.8777011935135917,0.9194575151426407,0.06107819452881813,0.0120229572057724,0.963365396965662,0.9745956354149469,0.03272387757897377,0.0038865203969180584,3.4400790769321032,14.274524917777573,-1.5052064793362434
openml-pc4-1049,classification,ft_transformer,qple,20261840,20261941,20262042,29361,0.0,29361,0.2648448213570536,0.9085828993055556,0.8938356164383562,0.23576113148692296,0.9471028645833334,0.8972602739726028,0.270847491198687,0.9127604166666666,0.886986301369863,0.23952921141503347,0.9440104166666666,0.8938356164383562,0.2702021096263988,0.8953993055555556,0.8801369863013698,0.23169311970999998,0.9466145833333333,0.8938356164383562,0.27088679356467094,0.90283203125,0.8835616438356164,0.24902665553936873,0.9412977430555556,0.886986301369863,0.7699425892580206,0.8654803582173721,0.0634537786245346,0.021298862993717194,0.67756684171669,0.8401350758365083,0.05841471254825592,0.023397155106067657,0.7661744796925333,0.892818520903416,0.053421907126903534,0.016546839848160744,1.5731191639843634,3.271455560155399,-3.9650462957016916
openml-kc1-1067,classification,mlp,qple,20261840,20261941,20262042,77155,0.0,77155,0.32578762968767794,0.8241542770954536,0.8696682464454977,0.3680919543392993,0.7765998707175178,0.8530805687203792,0.32805601477896246,0.8226890756302521,0.8625592417061612,0.37112583475163197,0.7752854988149106,0.8483412322274881,0.3271428686705512,0.8242189183365654,0.8744075829383886,0.36784100559522,0.7790777849601379,0.8507109004739336,0.33068057588856026,0.8211376858435682,0.8649289099526066,0.37042368382813196,0.7690368455074338,0.8530805687203792,0.9837069559139535,0.9954431153178523,0.01977887935936451,0.0011948501924052835,0.9583675468498459,0.984540061812738,0.03814437985420227,0.004384636878967285,0.9595205531257649,0.9904831417342547,0.0293246079236269,0.0022012812551110983,0.8174802528535952,0.8850984891984912,0.18919483844877322
