dataset,model,split,method,categorical_fields,binary_factors,full_joint_cell_count,grand_method_mean_squared_difference,unbiased_between_repetition_risk,mean_repetition_brier,repetition_brier_std,grand_mean_brier,hard_flip_fraction
bank_marketing_subscription,ordinal_forest,validation,oa32,9,10,16384,6.122555984031756e-06,2.1951671470257828e-05,0.16641261255555206,8.867209339979478e-05,0.1663934048430156,0.0
bank_marketing_subscription,ordinal_forest,validation,iid32,9,10,16384,6.122555984031756e-06,3.632934428837294e-05,0.16637876289886736,0.00046589628870222487,0.166346974722615,0.0
bank_marketing_subscription,ordinal_forest,test,oa32,9,10,16384,6.265988594321483e-06,2.3917395744129885e-05,0.17245045016455096,0.00017114712552912645,0.17242952244327486,0.003
bank_marketing_subscription,ordinal_forest,test,iid32,9,10,16384,6.265988594321483e-06,4.10521653794328e-05,0.17240938081021487,0.00033421774430166055,0.1723734601655079,0.004
bank_marketing_subscription,catboost_native,validation,oa32,9,10,16384,1.1435917935697433e-06,8.80145698806341e-06,0.16534150922644628,0.00020881677155068889,0.16533380795158176,0.003
bank_marketing_subscription,catboost_native,validation,iid32,9,10,16384,1.1435917935697433e-06,9.066579685544537e-06,0.1653288754744469,0.00012467016992307616,0.16532094221722207,0.002
bank_marketing_subscription,catboost_native,test,oa32,9,10,16384,1.3817786952692192e-06,8.619448660406358e-06,0.17484059737929886,0.0001423364095252848,0.174833055361721,0.001
bank_marketing_subscription,catboost_native,test,iid32,9,10,16384,1.3817786952692192e-06,1.0265390735997366e-05,0.1748266485517791,0.00013609059424554587,0.17481766633488513,0.001
bank_marketing_subscription,onehot_adam_mlp,validation,oa32,9,10,16384,1.661900208658112e-05,6.547295447773158e-05,0.16400660942786602,0.0008551092126956654,0.163949320592698,0.004
bank_marketing_subscription,onehot_adam_mlp,validation,iid32,9,10,16384,1.661900208658112e-05,0.00012185578812730645,0.16451489047655,0.0014655457682211407,0.1644082666619386,0.007
bank_marketing_subscription,onehot_adam_mlp,test,oa32,9,10,16384,1.5543669396102723e-05,6.620026532447265e-05,0.17535673142674482,0.0004067012029531491,0.17529880619458596,0.008
bank_marketing_subscription,onehot_adam_mlp,test,iid32,9,10,16384,1.5543669396102723e-05,0.00013040852339956435,0.17550397432358628,0.00041959773354303167,0.17538986686561167,0.01
german_credit_risk,ordinal_forest,validation,oa32,13,14,262144,3.325598080246295e-05,4.953745550615938e-05,0.3226578056237738,0.0011525354353887243,0.32261446035020586,0.02
german_credit_risk,ordinal_forest,validation,iid32,13,14,262144,3.325598080246295e-05,0.00010034347951897899,0.3231226017995947,0.001005584731332767,0.3230348012550156,0.013333333333333334
german_credit_risk,ordinal_forest,test,oa32,13,14,262144,4.938507149841579e-05,5.590633233076843e-05,0.32761415115681075,0.0008230205019717286,0.3275652331160213,0.04666666666666667
german_credit_risk,ordinal_forest,test,iid32,13,14,262144,4.938507149841579e-05,0.00011786607996814509,0.3287454516613101,0.0012312438132410534,0.32864231884133793,0.04666666666666667
german_credit_risk,catboost_native,validation,oa32,13,14,262144,4.73910320430446e-05,0.00018209109504866328,0.32012659176129354,0.001977675917929479,0.319967262053126,0.04666666666666667
german_credit_risk,catboost_native,validation,iid32,13,14,262144,4.73910320430446e-05,0.0002167483849864952,0.3206485162635789,0.0016899878084915298,0.3204588614267157,0.04
german_credit_risk,catboost_native,test,oa32,13,14,262144,6.0538532172490444e-05,0.0001815857197114229,0.3149699258582343,0.0008564456625118542,0.31481103835348684,0.02666666666666667
german_credit_risk,catboost_native,test,iid32,13,14,262144,6.0538532172490444e-05,0.00025016097604228414,0.3150943771651408,0.0012386038365938888,0.3148754863111038,0.02666666666666667
german_credit_risk,onehot_adam_mlp,validation,oa32,13,14,262144,9.836639679883374e-05,0.00042110529705467834,0.3185632648569752,0.0028903259317423057,0.3181947977220524,0.05333333333333334
german_credit_risk,onehot_adam_mlp,validation,iid32,13,14,262144,9.836639679883374e-05,0.0005945181877728569,0.3172538302853629,0.0034937532909575086,0.31673362687106166,0.07333333333333333
german_credit_risk,onehot_adam_mlp,test,oa32,13,14,262144,9.324121092276378e-05,0.0004210375688877833,0.31214275804625835,0.0016119059654620869,0.31177435017348154,0.02
german_credit_risk,onehot_adam_mlp,test,iid32,13,14,262144,9.324121092276378e-05,0.0006017688780225773,0.31237050399183297,0.002915297434837865,0.31184395622356326,0.04
compustat_kor_direction,ordinal_forest,validation,oa32,3,4,256,2.5209409915695577e-05,0.00010790900686815275,0.5241490423118617,0.0005306499192271389,0.5240546219308522,0.059
compustat_kor_direction,ordinal_forest,validation,iid32,3,4,256,2.5209409915695577e-05,8.121353329668974e-05,0.5245402761304758,0.00041330698798059225,0.5244692142888413,0.069
compustat_kor_direction,ordinal_forest,test,oa32,3,4,256,3.1889540325630225e-05,0.00011597162188622782,0.5142923599559094,0.0005353049975010982,0.5141908847867589,0.07
compustat_kor_direction,ordinal_forest,test,iid32,3,4,256,3.1889540325630225e-05,8.370735926788782e-05,0.513860410248338,0.0004264432660276352,0.5137871663089786,0.066
compustat_kor_direction,catboost_native,validation,oa32,3,4,256,1.0890602669762759e-05,3.921338715339142e-05,0.49714265556962656,0.0002322523453904538,0.4971083438558674,0.068
compustat_kor_direction,catboost_native,validation,iid32,3,4,256,1.0890602669762759e-05,4.7853039416634796e-05,0.4970692647417011,0.00037415696774414285,0.4970273933322115,0.09
compustat_kor_direction,catboost_native,test,oa32,3,4,256,1.1882002937248754e-05,4.297238949099561e-05,0.4968798848403993,0.00023143366960824956,0.4968422839995947,0.075
compustat_kor_direction,catboost_native,test,iid32,3,4,256,1.1882002937248754e-05,5.2295094667369775e-05,0.4968525034453132,0.000467776616427948,0.49680674523747914,0.092
compustat_kor_direction,onehot_adam_mlp,validation,oa32,3,4,256,2.796445093125448e-05,0.00014174189270541976,0.5007619016517545,0.0012586068839671154,0.5006378774956373,0.111
