method,budget,order,coefficient,ratio_to_equal_budget_iid
strength1,4,1,2.9562579236438083e-17,1.1825031694575233e-16
strength1,4,2,0.33333333333333315,1.3333333333333326
strength1,4,3,0.22222222222222193,0.8888888888888877
strength1,4,4,0.25925925925925897,1.0370370370370359
strength2,16,1,-3.0267310648553717e-19,-4.842769703768595e-18
strength2,16,2,7.881547459429347e-18,1.2610475935086956e-16
strength2,16,3,0.11111111111111112,1.777777777777778
strength2,16,4,0.0370370370370369,0.5925925925925905
strength3,64,1,8.973467043212056e-18,5.743018907655716e-16
strength3,64,2,1.2804628435233897e-18,8.194962198549694e-17
strength3,64,3,-1.95150116729263e-18,-1.2489607470672832e-16
strength3,64,4,0.037037037037037014,2.370370370370369
