dataset,model,task,split,strength1_design_count,strength2_design_count,joint_risk,main_fraction,main_plus_pair_fraction,mean_member_loss,quotient_loss,iid16_residual,four_strength1_residual,four_seed_blocks_residual,strength2_residual,strength1_component_reconstruction_error,strength2_component_reconstruction_error,strength2_expected_loss,strength2_vs_iid16_reduction,strength2_vs_four_strength1_reduction,strength2_vs_seed_blocks_reduction,material,ambiguity_error
openml-mushroom-24,onehot_linear,binclass,validation,3456,27648,3.96124076256678e-20,0.3743797928234112,0.7533523947805489,0.0008523681589180836,0.0008523681589180836,2.4757754766042375e-21,1.79379618107649e-21,9.90310190641695e-21,1.0855894975386311e-21,6.018531076210112e-36,0.0,0.0008523681589180836,0.5615153684987539,0.3948088924533506,0.8903788421246884,False,3.96124076256678e-20
openml-mushroom-24,onehot_linear,binclass,test,3456,27648,3.1776128815216288e-21,0.36161712495395404,0.9039498451649232,0.0009815181915155914,0.0009815181915155914,1.986008050951018e-22,1.605664092219805e-22,7.944032203804072e-22,3.391224547512081e-23,4.70197740328915e-37,5.877471754111438e-39,0.0009815181915155914,0.8292441691820855,0.7887961396194787,0.9573110422955213,False,3.1776128815216288e-21
openml-mushroom-24,ordinal_forest,binclass,validation,3456,27648,7.285446747646272e-05,0.7396071397808743,0.8758831370435622,0.0004951218457889311,0.00042226737831246847,4.55340421727892e-06,1.3297189317297713e-06,1.3690099029231932e-05,1.004718661726708e-06,1.1011428314305904e-20,1.4823076576950256e-21,0.0004232720969741952,0.7793477991885551,0.24441275689764386,0.9266098324357354,True,5.421010862427522e-20
openml-mushroom-24,ordinal_forest,binclass,test,3456,27648,0.00011249624068666893,0.8156796346755899,0.9093360290227557,0.0006899061443166753,0.0005774099036300063,7.031015042916808e-06,1.444630240063988e-06,2.3391857053779106e-05,1.1332617667405876e-06,1.0164395367051604e-20,1.2705494208814505e-21,0.0005785431653967469,0.838819607151565,0.215535065436266,0.9515531509903143,True,2.710505431213761e-20
openml-mushroom-24,onehot_adam_mlp,binclass,validation,3456,27648,0.0004231290739972578,0.26728219385564894,0.7180088161800876,0.0011510104382660717,0.0007278813642688141,2.6445567124828614e-05,2.2859376816044597e-05,1.3551455034287649e-05,1.0556826850071978e-05,8.131516293641283e-20,5.082197683525802e-21,0.0007384381911188861,0.6008092093377486,0.5381839612240731,0.2209820404258227,True,2.168404344971009e-19
openml-mushroom-24,onehot_adam_mlp,binclass,test,3456,27648,0.0004923475272689874,0.2872938427006099,0.7338975510767847,0.001630847483815237,0.0011384999565462492,3.0771720454311715e-05,2.5960785019420947e-05,1.6396770003934065e-05,1.1689253463171634e-05,8.131516293641283e-20,6.776263578034403e-21,0.001150189210009421,0.6201299995387894,0.5497342066340811,0.28710023618267255,True,3.2526065174565133e-19
openml-colic-25,onehot_linear,binclass,validation,3456,27648,2.5786430048303888e-18,0.2181818181818182,0.890909090909091,0.2082990606659973,0.2082990606659973,1.611651878018993e-19,1.6018842908794836e-19,6.446607512075972e-19,3.125627884642901e-20,1.925929944387236e-34,4.2129717533470784e-35,0.2082990606659973,0.8060606060606057,0.8048780487804874,0.9515151515151514,False,2.5786430048303888e-18
openml-colic-25,onehot_linear,binclass,test,3456,27648,5.514761813980591e-18,0.1812499651365538,0.7480639598622171,0.43674234077358104,0.43674234077358104,3.4467261337378696e-19,3.376740841295363e-19,1.3786904534951478e-18,1.5437413930192518e-19,1.1555579666323415e-33,4.81482486096809e-35,0.43674234077358104,0.5521137064217193,0.5428309528109798,0.8880284266054298,False,5.514761813980591e-18
openml-colic-25,ordinal_forest,binclass,validation,3456,27648,0.005715470039223546,0.7715277621477943,0.8956710183933468,0.2113610679582752,0.20564559791905168,0.0003572168774514716,9.225526450334402e-05,0.001115235798609344,6.625435206617016e-05,1.0842021724855044e-19,0.0,0.20571185227111785,0.8145262549215052,0.2818366255535628,0.9405916200423383,True,3.209238430557093e-17
openml-colic-25,ordinal_forest,binclass,test,3456,27648,0.00591899148537139,0.769856053607388,0.8914210004783684,0.2923440312510223,0.2864250397656509,0.00036993696783571187,9.566616676845113e-05,0.0011481726741562753,7.140868596207587e-05,3.2526065174565133e-19,0.0,0.286496448451613,0.806970667517099,0.25356384211659366,0.937806666567335,True,4.336808689942018e-18
openml-colic-25,onehot_adam_mlp,binclass,validation,3456,27648,0.015894647614369022,0.16606104168436686,0.45060549259199256,0.28820277303806685,0.2723081254236978,0.0009934154758980639,0.0008883738486276567,0.0012439118908377795,0.0007595162275793771,3.0357660829594124e-18,4.336808689942018e-19,0.27306764165127717,0.23544957169832492,0.14504886793700245,0.38941316248063196,True,1.734723475976807e-17
