panel,dataset,task,model,method,product_cells,score_bias,score_rmse,prediction_residual,max_absolute_score_error,family,mean_pack_sampling_attempts
late_source_c,openml-adult-1590,binclass,onehot_linear,disjoint_pair_mean32,128.0,1.535524485341e-11,6.0019763261488e-10,3.860777721942427e-15,1.9722833921598237e-09,pair32,
late_source_c,openml-adult-1590,binclass,onehot_linear,independent_pair_mean32,128.0,3.054931307922004e-11,6.705757976634815e-10,4.633098586888654e-15,1.9722833921598237e-09,pair32,
late_source_c,openml-adult-1590,binclass,ordinal_forest,disjoint_pair_mean32,128.0,1.203254560774858e-05,4.5051585367642284e-05,1.1342041321590093e-05,0.00019946700162212783,pair32,
late_source_c,openml-adult-1590,binclass,ordinal_forest,independent_pair_mean32,128.0,1.2679260338016585e-05,4.7127140977931014e-05,1.3317427221459952e-05,0.0001897379841349911,pair32,
late_source_c,openml-adult-1590,binclass,native_histgb,disjoint_pair_mean32,128.0,1.9284932539775923e-09,1.5541329245364654e-07,8.163331905138954e-11,4.3833170332296945e-07,pair32,
late_source_c,openml-adult-1590,binclass,native_histgb,independent_pair_mean32,128.0,2.5042101448047305e-09,1.6922300454324714e-07,9.596381042213548e-11,4.3833170332296945e-07,pair32,
late_source_c,openml-adult-1590,binclass,catboost_native,disjoint_pair_mean32,128.0,2.0299651933286533e-06,5.10044201782135e-05,2.5213695095697685e-06,0.00014270133162833099,pair32,
late_source_c,openml-adult-1590,binclass,catboost_native,independent_pair_mean32,128.0,-3.516215452137317e-08,5.435911216795174e-05,2.929572481682876e-06,0.00014270133162833099,pair32,
late_source_c,openml-adult-1590,binclass,onehot_adam_mlp,disjoint_pair_mean32,128.0,6.243590830218304e-05,0.0001291327466282884,6.112206642017194e-05,0.0004858685274840291,pair32,
late_source_c,openml-adult-1590,binclass,onehot_adam_mlp,independent_pair_mean32,128.0,7.209948009123668e-05,0.00014237994013633934,7.170815089944685e-05,0.0005231324390401193,pair32,
late_source_c,openml-bank-marketing-1461,binclass,onehot_linear,disjoint_pair_mean32,128.0,-1.7034623711609242e-11,3.293634328890411e-10,4.988800716881707e-16,1.1227275775738121e-09,pair32,
late_source_c,openml-bank-marketing-1461,binclass,onehot_linear,independent_pair_mean32,128.0,-5.015765580651532e-12,3.7614283648587975e-10,6.18011094070141e-16,1.1227275775738121e-09,pair32,
late_source_c,openml-bank-marketing-1461,binclass,ordinal_forest,disjoint_pair_mean32,128.0,1.0838156393855325e-05,4.468482345730257e-05,1.1774245488169016e-05,0.0001667169315597572,pair32,
late_source_c,openml-bank-marketing-1461,binclass,ordinal_forest,independent_pair_mean32,128.0,1.1631978519749397e-05,4.840414942806419e-05,1.3658147607311831e-05,0.00016493199591985364,pair32,
late_source_c,openml-bank-marketing-1461,binclass,native_histgb,disjoint_pair_mean32,128.0,2.7755575615628914e-17,3.926190274676522e-17,0.0,0.0,pair32,
late_source_c,openml-bank-marketing-1461,binclass,native_histgb,independent_pair_mean32,128.0,2.7755575615628914e-17,3.926190274676522e-17,0.0,0.0,pair32,
late_source_c,openml-bank-marketing-1461,binclass,catboost_native,disjoint_pair_mean32,128.0,2.9828488864458436e-06,6.680060950186417e-05,3.5855606122399296e-06,0.00017289418968502446,pair32,
late_source_c,openml-bank-marketing-1461,binclass,catboost_native,independent_pair_mean32,128.0,6.240452167405319e-06,7.100203795066179e-05,4.192919380385858e-06,0.00018488208743960843,pair32,
late_source_c,openml-bank-marketing-1461,binclass,onehot_adam_mlp,disjoint_pair_mean32,128.0,7.775057424294629e-05,0.0001890279198399244,7.487719322403079e-05,0.0006354168899062318,pair32,
late_source_c,openml-bank-marketing-1461,binclass,onehot_adam_mlp,independent_pair_mean32,128.0,9.353207973383793e-05,0.00020420525406862088,8.73963231822356e-05,0.000838695125339961,pair32,
late_source_c,openml-titanic-40945,binclass,onehot_linear,disjoint_pair_mean32,128.0,-8.326672684688674e-17,2.3513350772905552e-15,3.2005891067772206e-24,7.341349750333848e-15,pair32,
late_source_c,openml-titanic-40945,binclass,onehot_linear,independent_pair_mean32,128.0,-9.71445146547012e-17,2.5774046000836287e-15,3.889643185745535e-24,7.341349750333848e-15,pair32,
late_source_c,openml-titanic-40945,binclass,ordinal_forest,disjoint_pair_mean32,128.0,2.9365918522983314e-05,0.0005554281770923306,1.912419074244367e-05,0.0017893737095446421,pair32,
late_source_c,openml-titanic-40945,binclass,ordinal_forest,independent_pair_mean32,128.0,1.790066565021675e-05,0.0006017934201015766,2.25034768158963e-05,0.0020404188049795713,pair32,
late_source_c,openml-titanic-40945,binclass,native_histgb,disjoint_pair_mean32,128.0,2.104288965298906e-13,6.920175806109165e-11,1.2670420805662123e-18,1.0774540287750156e-10,pair32,
late_source_c,openml-titanic-40945,binclass,native_histgb,independent_pair_mean32,128.0,1.6835075000720678e-12,7.502424499435151e-11,1.4892248150730837e-18,1.0774540287750156e-10,pair32,
late_source_c,openml-titanic-40945,binclass,catboost_native,disjoint_pair_mean32,128.0,6.880571062906071e-08,2.6332625665571745e-05,6.807688304185634e-07,6.53103551371062e-05,pair32,
late_source_c,openml-titanic-40945,binclass,catboost_native,independent_pair_mean32,128.0,-4.476897750363418e-07,2.956855243628065e-05,8.422816400451e-07,6.638955316939921e-05,pair32,
late_source_c,openml-titanic-40945,binclass,onehot_adam_mlp,disjoint_pair_mean32,128.0,5.443057960134723e-05,0.0018747119642154937,8.34639279848824e-05,0.005605277819523122,pair32,
late_source_c,openml-titanic-40945,binclass,onehot_adam_mlp,independent_pair_mean32,128.0,7.075548181567637e-05,0.0020232106911680053,9.825093235577576e-05,0.007469815109274677,pair32,
late_source_c,openml-churn-40701,binclass,onehot_linear,disjoint_pair_mean32,128.0,2.7740254537889086e-11,1.6042611301075549e-09,9.055896764010253e-16,4.095485311994551e-09,pair32,
late_source_c,openml-churn-40701,binclass,onehot_linear,independent_pair_mean32,128.0,4.8912429662095747e-11,1.7682187378690393e-09,1.0537581652677624e-15,4.095485311994551e-09,pair32,
late_source_c,openml-churn-40701,binclass,ordinal_forest,disjoint_pair_mean32,128.0,9.630754027434296e-06,0.00011640344196265457,1.4433988627607058e-05,0.00040997585194112174,pair32,
late_source_c,openml-churn-40701,binclass,ordinal_forest,independent_pair_mean32,128.0,9.200810906162538e-06,0.0001301102612556533,1.6790997030950988e-05,0.0004603088307132547,pair32,
late_source_c,openml-churn-40701,binclass,native_histgb,disjoint_pair_mean32,128.0,0.0,0.0,0.0,0.0,pair32,
late_source_c,openml-churn-40701,binclass,native_histgb,independent_pair_mean32,128.0,0.0,0.0,0.0,0.0,pair32,
late_source_c,openml-churn-40701,binclass,catboost_native,disjoint_pair_mean32,128.0,1.3704469297423638e-05,0.0001545171038842704,1.1042869033352597e-05,0.0005384035781726276,pair32,
late_source_c,openml-churn-40701,binclass,catboost_native,independent_pair_mean32,128.0,1.5268138254628805e-05,0.00016449854484498443,1.3240942594645503e-05,0.0005384035781726276,pair32,
late_source_c,openml-churn-40701,binclass,onehot_adam_mlp,disjoint_pair_mean32,128.0,0.0001603936882572793,0.0007965022087688933,0.00014432403420235962,0.0032146884578724833,pair32,
late_source_c,openml-churn-40701,binclass,onehot_adam_mlp,independent_pair_mean32,128.0,0.00017277054528545832,0.000852465551248962,0.0001670036167617883,0.0029117791621190436,pair32,
late_source_c,openml-adult-1590,binclass,onehot_linear,mutually_disjoint_pack64,128.0,-1.0866502142548029e-11,3.3866753003933723e-10,1.2564767995414316e-15,1.3700545697936661e-09,pack64,1.0
late_source_c,openml-adult-1590,binclass,onehot_linear,two_disjoint_pairs64,128.0,-1.3340939464256962e-11,4.274830893944674e-10,1.8853910453026247e-15,1.4632739464559563e-09,pack64,1.0
late_source_c,openml-adult-1590,binclass,onehot_linear,independent_four64,128.0,2.133390686331893e-11,4.703630245122433e-10,2.3341555059901692e-15,1.51398427128413e-09,pack64,1.0
late_source_c,openml-adult-1590,binclass,ordinal_forest,mutually_disjoint_pack64,128.0,3.1562428491060945e-06,2.422810960826373e-05,3.517640251830196e-06,8.104216003340659e-05,pack64,1.0
late_source_c,openml-adult-1590,binclass,ordinal_forest,two_disjoint_pairs64,128.0,4.442696925566203e-06,3.0128039357449723e-05,5.719127487614501e-06,9.843707249948541e-05,pack64,1.0
late_source_c,openml-adult-1590,binclass,ordinal_forest,independent_four64,128.0,4.940172791428887e-06,3.420646400920827e-05,6.759694042980616e-06,0.0001297207867278216,pack64,1.0
late_source_c,openml-adult-1590,binclass,native_histgb,mutually_disjoint_pack64,128.0,-3.1843429559863523e-09,9.17147745832072e-08,2.758489391487878e-11,3.277908744436786e-07,pack64,1.0
