dataset,model,task,split,strength1_design_count,strength2_design_count,joint_risk,main_fraction,main_plus_pair_fraction,mean_member_loss,quotient_loss,iid16_residual,four_strength1_residual,four_seed_blocks_residual,strength2_residual,strength1_component_reconstruction_error,strength2_component_reconstruction_error,strength2_expected_loss,strength2_vs_iid16_reduction,strength2_vs_four_strength1_reduction,strength2_vs_seed_blocks_reduction,material,ambiguity_error
openml-adult-1590,onehot_linear,binclass,validation,3456,27648,1.8491688645041426e-13,0.20421559001716583,0.6922637392481634,0.20472240892906096,0.20472240892887605,1.1557305403150891e-14,1.0682119304258174e-14,4.622922161260354e-14,6.322847909569148e-15,2.524354896707238e-29,1.5777218104420236e-30,0.20472240892888238,0.4529133142189582,0.4080904987600452,0.8632283285547395,False,9.2416990944372e-18
openml-adult-1590,onehot_linear,binclass,test,3456,27648,1.516120363182564e-13,0.21354395604167167,0.6880151304355555,0.2003382309701381,0.2003382309699865,9.475752269891026e-15,8.622442931189329e-15,3.79030090795641e-14,5.255629041683444e-15,1.8932661725304283e-29,1.5777218104420236e-30,0.20033823096999176,0.4453602318854326,0.3904709971842616,0.8613400579713582,False,3.883788130691537e-17
openml-adult-1590,ordinal_forest,binclass,validation,3456,27648,0.0014290224752830218,0.6672918016154563,0.8358411639645564,0.18952453798270893,0.18809551550742593,8.931390470518886e-05,3.310432814989883e-05,0.0002458048221359519,2.606518513454997e-05,2.710505431213761e-20,6.776263578034403e-21,0.18812158069256046,0.708162069270322,0.21263512684731445,0.8939598299656888,True,1.235990476633475e-17
openml-adult-1590,ordinal_forest,binclass,test,3456,27648,0.0013846707124529733,0.6661403694154401,0.8346567095585169,0.18669168170247785,0.1853070109900249,8.654191952831083e-05,3.2164192940208365e-05,0.000237491574346968,2.5438445752769727e-05,0.0,3.3881317890172014e-21,0.18533244943577765,0.7060563725484742,0.20910666715441817,0.8928869547363186,True,1.1058862159352145e-17
openml-adult-1590,native_histgb,binclass,validation,3456,27648,0.0008959404259566097,0.5667128751442942,0.999991347748913,0.1777752477143249,0.17687930728836831,5.599627662228811e-05,3.23497389364634e-05,3.376150394911114e-05,8.613223915861318e-10,2.710505431213761e-20,2.9552061359222605e-21,0.17687930814969072,0.99998461822029,0.9999733746725661,0.9999744880324974,True,2.2442984970449942e-17
openml-adult-1590,native_histgb,binclass,test,3456,27648,0.0008168397135352464,0.5657694482384251,0.9999790219205538,0.17583527673953966,0.17501843702600445,5.10524820959529e-05,2.9557587299975706e-05,2.9584023750222475e-05,1.9039698228418444e-09,5.421010862427522e-20,5.15953907079951e-21,0.17501843892997426,0.9999627056365396,0.9999355843965368,0.9999356419586829,False,2.959871930885427e-17
openml-adult-1590,catboost_native,binclass,validation,3456,27648,0.00023019984180712148,0.29409906685035436,0.7640702846340801,0.18529614279390033,0.18506594295209317,1.4387490112945093e-05,1.2032885174244693e-05,1.1869122574536642e-05,6.0345536838704284e-06,4.0657581468206416e-20,1.1011428314305904e-20,0.18507197750577703,0.5805693949050321,0.49849486665202725,0.49157541798273907,False,4.4533604234842095e-17
openml-adult-1590,catboost_native,binclass,test,3456,27648,0.00021622100284535923,0.29546023621014794,0.7648008485552849,0.18299498139148812,0.18277876038864277,1.3513812677834952e-05,1.1282052400540793e-05,1.1580923171352918e-05,5.650555154861524e-06,2.710505431213761e-20,7.623296525288703e-21,0.18278441094379763,0.5818681752093962,0.4991553881995202,0.512080766683697,False,7.724940478959219e-18
openml-adult-1590,onehot_adam_mlp,binclass,validation,3456,27648,0.002714502381738167,0.18481661533559346,0.5209945958174517,0.19891900452073202,0.19620450213899387,0.00016965639885863543,0.0001524286169846272,0.00015306966935670644,0.00011130907799303628,5.421010862427522e-19,8.131516293641283e-20,0.1963158112169869,0.3439146490090037,0.269762593173288,0.2728208111977639,True,1.8214596497756474e-17
openml-adult-1590,onehot_adam_mlp,binclass,test,3456,27648,0.0025701937718257844,0.18579761151131655,0.5217785322381698,0.19672397990367702,0.19415378613185127,0.00016063711073911153,0.00014414434101795638,0.00014591995941013778,0.00010538145067867221,4.336808689942018e-19,6.776263578034403e-20,0.19425916758252995,0.34397817419773724,0.2689171844384469,0.2778133224223551,True,4.380176776841438e-17
