dataset,model,method,metric,exact_metric,bias,rmse
openml-kr-vs-kp-3,onehot_linear,disjoint_pair32,brier,0.04988502650716121,-2.68266053766791e-11,1.1299195504931591e-09
openml-kr-vs-kp-3,onehot_linear,disjoint_pair32,log_loss,0.0986159493353305,-2.947366859579713e-11,1.1227970238062847e-09
openml-kr-vs-kp-3,onehot_linear,disjoint_pair32,roc_auc,0.9968980072641602,0.0,0.0
openml-kr-vs-kp-3,onehot_linear,disjoint_pair32,accuracy,0.9687010954616588,0.0,0.0
openml-kr-vs-kp-3,onehot_linear,independent_pair32,brier,0.04988502650716121,-1.619173643497814e-11,1.2767808485600422e-09
openml-kr-vs-kp-3,onehot_linear,independent_pair32,log_loss,0.0986159493353305,-1.4625908516534454e-11,1.2851422710141933e-09
openml-kr-vs-kp-3,onehot_linear,independent_pair32,roc_auc,0.9968980072641602,0.0,0.0
openml-kr-vs-kp-3,onehot_linear,independent_pair32,accuracy,0.9687010954616588,0.0,0.0
openml-kr-vs-kp-3,onehot_linear,mutually_disjoint_pack64,brier,0.04988502650716121,-2.1748417858833725e-11,6.44109764463602e-10
openml-kr-vs-kp-3,onehot_linear,mutually_disjoint_pack64,log_loss,0.0986159493353305,-1.2176908082122545e-11,6.597127240261632e-10
openml-kr-vs-kp-3,onehot_linear,mutually_disjoint_pack64,roc_auc,0.9968980072641602,0.0,0.0
openml-kr-vs-kp-3,onehot_linear,mutually_disjoint_pack64,accuracy,0.9687010954616588,0.0,0.0
openml-kr-vs-kp-3,onehot_linear,two_disjoint_pairs64,brier,0.04988502650716121,4.32354825362748e-12,7.766078222241589e-10
openml-kr-vs-kp-3,onehot_linear,two_disjoint_pairs64,log_loss,0.0986159493353305,-2.2544615398698356e-11,7.730734104248587e-10
openml-kr-vs-kp-3,onehot_linear,two_disjoint_pairs64,roc_auc,0.9968980072641602,0.0,0.0
openml-kr-vs-kp-3,onehot_linear,two_disjoint_pairs64,accuracy,0.9687010954616588,0.0,0.0
openml-kr-vs-kp-3,ordinal_forest,disjoint_pair32,brier,0.052241904956508656,1.736168370657207e-05,0.00024173571567638337
openml-kr-vs-kp-3,ordinal_forest,disjoint_pair32,log_loss,0.13596055212856475,1.0796596440579607e-05,0.00045408466104813593
openml-kr-vs-kp-3,ordinal_forest,disjoint_pair32,roc_auc,0.9991263374889565,-3.451089624034124e-06,1.9498194490632775e-05
openml-kr-vs-kp-3,ordinal_forest,disjoint_pair32,accuracy,0.9827856025039123,-0.0006158915297339682,0.0009817517556673034
