panel,dataset,task,method,draw,selection_agreement,validation_log_quotient_regret,selected_test_log_quotient_loss
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,0,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,1,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,2,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,3,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,4,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,5,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,6,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,7,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,8,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,9,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,10,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,11,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,12,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,13,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,14,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,15,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,16,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,17,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,18,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,19,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,20,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,21,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,22,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,23,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,24,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,25,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,26,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,27,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,28,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,29,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,30,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,31,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,32,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,33,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,34,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,35,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,36,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,37,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,38,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,39,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,40,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,41,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,42,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,43,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,44,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,45,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,46,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,47,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,48,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,49,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,50,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,51,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,52,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,53,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,54,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,55,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,56,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,57,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,58,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,59,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,60,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,61,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,62,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,63,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,64,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,65,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,66,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,67,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,68,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,69,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,70,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,71,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,72,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,73,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,74,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,75,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,76,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,77,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,78,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,79,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,80,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,81,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,82,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,83,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,84,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,85,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,86,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,87,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,88,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,89,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,90,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,91,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,92,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,93,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,94,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,95,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,96,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,97,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,98,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,99,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,100,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,101,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,102,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,103,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,104,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,105,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,106,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,107,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,108,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,109,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,110,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,111,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,112,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,113,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,114,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,115,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,116,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,117,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,118,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,119,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,120,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,121,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,122,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,123,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,124,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,125,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,126,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,127,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,128,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,129,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,130,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,131,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,132,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,133,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,134,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,135,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,136,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,137,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,138,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,139,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,140,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,141,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,142,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,143,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,144,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,145,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,146,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,147,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,148,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,149,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,150,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,151,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,152,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,153,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,154,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,155,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,156,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,157,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,158,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,159,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,160,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,161,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,162,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,163,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,164,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,165,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,166,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,167,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,168,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,169,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,170,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,171,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,172,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,173,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,174,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,175,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,176,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,177,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,178,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,179,True,0.0,0.6881513318348
confirmation,compustat_kor_direction,binclass,strength2_jackknife64,180,True,0.0,0.6881513318348
