dataset,seed,ordinary_schema_variance,matched_function_schema_variance,fraction_removed,matched_post_training_max_gap
australian_credit_approval,101,0.0036003546348615757,2.3258587230060824e-33,1.0,2.220446049250313e-16
australian_credit_approval,202,0.005642613778816415,2.7798282485717802e-33,1.0,3.3306690738754696e-16
australian_credit_approval,303,0.0031587264439778967,2.41894855119773e-33,1.0,2.220446049250313e-16
australian_credit_approval,404,0.002568602946469314,2.855915706428271e-33,1.0,2.220446049250313e-16
bank_marketing_subscription,101,0.0013273286655187118,1.4797927866682398e-33,1.0,2.220446049250313e-16
bank_marketing_subscription,202,0.00262319712228746,1.3218048412849553e-33,1.0,2.220446049250313e-16
bank_marketing_subscription,303,0.0012738847263429236,1.70370772146033e-33,1.0,2.220446049250313e-16
bank_marketing_subscription,404,0.0013107024265303798,1.7079786215752856e-33,1.0,2.220446049250313e-16
german_credit_risk,101,0.005216888883424631,4.065371040284948e-33,1.0,2.220446049250313e-16
german_credit_risk,202,0.004609718367240276,3.0207697094851034e-33,1.0,2.220446049250313e-16
german_credit_risk,303,0.005440664837082909,3.3547532019642735e-33,1.0,2.220446049250313e-16
german_credit_risk,404,0.007336273384809006,4.0371353525130367e-33,1.0,2.220446049250313e-16
lendingclub_loan_default,101,0.0011095230691154396,1.8630895210250454e-33,1.0,2.220446049250313e-16
lendingclub_loan_default,202,0.0008640039268775568,1.9196518641583643e-33,1.0,2.220446049250313e-16
lendingclub_loan_default,303,0.0015616250963369238,1.736356935995097e-33,1.0,2.220446049250313e-16
lendingclub_loan_default,404,0.0011613277568913202,1.7734732171420846e-33,1.0,2.220446049250313e-16
