component,covers,fits,independent_risk,resolvable_pack_risk,ratio,predicted_ratio
0:1:2,1,16,0.11172851562499991,0.11172851562499993,1.0000000000000002,1.0
0:1:2,2,32,0.05586425781249996,0.04788364955357139,0.8571428571428571,0.8571428571428571
0:1:2,4,64,0.02793212890624998,0.01596121651785713,0.5714285714285714,0.5714285714285714
0:1:2,8,128,0.01396606445312499,0.0,0.0,0.0
0:1:3,1,16,0.11259570312499995,0.11259570312499993,0.9999999999999999,1.0
0:1:3,2,32,0.05629785156249997,0.04825530133928569,0.8571428571428571,0.8571428571428571
0:1:3,4,64,0.028148925781249987,0.016085100446428562,0.5714285714285714,0.5714285714285714
0:1:3,8,128,0.014074462890624993,0.0,0.0,0.0
0:2:3,1,16,0.11234375000000012,0.11234375000000012,1.0,1.0
0:2:3,2,32,0.05617187500000006,0.04814732142857148,0.8571428571428571,0.8571428571428571
0:2:3,4,64,0.02808593750000003,0.01604910714285716,0.5714285714285714,0.5714285714285714
0:2:3,8,128,0.014042968750000015,0.0,0.0,0.0
1:2:3,1,16,0.10968749999999998,0.10968749999999998,1.0,1.0
1:2:3,2,32,0.05484374999999999,0.04700892857142856,0.8571428571428571,0.8571428571428571
1:2:3,4,64,0.027421874999999995,0.015669642857142854,0.5714285714285714,0.5714285714285714
1:2:3,8,128,0.013710937499999997,0.0,0.0,0.0
0:1:2:3,1,16,0.03782031250000001,0.03782031250000001,1.0,1.0
0:1:2:3,2,32,0.018910156250000004,0.01620870535714286,0.8571428571428571,0.8571428571428571
0:1:2:3,4,64,0.009455078125000002,0.005402901785714287,0.5714285714285714,0.5714285714285714
0:1:2:3,8,128,0.004727539062500001,0.0,0.0,0.0
