panel,dataset,method,pairwise_ranking_agreement,exact_full_ranking_recovery,exact_top_two_set_recovery
confirmation,compustat_kor_direction,strength2,0.999609375,0.99609375,1.0
confirmation,compustat_kor_direction,iid16,0.9982421875,0.982421875,0.998046875
confirmation,compustat_kor_direction,four_strength1,0.9994140625000001,0.994140625,0.9990234375
confirmation,compustat_kor_direction,four_seed_blocks,0.999609375,0.99609375,1.0
confirmation,credit_card_default,strength2,1.0,1.0,1.0
confirmation,credit_card_default,iid16,1.0,1.0,1.0
confirmation,credit_card_default,four_strength1,1.0,1.0,1.0
confirmation,credit_card_default,four_seed_blocks,1.0,1.0,1.0
confirmation,credit_card_fraud,strength2,1.0,1.0,1.0
confirmation,credit_card_fraud,iid16,0.99931640625,0.9931640625,1.0
confirmation,credit_card_fraud,four_strength1,0.999609375,0.99609375,1.0
confirmation,credit_card_fraud,four_seed_blocks,0.9998046875,0.998046875,1.0
confirmation,heloc_credit_risk,strength2,1.0,1.0,1.0
confirmation,heloc_credit_risk,iid16,0.96455078125,0.6455078125,0.6455078125
confirmation,heloc_credit_risk,four_strength1,0.9638671875,0.638671875,0.638671875
confirmation,heloc_credit_risk,four_seed_blocks,0.966796875,0.66796875,0.66796875
confirmation,kdd17_stock_direction,strength2,0.9296875000000002,0.5078125,0.7568359375
confirmation,kdd17_stock_direction,iid16,0.9086914062500002,0.36328125,0.6328125
confirmation,kdd17_stock_direction,four_strength1,0.9188476562500001,0.4384765625,0.6767578125
confirmation,kdd17_stock_direction,four_seed_blocks,0.8985351562500001,0.314453125,0.529296875
confirmation,kdd17_stock_return,strength2,1.0,1.0,1.0
confirmation,kdd17_stock_return,iid16,0.9486328125000001,0.5517578125,0.9404296875
confirmation,kdd17_stock_return,four_strength1,0.9656250000000002,0.66015625,0.98046875
confirmation,kdd17_stock_return,four_seed_blocks,0.96845703125,0.701171875,0.9873046875
confirmation,polish_bankruptcy_1year,strength2,1.0,1.0,1.0
confirmation,polish_bankruptcy_1year,iid16,1.0,1.0,1.0
confirmation,polish_bankruptcy_1year,four_strength1,1.0,1.0,1.0
confirmation,polish_bankruptcy_1year,four_seed_blocks,1.0,1.0,1.0
confirmation,polish_bankruptcy_2year,strength2,1.0,1.0,1.0
confirmation,polish_bankruptcy_2year,iid16,1.0,1.0,1.0
confirmation,polish_bankruptcy_2year,four_strength1,1.0,1.0,1.0
confirmation,polish_bankruptcy_2year,four_seed_blocks,1.0,1.0,1.0
confirmation,polish_bankruptcy_3year,strength2,1.0,1.0,1.0
confirmation,polish_bankruptcy_3year,iid16,0.999609375,0.99609375,1.0
confirmation,polish_bankruptcy_3year,four_strength1,0.99990234375,0.9990234375,1.0
confirmation,polish_bankruptcy_3year,four_seed_blocks,0.9951171875,0.951171875,1.0
confirmation,polish_bankruptcy_4year,strength2,1.0,1.0,1.0
confirmation,polish_bankruptcy_4year,iid16,0.99990234375,0.9990234375,1.0
confirmation,polish_bankruptcy_4year,four_strength1,1.0,1.0,1.0
confirmation,polish_bankruptcy_4year,four_seed_blocks,1.0,1.0,1.0
confirmation,polish_bankruptcy_5year,strength2,1.0,1.0,1.0
confirmation,polish_bankruptcy_5year,iid16,0.98173828125,0.8173828125,1.0
confirmation,polish_bankruptcy_5year,four_strength1,0.98828125,0.8828125,1.0
confirmation,polish_bankruptcy_5year,four_seed_blocks,0.9920898437500001,0.9208984375,1.0
menu_repeat,compustat_kor_direction,strength2,1.0,1.0,1.0
menu_repeat,compustat_kor_direction,iid16,1.0,1.0,1.0
menu_repeat,compustat_kor_direction,four_strength1,1.0,1.0,1.0
menu_repeat,compustat_kor_direction,four_seed_blocks,1.0,1.0,1.0
menu_repeat,credit_card_default,strength2,1.0,1.0,1.0
menu_repeat,credit_card_default,iid16,1.0,1.0,1.0
menu_repeat,credit_card_default,four_strength1,1.0,1.0,1.0
menu_repeat,credit_card_default,four_seed_blocks,1.0,1.0,1.0
menu_repeat,credit_card_fraud,strength2,1.0,1.0,1.0
menu_repeat,credit_card_fraud,iid16,1.0,1.0,1.0
menu_repeat,credit_card_fraud,four_strength1,1.0,1.0,1.0
menu_repeat,credit_card_fraud,four_seed_blocks,1.0,1.0,1.0
