panel,dataset,method,budget,strength,selection_agreement,validation_quotient_regret,selected_quotient_test_loss,selected_realized_test_loss,selection_entropy_bits
openml_external,openml-breast-w-15,strength1_b4,4,1,0.740234375,0.00016518314415480068,0.05874738981026069,0.05848274149845467,0.8263924914287071
openml_external,openml-breast-w-15,iid_b4,4,0,0.6796875,0.0010758162553349694,0.05907533640309416,0.05798427553989427,0.9677688146093619
openml_external,openml-breast-w-15,seed_blocks_b4,4,0,0.767578125,0.0001477954447700848,0.05901191474318705,0.05907813413300279,0.7822093433178171
openml_external,openml-breast-w-15,strength2_b16,16,2,1.0,0.0,0.061260376673061175,0.061260376673061175,-0.0
openml_external,openml-breast-w-15,iid_b16,16,0,0.859375,8.94224539785387e-05,0.059899962732297,0.05986942270617747,0.5858732928619205
openml_external,openml-breast-w-15,four_strength1_b16,16,0,0.865234375,8.56965183960996e-05,0.059956646646495505,0.05987572495370562,0.5703645563524087
openml_external,openml-breast-w-15,seed_blocks_b16,16,0,0.955078125,2.8565506132033198e-05,0.06082579999753929,0.06083051261944072,0.26442059519345
openml_external,openml-breast-w-15,strength3_b64,64,3,1.0,0.0,0.061260376673061175,0.061260376673061175,-0.0
openml_external,openml-breast-w-15,iid_b64,64,0,0.98828125,7.4518711648782255e-06,0.06114700884466416,0.06114534166485568,0.09198335195381277
openml_external,openml-breast-w-15,four_strength2_b64,64,0,1.0,0.0,0.061260376673061175,0.061260376673061175,-0.0
openml_external,openml-breast-w-15,sixteen_strength1_b64,64,0,0.978515625,1.3661763802276747e-05,0.061052535654333315,0.061021357687392384,0.14969568125818422
openml_external,openml-breast-w-15,seed_blocks_b64,64,0,1.0,0.0,0.061260376673061175,0.06126927410852358,-0.0
openml_external,openml-breast-w-15,full_quotient_b32,32,4,1.0,0.0,0.06126037667306118,0.06126037667306118,0.0
openml_external,openml-sonar-40,strength1_b4,4,1,0.55859375,0.00025745442361633825,0.5387990454788643,0.5391388818235,0.9900710003428677
openml_external,openml-sonar-40,iid_b4,4,0,0.603515625,0.00023125330970848082,0.5479301479221412,0.5468306448672574,0.9688569007596826
openml_external,openml-sonar-40,seed_blocks_b4,4,0,0.6796875,0.00018682533395167908,0.5634133216303066,0.5648766477303642,0.9047209661860875
openml_external,openml-sonar-40,strength2_b16,16,2,0.630859375,0.00021530480559065455,0.5534882102789185,0.55254395864558,0.9500099555782802
openml_external,openml-sonar-40,iid_b16,16,0,0.544921875,0.0002654286756752514,0.5360200143004756,0.5349724242661722,0.9941694966703307
openml_external,openml-sonar-40,four_strength1_b16,16,0,0.505859375,0.00028821225298643176,0.5280799252193652,0.5276927767552535,0.9999009357256291
openml_external,openml-sonar-40,seed_blocks_b16,16,0,0.5625,0.0002551760658852202,0.5395930543869754,0.5398577647492301,0.9886994082884974
openml_external,openml-sonar-40,strength3_b64,64,3,1.0,0.0,0.628522052095412,0.628522052095412,-0.0
openml_external,openml-sonar-40,iid_b64,64,0,0.52734375,0.00027568128546528255,0.5324469742139759,0.531582951308681,0.9978415729996557
openml_external,openml-sonar-40,four_strength2_b64,64,0,0.568359375,0.00025175852928854315,0.5407840677491419,0.5401858789227156,0.98647423747692
openml_external,openml-sonar-40,sixteen_strength1_b64,64,0,0.521484375,0.0002790988220619596,0.5312559608518095,0.5307360775954436,0.9986677562183464
openml_external,openml-sonar-40,seed_blocks_b64,64,0,0.53515625,0.0002711245700030465,0.534034992030198,0.5337464170565545,0.9964308234404788
openml_external,openml-sonar-40,full_quotient_b32,32,4,1.0,0.0,0.6285220520954118,0.6285220520954118,0.0
openml_external,openml-pc4-1049,strength1_b4,4,1,0.76171875,0.0006041428165490936,0.14474675353895983,0.14619938416270198,0.7921703563573823
openml_external,openml-pc4-1049,iid_b4,4,0,0.689453125,0.0007873664576336548,0.14365045829387968,0.14496949193108943,0.893803723330197
openml_external,openml-pc4-1049,seed_blocks_b4,4,0,0.875,0.000316927379173295,0.1464652704096261,0.14769051577788236,0.5435644431995964
openml_external,openml-pc4-1049,strength2_b16,16,2,1.0,0.0,0.1483615648876026,0.14853061017747765,-0.0
openml_external,openml-pc4-1049,iid_b16,16,0,0.935546875,0.00016341567988623025,0.14738378804739594,0.14774287055872362,0.3448741991280092
openml_external,openml-pc4-1049,four_strength1_b16,16,0,0.978515625,5.447189329541008e-05,0.14803563927420038,0.1484193412468428,0.14969568125818422
openml_external,openml-pc4-1049,seed_blocks_b16,16,0,0.962890625,9.408781569207196e-05,0.1477986024644533,0.14812770048534624,0.22887805841847947
openml_external,openml-pc4-1049,strength3_b64,64,3,1.0,0.0,0.1483615648876026,0.1483615648876026,-0.0
openml_external,openml-pc4-1049,iid_b64,64,0,0.998046875,4.951990299582735e-06,0.14833193528638422,0.1484375271023478,0.020393135236084953
openml_external,openml-pc4-1049,four_strength2_b64,64,0,1.0,0.0,0.1483615648876026,0.14841633004631422,-0.0
openml_external,openml-pc4-1049,sixteen_strength1_b64,64,0,1.0,0.0,0.1483615648876026,0.14852662846067652,-0.0
openml_external,openml-pc4-1049,seed_blocks_b64,64,0,1.0,0.0,0.1483615648876026,0.14840538433235295,-0.0
openml_external,openml-pc4-1049,full_quotient_b32,32,4,1.0,0.0,0.1483615648876026,0.1483615648876026,0.0
openml_external,openml-kc1-1067,strength1_b4,4,1,1.0,0.0,0.23313242991755345,0.23328435005795364,-0.0
openml_external,openml-kc1-1067,iid_b4,4,0,1.0,0.0,0.23313242991755345,0.23331154267470036,-0.0
openml_external,openml-kc1-1067,seed_blocks_b4,4,0,1.0,0.0,0.23313242991755345,0.23323372570294335,-0.0
openml_external,openml-kc1-1067,strength2_b16,16,2,1.0,0.0,0.23313242991755345,0.23313242991755345,-0.0
openml_external,openml-kc1-1067,iid_b16,16,0,1.0,0.0,0.23313242991755345,0.23315747398324785,-0.0
openml_external,openml-kc1-1067,four_strength1_b16,16,0,1.0,0.0,0.23313242991755345,0.23316577964920085,-0.0
openml_external,openml-kc1-1067,seed_blocks_b16,16,0,1.0,0.0,0.23313242991755345,0.23315384954495924,-0.0
openml_external,openml-kc1-1067,strength3_b64,64,3,1.0,0.0,0.23313242991755345,0.23313242991755345,-0.0
openml_external,openml-kc1-1067,iid_b64,64,0,1.0,0.0,0.23313242991755345,0.2331286239399452,-0.0
openml_external,openml-kc1-1067,four_strength2_b64,64,0,1.0,0.0,0.23313242991755345,0.23313242991755345,-0.0
openml_external,openml-kc1-1067,sixteen_strength1_b64,64,0,1.0,0.0,0.23313242991755345,0.23315483789125319,-0.0
openml_external,openml-kc1-1067,seed_blocks_b64,64,0,1.0,0.0,0.23313242991755345,0.23314349971936532,-0.0
openml_external,openml-kc1-1067,full_quotient_b32,32,4,1.0,0.0,0.23313242991755345,0.23313242991755345,0.0
openml_external,openml-blood-transfusion-1464,strength1_b4,4,1,1.0,0.0,0.3191275535340467,0.3191275535340467,-0.0
openml_external,openml-blood-transfusion-1464,iid_b4,4,0,1.0,0.0,0.3191275535340467,0.3191275535340467,-0.0
openml_external,openml-blood-transfusion-1464,seed_blocks_b4,4,0,1.0,0.0,0.3191275535340467,0.3191275535340467,-0.0
openml_external,openml-blood-transfusion-1464,strength2_b16,16,2,1.0,0.0,0.3191275535340467,0.3191275535340467,-0.0
openml_external,openml-blood-transfusion-1464,iid_b16,16,0,1.0,0.0,0.3191275535340467,0.3191275535340467,-0.0
openml_external,openml-blood-transfusion-1464,four_strength1_b16,16,0,1.0,0.0,0.3191275535340467,0.3191275535340467,-0.0
openml_external,openml-blood-transfusion-1464,seed_blocks_b16,16,0,1.0,0.0,0.3191275535340467,0.3191275535340467,-0.0
openml_external,openml-blood-transfusion-1464,strength3_b64,64,3,1.0,0.0,0.3191275535340467,0.3191275535340467,-0.0
openml_external,openml-blood-transfusion-1464,iid_b64,64,0,1.0,0.0,0.3191275535340467,0.3191275535340467,-0.0
openml_external,openml-blood-transfusion-1464,four_strength2_b64,64,0,1.0,0.0,0.3191275535340467,0.3191275535340467,-0.0
openml_external,openml-blood-transfusion-1464,sixteen_strength1_b64,64,0,1.0,0.0,0.3191275535340467,0.3191275535340467,-0.0
openml_external,openml-blood-transfusion-1464,seed_blocks_b64,64,0,1.0,0.0,0.3191275535340467,0.3191275535340467,-0.0
openml_external,openml-blood-transfusion-1464,full_quotient_b32,32,4,1.0,0.0,0.3191275535340467,0.3191275535340467,0.0
openml_external,openml-ilpd-1480,strength1_b4,4,1,0.79296875,0.0002717899217370219,0.35187442584185213,0.3523037809750004,0.7357696278107799
openml_external,openml-ilpd-1480,iid_b4,4,0,0.802734375,0.0002589696424098039,0.35142477732899413,0.35145269157066833,0.7164255202126896
openml_external,openml-ilpd-1480,seed_blocks_b4,4,0,0.744140625,0.000335891318373112,0.3541226684061418,0.3542155902111585,0.8204336100852311
openml_external,openml-ilpd-1480,strength2_b16,16,2,1.0,0.0,0.34234187736926364,0.34234187736926364,-0.0
openml_external,openml-ilpd-1480,iid_b16,16,0,0.9140625,0.00011281845807951853,0.34629878428241356,0.34628565239212744,0.4227623437791516
openml_external,openml-ilpd-1480,four_strength1_b16,16,0,0.955078125,5.897328490520287e-05,0.3444102605284102,0.3444654713965848,0.26442059519345
openml_external,openml-ilpd-1480,seed_blocks_b16,16,0,0.869140625,0.0001717917429847214,0.3483671674415601,0.3482838569742358,0.5597903227234492
openml_external,openml-ilpd-1480,strength3_b64,64,3,1.0,0.0,0.34234187736926364,0.34234187736926364,-0.0
openml_external,openml-ilpd-1480,iid_b64,64,0,0.99609375,5.128111730887206e-06,0.3425217367744068,0.3425217349936931,0.03687450625387197
openml_external,openml-ilpd-1480,four_strength2_b64,64,0,1.0,0.0,0.34234187736926364,0.34234187736926364,-0.0
openml_external,openml-ilpd-1480,sixteen_strength1_b64,64,0,1.0,0.0,0.34234187736926364,0.3423418773710011,-0.0
openml_external,openml-ilpd-1480,seed_blocks_b64,64,0,0.99609375,5.128111730887206e-06,0.3425217367744068,0.34251907473357834,0.03687450625387197
openml_external,openml-ilpd-1480,full_quotient_b64,64,4,1.0,0.0,0.3423418773692635,0.3423418773692635,0.0
openml_external,openml-wdbc-1510,strength1_b4,4,1,0.984375,0.0006143344607516685,0.08321649993375566,0.08259410361453842,0.11611507530476972
openml_external,openml-wdbc-1510,iid_b4,4,0,0.970703125,0.0011518771139093784,0.08353599697022862,0.08223709871511045,0.1908533718933906
openml_external,openml-wdbc-1510,seed_blocks_b4,4,0,1.0,0.0,0.08285136046350086,0.08288414038616274,-0.0
openml_external,openml-wdbc-1510,strength2_b16,16,2,1.0,0.0,0.08285136046350086,0.08285136046350086,-0.0
openml_external,openml-wdbc-1510,iid_b16,16,0,1.0,0.0,0.08285136046350086,0.08285058228297887,-0.0
openml_external,openml-wdbc-1510,four_strength1_b16,16,0,1.0,0.0,0.08285136046350086,0.08285136046350086,-0.0
openml_external,openml-wdbc-1510,seed_blocks_b16,16,0,1.0,0.0,0.08285136046350086,0.08286296275372289,-0.0
openml_external,openml-wdbc-1510,strength3_b64,64,3,1.0,0.0,0.08285136046350086,0.08285136046350086,-0.0
openml_external,openml-wdbc-1510,iid_b64,64,0,1.0,0.0,0.08285136046350086,0.08285116248695709,-0.0
openml_external,openml-wdbc-1510,four_strength2_b64,64,0,1.0,0.0,0.08285136046350086,0.08285136046350086,-0.0
openml_external,openml-wdbc-1510,sixteen_strength1_b64,64,0,1.0,0.0,0.08285136046350086,0.08285136046350086,-0.0
openml_external,openml-wdbc-1510,seed_blocks_b64,64,0,1.0,0.0,0.08285136046350086,0.0828527742031529,-0.0
openml_external,openml-wdbc-1510,full_quotient_b32,32,4,1.0,0.0,0.08285136046350088,0.08285136046350088,0.0
openml_external,openml-mammography-310,strength1_b4,4,1,1.0,0.0,0.022872225217038744,0.022872225217038744,-0.0
openml_external,openml-mammography-310,iid_b4,4,0,1.0,0.0,0.022872225217038744,0.022872225217038744,-0.0
openml_external,openml-mammography-310,seed_blocks_b4,4,0,1.0,0.0,0.022872225217038744,0.022872225217038744,-0.0
openml_external,openml-mammography-310,strength2_b16,16,2,1.0,0.0,0.022872225217038744,0.022872225217038744,-0.0
openml_external,openml-mammography-310,iid_b16,16,0,1.0,0.0,0.022872225217038744,0.022872225217038744,-0.0
openml_external,openml-mammography-310,four_strength1_b16,16,0,1.0,0.0,0.022872225217038744,0.022872225217038744,-0.0
openml_external,openml-mammography-310,seed_blocks_b16,16,0,1.0,0.0,0.022872225217038744,0.022872225217038744,-0.0
openml_external,openml-mammography-310,strength3_b64,64,3,1.0,0.0,0.022872225217038744,0.022872225217038744,-0.0
openml_external,openml-mammography-310,iid_b64,64,0,1.0,0.0,0.022872225217038744,0.022872225217038744,-0.0
openml_external,openml-mammography-310,four_strength2_b64,64,0,1.0,0.0,0.022872225217038744,0.022872225217038744,-0.0
openml_external,openml-mammography-310,sixteen_strength1_b64,64,0,1.0,0.0,0.022872225217038744,0.022872225217038744,-0.0
openml_external,openml-mammography-310,seed_blocks_b64,64,0,1.0,0.0,0.022872225217038744,0.022872225217038744,-0.0
openml_external,openml-mammography-310,full_quotient_b32,32,4,1.0,0.0,0.022872225217038744,0.022872225217038744,0.0
