dataset,method,selected_realized_test_loss,selected_quotient_test_loss,validation_quotient_regret,selection_agreement
openml-blood-transfusion-1464,four_seed_blocks,0.3191275535340467,0.3191275535340467,0.0,1.0
openml-blood-transfusion-1464,four_strength1,0.3191275535340467,0.3191275535340467,0.0,1.0
openml-blood-transfusion-1464,iid16,0.3191275535340467,0.3191275535340467,0.0,1.0
openml-blood-transfusion-1464,lhs16,0.3191275535340467,0.3191275535340467,0.0,1.0
openml-blood-transfusion-1464,sobol16,0.3191275535340467,0.3191275535340467,0.0,1.0
openml-blood-transfusion-1464,srswor16,0.3191275535340467,0.3191275535340467,0.0,1.0
openml-blood-transfusion-1464,strength2,0.3191275535340467,0.3191275535340467,0.0,1.0
openml-breast-w-15,four_seed_blocks,0.060917710032963084,0.06091082586883705,2.297660275837453e-05,0.9638671875
openml-breast-w-15,four_strength1,0.05980338418678737,0.05988106809423084,9.066443250601841e-05,0.857421875
openml-breast-w-15,iid16,0.059891506668919875,0.059937752008429344,8.69384969235793e-05,0.86328125
openml-breast-w-15,lhs16,0.059997127388932585,0.060060567155859446,7.886563649496121e-05,0.8759765625
openml-breast-w-15,sobol16,0.05864978193705451,0.05889854691479005,0.00015524731593496305,0.755859375
openml-breast-w-15,srswor16,0.060514109346026995,0.060542380426546756,4.719518404422876e-05,0.92578125
openml-breast-w-15,strength2,0.06126037667306118,0.06126037667306118,0.0,1.0
openml-ilpd-1480,four_seed_blocks,0.3481216266042956,0.34818730803641684,0.0001666636312538342,0.873046875
openml-ilpd-1480,four_strength1,0.3443773955445074,0.3443203308258385,5.640922903975927e-05,0.95703125
openml-ilpd-1480,iid16,0.3471759691618348,0.34715311645684355,0.00013717698880123276,0.8955078125
openml-ilpd-1480,lhs16,0.3434443919044965,0.3434210338001226,3.0768670385323237e-05,0.9765625
openml-ilpd-1480,sobol16,0.3423418773692635,0.3423418773692635,0.0,1.0
openml-ilpd-1480,srswor16,0.34607454973425866,0.3460739600259845,0.00010640831841590953,0.9189453125
openml-ilpd-1480,strength2,0.3423418773692635,0.3423418773692635,0.0,1.0
openml-kc1-1067,four_seed_blocks,0.2331648742656342,0.23313242991755345,0.0,1.0
openml-kc1-1067,four_strength1,0.23316998772859907,0.23313242991755345,0.0,1.0
openml-kc1-1067,iid16,0.2332217445437675,0.23313242991755345,0.0,1.0
openml-kc1-1067,lhs16,0.23317770219707762,0.23313242991755345,0.0,1.0
openml-kc1-1067,sobol16,0.23316718778765308,0.23313242991755345,0.0,1.0
openml-kc1-1067,srswor16,0.23316779859185194,0.23313242991755345,0.0,1.0
openml-kc1-1067,strength2,0.23313242991755345,0.23313242991755345,0.0,1.0
openml-mammography-310,four_seed_blocks,0.022872225217038744,0.022872225217038744,0.0,1.0
openml-mammography-310,four_strength1,0.022872225217038744,0.022872225217038744,0.0,1.0
openml-mammography-310,iid16,0.022872225217038744,0.022872225217038744,0.0,1.0
openml-mammography-310,lhs16,0.022872225217038744,0.022872225217038744,0.0,1.0
openml-mammography-310,sobol16,0.022872225217038744,0.022872225217038744,0.0,1.0
openml-mammography-310,srswor16,0.022872225217038744,0.022872225217038744,0.0,1.0
openml-mammography-310,strength2,0.022872225217038744,0.022872225217038744,0.0,1.0
openml-pc4-1049,four_seed_blocks,0.14810251320104578,0.1478282320656717,8.913582539248923e-05,0.96484375
openml-pc4-1049,four_strength1,0.14841146242816197,0.1480208244735912,5.694788844520145e-05,0.9775390625
openml-pc4-1049,iid16,0.1478796942412342,0.14753193605348788,0.00013865572838831657,0.9453125
openml-pc4-1049,lhs16,0.14862257838398268,0.14827267608394745,1.4855970898748204e-05,0.994140625
openml-pc4-1049,sobol16,0.1487808574838366,0.1483615648876026,0.0,1.0
openml-pc4-1049,srswor16,0.1485302799966858,0.14825786128333826,1.7331966048539572e-05,0.9931640625
openml-pc4-1049,strength2,0.1485374197584949,0.1483615648876026,0.0,1.0
openml-sonar-40,four_seed_blocks,0.5373200454218879,0.53740952988967,0.0002614415496457948,0.5517578125
openml-sonar-40,four_strength1,0.5336834043723774,0.5344319964842535,0.00026998539113748745,0.537109375
openml-sonar-40,iid16,0.5332378541670951,0.5342334942572258,0.00027055498057026696,0.5361328125
openml-sonar-40,lhs16,0.5305214089809176,0.5312559608518094,0.0002790988220619596,0.521484375
openml-sonar-40,sobol16,0.5400454841517655,0.5399900588410308,0.0002540368870196612,0.564453125
openml-sonar-40,srswor16,0.530441572982433,0.5316529653058649,0.0002779596431964006,0.5234375
openml-sonar-40,strength2,0.5595842242891408,0.5602372859978624,0.00019593876487615123,0.6640625
openml-wdbc-1510,four_seed_blocks,0.08285623023548215,0.08285136046350088,0.0,1.0
openml-wdbc-1510,four_strength1,0.08285136046350088,0.08285136046350088,0.0,1.0
openml-wdbc-1510,iid16,0.08285320015169477,0.08285136046350088,0.0,1.0
openml-wdbc-1510,lhs16,0.08285136046350088,0.08285136046350088,0.0,1.0
openml-wdbc-1510,sobol16,0.08285136046350088,0.08285136046350088,0.0,1.0
openml-wdbc-1510,srswor16,0.08285406637451037,0.08285136046350088,0.0,1.0
openml-wdbc-1510,strength2,0.08285136046350088,0.08285136046350088,0.0,1.0
