panel,dataset,model,optimized_risk,graph_operator_risk,graph_lower99_operator_risk,optimized_beats_graph,optimized_beats_graph_lower99,energy_feature:category:class,energy_feature:category:seed,energy_feature:class:seed,energy_category:class:seed,energy_feature:category:class:seed
confirmation,compustat_kor_direction,onehot_linear,4.206616632200191e-15,4.199734801301467e-15,4.1623136957447475e-15,False,False,2.8062594840487046e-13,-1.4247862149356176e-18,-1.8503717077085942e-20,-6.337523098901935e-19,-7.216449660063517e-19
confirmation,compustat_kor_direction,ordinal_forest,1.312363125991011e-05,1.3102161604126271e-05,1.2992807012520095e-05,False,False,0.0,0.0008942905695285054,0.0,0.0,0.0
confirmation,compustat_kor_direction,native_histgb,2.1586631569935416e-06,2.1551316835761566e-06,2.1358817136161832e-06,False,False,7.695738449567391e-09,2.3087215352217878e-08,9.978636697433966e-09,0.0001440940913204951,2.3087215352735984e-08
confirmation,compustat_kor_direction,catboost_native,3.394553888363788e-06,3.389000554680488e-06,3.3588745101781024e-06,False,False,2.590520390792032e-19,2.0909200297107115e-18,0.00022738686376620162,2.715420481062362e-18,-4.625929269271486e-19
confirmation,compustat_kor_direction,onehot_adam_mlp,1.770296683196444e-05,1.7674005594277422e-05,1.751560306366853e-05,False,False,0.00013544987075629283,0.00038687963773634195,0.00025919370774304647,0.00020423936130970798,0.00041462629823558393
confirmation,kdd17_stock_direction,onehot_linear,2.6788056941430287e-15,2.6744232915117742e-15,2.6505932491772368e-15,False,False,1.7870147953994813e-13,2.016905161402368e-18,-2.220446049250313e-19,-7.679042586990666e-19,1.5358085173981332e-18
confirmation,kdd17_stock_direction,ordinal_forest,1.7743530545262866e-05,1.771450294721075e-05,1.7566652363938403e-05,False,False,0.0,0.0012091068182662613,0.0,0.0,0.0
confirmation,kdd17_stock_direction,native_histgb,6.269817167288017e-16,6.259560035420825e-16,6.203916627598393e-16,False,False,-3.0716170347962663e-18,2.923587298179579e-18,4.20253091585702e-14,-2.7852720130283616e-17,3.4416913763379853e-18
confirmation,kdd17_stock_direction,catboost_native,3.5138509326500807e-06,3.5081024345015397e-06,3.476917650564352e-06,False,False,-1.8503717077085944e-19,-1.6653345369377348e-19,0.0002353780701659182,-5.583496628010683e-18,-3.885780586188048e-19
confirmation,kdd17_stock_direction,onehot_adam_mlp,9.98344603800929e-05,9.967113580495996e-05,9.877946922836842e-05,False,False,0.0007377777801189585,0.0024040487225712747,0.0015453160623834434,0.0008605757756015603,0.0023709688907690408
menu_repeat,compustat_kor_direction,onehot_linear,4.910737477671411e-15,4.902703737527211e-15,4.859018969618225e-15,False,False,3.2759441455828173e-13,-2.0354088784794536e-19,1.8318679906315084e-18,1.0685896612017132e-18,-3.3121653567983837e-18
menu_repeat,compustat_kor_direction,ordinal_forest,1.3136010681962721e-05,1.3114520774015056e-05,1.3005063029050173e-05,False,False,0.0,0.0008951341470550762,0.0,0.0,0.0
menu_repeat,compustat_kor_direction,native_histgb,1.903332739369847e-06,1.90021897474578e-06,1.8832459360169163e-06,False,False,5.306909748065136e-09,1.5920562197124787e-08,1.8987569486622615e-08,0.00012704825320908157,1.5920773639682694e-08
menu_repeat,compustat_kor_direction,catboost_native,3.682217706410859e-06,3.6761937679816138e-06,3.6435147597410723e-06,False,False,-2.4424906541753442e-18,-1.0917193075480705e-18,0.0002466562510129357,-6.744604874597826e-18,-8.326672684688674e-19
menu_repeat,compustat_kor_direction,onehot_adam_mlp,1.0233427543064691e-05,1.0216686127332474e-05,1.0125044495248537e-05,False,False,8.012097305390791e-05,0.00019054513924866186,0.00022635189481889288,8.043130087367156e-05,0.00022339832778362894
subsample_repeat,compustat_kor_direction,onehot_linear,3.5161668831604658e-15,3.5104145962236484e-15,3.4791356123713123e-15,False,False,2.3455598574528837e-13,1.0547118733938987e-18,6.106226635438361e-19,7.359853467410933e-18,-2.7570538444858053e-18
subsample_repeat,compustat_kor_direction,ordinal_forest,1.3138821332665625e-05,1.311732682662297e-05,1.300784566149688e-05,False,False,0.0,0.0008953256747175094,0.0,0.0,0.0
subsample_repeat,compustat_kor_direction,native_histgb,1.2973230867176937e-06,1.2952007259502618e-06,1.2836317959643378e-06,False,False,7.256390426526223e-09,2.177534523211307e-08,2.5237695138763395e-08,8.6564857199247e-05,2.1773555418778493e-08
subsample_repeat,compustat_kor_direction,catboost_native,3.5287369196950142e-06,3.522964068757864e-06,3.4916471744100232e-06,False,False,8.511709855459533e-19,2.220446049250313e-19,0.00023637521972355647,6.934267974637957e-18,1.4802973661668755e-18
subsample_repeat,compustat_kor_direction,onehot_adam_mlp,1.2618330912153077e-05,1.2597687904445438e-05,1.2484614003634063e-05,False,False,9.202008569168072e-05,0.00025620752974735053,0.00023279037239432875,0.00011991689027578808,0.00029849381656420253
openml_taskbalanced,openml-credit-g-31,onehot_linear,1.7734225479554887e-17,1.7705213104161334e-17,1.7547426210469127e-17,False,False,1.1910611386056758e-15,-1.5092094240998222e-18,-6.765421556309548e-19,-6.696032617270475e-18,1.6826817716975028e-18
openml_taskbalanced,openml-credit-g-31,ordinal_forest,8.880733770634888e-06,8.866205299559518e-06,8.79220527659197e-06,False,False,0.0,0.0006051645542520755,0.0,0.0,0.0
openml_taskbalanced,openml-credit-g-31,onehot_adam_mlp,0.00014883916828027074,0.0001485956742619732,0.00014726391444607915,False,False,0.0007761737790198309,0.004061737857380264,0.0012287859141541263,0.0019226412514626245,0.00411794889341547
