control,batch,cells_strength2_lower,strength2_mean,control_mean,pooled_reduction
lhs16,0,23,9.981490425176806e-05,0.00015879830322888239,0.3714359522601396
lhs16,1,23,9.981490425176806e-05,0.00015894719964818264,0.3720247700324344
lhs16,2,23,9.981490425176806e-05,0.00015969818434938182,0.37497783923831796
lhs16,3,23,9.981490425176806e-05,0.0001600659139634892,0.3764137424377829
lhs16,4,23,9.981490425176806e-05,0.00015945029145880718,0.37400613483635736
lhs16,5,23,9.981490425176806e-05,0.00015859321234059346,0.37062310058133885
lhs16,6,23,9.981490425176806e-05,0.00016006594030337152,0.3764138450529214
lhs16,7,23,9.981490425176806e-05,0.0001586309995439201,0.3707730233135652
lhs16,8,23,9.981490425176806e-05,0.00016121327134587681,0.3808518156199494
lhs16,9,23,9.981490425176806e-05,0.00016059065672094982,0.37845136018584613
lhs16,10,23,9.981490425176806e-05,0.00015820411593485086,0.36907517442294446
lhs16,11,23,9.981490425176806e-05,0.00015986163686561455,0.3756169009099033
lhs16,12,23,9.981490425176806e-05,0.00015923025653416626,0.3731410950132418
lhs16,13,23,9.981490425176806e-05,0.0001610357072848155,0.38016911941628817
lhs16,14,23,9.981490425176806e-05,0.0001594074167430698,0.3738377655749353
lhs16,15,23,9.981490425176806e-05,0.00016106683549649183,0.380288909606459
sobol16,0,19,9.981490425176806e-05,0.00014011940576309206,0.28764396545806903
sobol16,1,19,9.981490425176806e-05,0.00014072625665284335,0.29071584346906376
sobol16,2,19,9.981490425176806e-05,0.00014045002734435042,0.2893208628073428
sobol16,3,19,9.981490425176806e-05,0.0001407412754225813,0.29079153253322587
sobol16,4,19,9.981490425176806e-05,0.0001398791953443218,0.2864206574389627
sobol16,5,19,9.981490425176806e-05,0.00013991018701351089,0.28657872323386213
sobol16,6,19,9.981490425176806e-05,0.0001405096678104418,0.28962251632089875
sobol16,7,19,9.981490425176806e-05,0.00013995475396489136,0.2868059038794256
sobol16,8,19,9.981490425176806e-05,0.0001400115909827874,0.2870954215209296
sobol16,9,19,9.981490425176806e-05,0.0001399621787421167,0.28684373772375205
sobol16,10,19,9.981490425176806e-05,0.00013983628727075805,0.28620169914479054
sobol16,11,19,9.981490425176806e-05,0.00014033402266978688,0.28873339228194417
sobol16,12,19,9.981490425176806e-05,0.0001403179540282445,0.2886519409221404
sobol16,13,19,9.981490425176806e-05,0.00014024919671962223,0.288303201826446
sobol16,14,19,9.981490425176806e-05,0.00014054926653101708,0.28982265994436596
sobol16,15,19,9.981490425176806e-05,0.00013967970182136893,0.2854015082347645
