dataset,seed,optimizer,chart_risk,mean_member_mse,quotient_mse,raw_adam_mean_member_mse,raw_adam_quotient_mse,mse_change_vs_raw_adam_member,mse_change_vs_raw_adam_quotient,max_training_curve_range,identity_error
black-friday,31,sgd,9.238040691306181e-14,0.5020795656443786,0.5020795656442862,0.49734980619699387,0.491029870319,0.00472975944738474,0.011049695325286268,5.8288574189546694e-08,9.851264248788784e-18
black-friday,31,field_vector_adam,1.4260065280125026e-07,0.494713149731404,0.4947130071307513,0.49734980619699387,0.491029870319,-0.0026366564655898594,0.0036831368117513086,2.7599430084235266e-05,7.072124245576449e-17
black-friday,47,sgd,0.0020239895045343855,0.5070405382945437,0.5050165487900092,0.49734980619699387,0.491029870319,0.009690732097549781,0.013986678471009262,0.004461699132919272,3.252606517456513e-17
black-friday,47,field_vector_adam,8.048976973909624e-06,0.49787514075681044,0.4978670917798366,0.49734980619699387,0.491029870319,0.0005253345598165704,0.006837221460836651,7.392995834348826e-05,9.172350379227368e-17
black-friday,59,sgd,0.0006552918311019618,0.5034856190340475,0.5028303272029455,0.49734980619699387,0.491029870319,0.006135812837053667,0.011800456883945543,0.003253707122802818,6.10405823109339e-17
black-friday,59,field_vector_adam,2.064468552788261e-06,0.4940805187042927,0.49407845423573993,0.49734980619699387,0.491029870319,-0.0032692874927011673,0.0030485839167399553,0.00013671159744260697,1.2283248284608236e-17
diamond,31,sgd,5.187369917291743e-15,0.02727972943137243,0.027279729431367247,0.0227592850184861,0.021608804115362458,0.004520444412886331,0.005670925316004789,3.6583298196335434e-09,4.016171073043622e-18
diamond,31,field_vector_adam,3.6821818235396944e-13,0.02357718934484515,0.02357718934447694,0.0227592850184861,0.021608804115362458,0.0008179043263590521,0.0019683852291144804,2.374382906261685e-08,5.7773431323689986e-18
diamond,47,sgd,5.39475356818562e-15,0.025888993339629345,0.025888993339623953,0.0227592850184861,0.021608804115362458,0.003129708321143246,0.004280189224261495,5.359428095763619e-09,3.23300484970317e-18
diamond,47,field_vector_adam,5.487450016306301e-13,0.02250102274141245,0.022501022740863706,0.0227592850184861,0.021608804115362458,-0.00025826227707364743,0.0008922186255012482,2.502832634199148e-08,7.552511331968205e-20
diamond,59,sgd,5.600640455669212e-15,0.02617104380290771,0.026171043802902114,0.0227592850184861,0.021608804115362458,0.003411758784421612,0.004562239687539656,4.609319675941137e-09,4.422522168032461e-18
diamond,59,field_vector_adam,5.814358261841406e-13,0.022632373675636273,0.02263237367505484,0.0227592850184861,0.021608804115362458,-0.0001269113428498253,0.0010235695596923812,3.547788379396066e-08,1.61984709021737e-18
