panel,dataset,metric,cover_minus_iid,favorable
openml_external,openml-blood-transfusion-1464,validation_agreement,0.0009765625,True
openml_external,openml-breast-w-15,validation_agreement,0.01171875,True
openml_external,openml-ilpd-1480,validation_agreement,0.0009765625,True
openml_external,openml-kc1-1067,validation_agreement,0.0087890625,True
openml_external,openml-mammography-310,validation_agreement,0.0078125,True
openml_external,openml-pc4-1049,validation_agreement,0.0107421875,True
openml_external,openml-sonar-40,validation_agreement,0.0224609375,True
openml_external,openml-wdbc-1510,validation_agreement,0.0,False
openml_external,openml-blood-transfusion-1464,test_agreement,0.0009765625,True
openml_external,openml-breast-w-15,test_agreement,0.00390625,True
openml_external,openml-ilpd-1480,test_agreement,0.0009765625,True
openml_external,openml-kc1-1067,test_agreement,-0.00390625,False
openml_external,openml-mammography-310,test_agreement,-0.001953125,False
openml_external,openml-pc4-1049,test_agreement,-0.0068359375,False
openml_external,openml-sonar-40,test_agreement,0.017578125,True
openml_external,openml-wdbc-1510,test_agreement,0.0,False
openml_external,openml-blood-transfusion-1464,validation_quotient_regret,-2.712068219355387e-07,True
openml_external,openml-breast-w-15,validation_quotient_regret,-2.2863513012176266e-06,True
openml_external,openml-ilpd-1480,validation_quotient_regret,-2.1316057517879738e-07,True
openml_external,openml-kc1-1067,validation_quotient_regret,-1.0520763621698454e-06,True
openml_external,openml-mammography-310,validation_quotient_regret,-1.3116499569955337e-07,True
openml_external,openml-pc4-1049,validation_quotient_regret,-9.382148265160917e-06,True
openml_external,openml-sonar-40,validation_quotient_regret,-0.0001775418783087991,True
openml_external,openml-wdbc-1510,validation_quotient_regret,0.0,False
openml_external,openml-blood-transfusion-1464,test_quotient_regret,-3.898798672080043e-05,True
openml_external,openml-breast-w-15,test_quotient_regret,-3.301896777609982e-05,True
openml_external,openml-ilpd-1480,test_quotient_regret,-4.603371864329983e-05,True
openml_external,openml-kc1-1067,test_quotient_regret,7.32416579099001e-05,False
openml_external,openml-mammography-310,test_quotient_regret,3.307000018900057e-06,False
openml_external,openml-pc4-1049,test_quotient_regret,0.0001225504763620001,False
openml_external,openml-sonar-40,test_quotient_regret,-0.0009825849616942987,True
openml_external,openml-wdbc-1510,test_quotient_regret,0.0,False
openml_external,openml-blood-transfusion-1464,selected_test_quotient_loss,-3.898798672075099e-05,True
openml_external,openml-breast-w-15,selected_test_quotient_loss,-3.301896777620217e-05,True
openml_external,openml-ilpd-1480,selected_test_quotient_loss,-4.6033718643312405e-05,True
openml_external,openml-kc1-1067,selected_test_quotient_loss,7.32416579098949e-05,False
openml_external,openml-mammography-310,selected_test_quotient_loss,3.307000018899081e-06,False
openml_external,openml-pc4-1049,selected_test_quotient_loss,0.00012255047636200445,False
openml_external,openml-sonar-40,selected_test_quotient_loss,-0.0009825849616943994,True
openml_external,openml-wdbc-1510,selected_test_quotient_loss,0.0,False
openml_taskbalanced,openml-abalone-183,validation_agreement,0.0,False
openml_taskbalanced,openml-banknote-1462,validation_agreement,0.005859375,True
openml_taskbalanced,openml-credit-g-31,validation_agreement,0.0234375,True
openml_taskbalanced,openml-kin8nm-189,validation_agreement,0.0,False
openml_taskbalanced,openml-pol-201,validation_agreement,0.0,False
openml_taskbalanced,openml-puma32h-308,validation_agreement,0.0,False
openml_taskbalanced,openml-qsar-biodeg-1494,validation_agreement,0.0390625,True
openml_taskbalanced,openml-spambase-44,validation_agreement,0.0888671875,True
openml_taskbalanced,openml-abalone-183,test_agreement,0.0,False
openml_taskbalanced,openml-banknote-1462,test_agreement,0.0,False
openml_taskbalanced,openml-credit-g-31,test_agreement,0.0146484375,True
openml_taskbalanced,openml-kin8nm-189,test_agreement,0.0,False
openml_taskbalanced,openml-pol-201,test_agreement,0.0,False
openml_taskbalanced,openml-puma32h-308,test_agreement,0.0,False
openml_taskbalanced,openml-qsar-biodeg-1494,test_agreement,0.015625,True
openml_taskbalanced,openml-spambase-44,test_agreement,0.0009765625,True
openml_taskbalanced,openml-abalone-183,validation_quotient_regret,0.0,False
openml_taskbalanced,openml-banknote-1462,validation_quotient_regret,-5.41920536866301e-07,True
openml_taskbalanced,openml-credit-g-31,validation_quotient_regret,-5.3891699221091905e-05,True
openml_taskbalanced,openml-kin8nm-189,validation_quotient_regret,0.0,False
openml_taskbalanced,openml-pol-201,validation_quotient_regret,0.0,False
openml_taskbalanced,openml-puma32h-308,validation_quotient_regret,0.0,False
openml_taskbalanced,openml-qsar-biodeg-1494,validation_quotient_regret,-0.00021013737397490004,True
openml_taskbalanced,openml-spambase-44,validation_quotient_regret,-0.00012509470947899044,True
openml_taskbalanced,openml-abalone-183,test_quotient_regret,0.0,False
openml_taskbalanced,openml-banknote-1462,test_quotient_regret,5.419205368999147e-07,False
openml_taskbalanced,openml-credit-g-31,test_quotient_regret,-0.00017291983881280015,True
openml_taskbalanced,openml-kin8nm-189,test_quotient_regret,0.0,False
openml_taskbalanced,openml-pol-201,test_quotient_regret,0.0,False
openml_taskbalanced,openml-puma32h-308,test_quotient_regret,0.0,False
openml_taskbalanced,openml-qsar-biodeg-1494,test_quotient_regret,0.00010497928615669973,False
openml_taskbalanced,openml-spambase-44,test_quotient_regret,0.00011946579458069987,False
openml_taskbalanced,openml-abalone-183,selected_test_quotient_loss,0.0,False
openml_taskbalanced,openml-banknote-1462,selected_test_quotient_loss,5.419205369033842e-07,False
openml_taskbalanced,openml-credit-g-31,selected_test_quotient_loss,-0.0001729198388127906,True
openml_taskbalanced,openml-kin8nm-189,selected_test_quotient_loss,0.0,False
openml_taskbalanced,openml-pol-201,selected_test_quotient_loss,0.0,False
openml_taskbalanced,openml-puma32h-308,selected_test_quotient_loss,0.0,False
openml_taskbalanced,openml-qsar-biodeg-1494,selected_test_quotient_loss,0.00010497928615668672,False
openml_taskbalanced,openml-spambase-44,selected_test_quotient_loss,0.00011946579458080309,False
