dataset,model,rows,strength2_mean,strength2_median,strength2_p95,strength2_p99,strength2_max,iid16_mean,iid16_median,iid16_p95,iid16_p99,iid16_max,fraction_rows_strength2_lower_than_iid16,p95_reduction_vs_iid16,p99_reduction_vs_iid16,max_reduction_vs_iid16,four_strength1_mean,four_strength1_median,four_strength1_p95,four_strength1_p99,four_strength1_max,fraction_rows_strength2_lower_than_four_strength1,p95_reduction_vs_four_strength1,p99_reduction_vs_four_strength1,max_reduction_vs_four_strength1,four_seed_blocks_mean,four_seed_blocks_median,four_seed_blocks_p95,four_seed_blocks_p99,four_seed_blocks_max,fraction_rows_strength2_lower_than_four_seed_blocks,p95_reduction_vs_four_seed_blocks,p99_reduction_vs_four_seed_blocks,max_reduction_vs_four_seed_blocks
compustat_kor_direction,onehot_adam_mlp,3000,0.00011716751380228377,8.905571562621965e-05,0.00026807060899481153,0.000499944329487654,0.0010264284363455181,0.00018161154022900978,0.00014591151117631038,0.0003943191367938009,0.0007611939674337795,0.0011569059330396568,0.9993333333333333,0.32016840173041816,0.34321033681714397,0.11278142238524258,0.00015057940120543912,0.0001233647544716389,0.00031480304817322106,0.0005636159948841727,0.0012026894848577514,0.926,0.14844976708324276,0.1129699404815574,0.1465557408885808,0.0001439642521085304,0.00011451959680299482,0.0003361698847790681,0.0006386156870990112,0.0007563015902225582,0.7583333333333333,0.2025739926972091,0.2171436756295302,-0.35716815833147875
credit_card_default,onehot_adam_mlp,3000,7.04894433409466e-05,4.100224619937176e-05,0.00021320282009162144,0.00042308816600954065,0.0030629894498760985,0.0001844791623838469,0.00010213319483470969,0.0005633637309466687,0.0011153044281625784,0.010551721536512137,0.9993333333333333,0.6215538765100155,0.6206523032401456,0.7097166145564748,0.00014803520024404975,7.93177710759217e-05,0.0004467574102623717,0.0008629476435536408,0.007244589771261918,0.9733333333333334,0.522777204822609,0.5097174560124498,0.5772031893335814,0.00016680007270305144,7.84589388839981e-05,0.0005451485778800548,0.0010652555368189643,0.009849419055767328,0.8376666666666667,0.6089087842424291,0.6028294138015424,0.6890182626474234
credit_card_fraud,native_histgb,3000,8.470257660572784e-08,4.7350509226118144e-11,1.2502410436235553e-10,4.0384998035014526e-10,0.00020063552775158487,4.763115243281054e-06,5.129340646206614e-10,1.8357454270540584e-09,5.787294003910409e-09,0.013337617551143113,1.0,0.9318946393547661,0.9302178219946544,0.984957168925991,1.9894263275285408e-06,1.5416076626325458e-10,5.134120956215294e-10,1.793297128604334e-09,0.00560443679267711,1.0,0.7564839133542361,0.7748002972243373,0.9642005905011294,4.265983798195098e-06,5.76490803389897e-10,1.8363591609927715e-09,5.636015200256995e-09,0.011655722861743038,1.0,0.9319174010084361,0.928344767357666,0.9827865221118014
credit_card_fraud,catboost_native,3000,8.175942473422248e-08,1.3331733722084378e-11,1.0011946118765519e-09,2.6490931102004098e-08,9.12529998822024e-05,8.89240865392505e-07,1.118973719236676e-10,6.109746417065578e-09,1.770939244537463e-07,0.0013059730243751612,1.0,0.8361315603737591,0.850413100371927,0.9301264282040879,7.704171887538232e-07,3.464090875057468e-11,2.7272585607981116e-09,1.0311111182321387e-07,0.001474455982731483,0.9996666666666667,0.6328934020896209,0.7430836441040094,0.9381107330765122,1.0364525720379014e-06,3.024190530210127e-10,1.3893550210712165e-08,3.839919514342829e-07,0.0009333461932938916,0.9983333333333333,0.9279381729873036,0.9310117542749127,0.9022302758206368
credit_card_fraud,onehot_adam_mlp,3000,1.946881175620498e-06,2.782271415114133e-08,3.117564465911919e-07,6.796492896322674e-07,0.003843552127978135,4.640790567878001e-06,6.107163069524317e-08,6.543487571937854e-07,1.546686906711732e-06,0.005861071677484808,1.0,0.5235622545870211,0.5605773303679108,0.3442236608804725,2.968326342691697e-06,5.411827975708639e-08,5.891816693517338e-07,1.357001493190632e-06,0.0033320640134495657,0.999,0.4708653327008425,0.4991536169689461,-0.15350488840070153,3.727483173345364e-06,5.6247349167808625e-08,6.838135377870513e-07,1.6211976125776143e-06,0.006197337061190204,0.9663333333333334,0.5440914381424882,0.5807733219199214,0.3798058601576243
heloc_credit_risk,ordinal_forest,1417,2.121233968765477e-21,1.84611766059797e-21,1.086655290312989e-20,1.6850332363581764e-20,2.9842792095538823e-20,0.00011614202341282258,0.00010808990304621336,0.00022392556073929458,0.00029369168502543986,0.00035875334193100745,1.0,1.0,0.9999999999999999,0.9999999999999999,9.061524647634237e-05,8.001351750887692e-05,0.00019108528460622283,0.000252531018196584,0.0003743447444974681,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,9.116008259761274e-05,6.620470297115963e-05,0.0002597116347734231,0.00037892849032108246,0.000728637534873967,1.0,1.0,1.0,1.0
heloc_credit_risk,onehot_adam_mlp,1417,9.60259382825451e-05,6.241450216331522e-05,0.00029952885710113515,0.0005135218806923532,0.0010263367259906555,0.00025442455036069707,0.00019412553333411685,0.0006595679257531017,0.0011033117623592487,0.0030619268248493737,0.9985885673959068,0.5458710992364737,0.5345632139421118,0.664806906010517,0.00022186908800107753,0.00016041210092390465,0.000586907133877306,0.0010631000351665563,0.0029102196371806046,0.9922371206774877,0.4896486346615916,0.516958081360707,0.6473335851087303,0.00021919813659015928,0.00014754960299905197,0.0006326207142922885,0.001008098625573819,0.0028711309906448183,0.881439661256175,0.5265269531425043,0.4906035305820877,0.6425322532009751
kdd17_stock_direction,ordinal_forest,3000,0.00013276389721734313,0.00012944547229105441,0.00019624924297452164,0.0002328732356067181,0.00028443762830856383,0.0001865207242838206,0.0001841891169994523,0.0002449350719598473,0.0002754285235293147,0.00034353104392737357,0.9643333333333334,0.1987703459360317,0.15450574028171526,0.1720176870865352,0.00017109525086084516,0.00016879847700038624,0.00023272625002378425,0.00025917545320430725,0.0003047235249276483,0.8776666666666667,0.15673782843806705,0.10148421570176702,0.06657148188313,0.0001901340422076544,0.00018186781609432298,0.00032239716748412426,0.0003989550290933038,0.0005830762119640742,0.7556666666666667,0.3912811191674458,0.41629201633085333,0.5121776150832076
kdd17_stock_direction,onehot_adam_mlp,3000,0.0007806028381460947,0.0007073722179860634,0.0014175845018862842,0.001990476994630563,0.0037146446782395,0.0010450016521167712,0.0009502574107773915,0.0018473423556674188,0.002648491047174928,0.005457754282856538,0.981,0.23263573882918365,0.24844866032160096,0.31938220635772385,0.0009626204417960301,0.0008749489827346642,0.001711806746612147,0.0025247685431848206,0.005266019537358171,0.9146666666666666,0.1718781897011219,0.21162001166264766,0.29460104508023843,0.0009536032012558066,0.0008516792510100321,0.001805105965303442,0.0026418487541153887,0.005569692247231628,0.7126666666666667,0.21468072837043373,0.24655906530233396,0.3330610537618419
kdd17_stock_return,ordinal_forest,3000,0.00015532984621958022,0.00010436492422615917,0.0004445599918046214,0.0007976379865630102,0.0016782422416698685,0.00026100256157119697,0.0001455627910831906,0.0006898066275100017,0.0025222832371331627,0.009702067343645223,0.9573333333333334,0.35552954396893555,0.6837635144141826,0.8270222023588505,0.00023913488306543984,0.00013311754807210992,0.0006169733125181187,0.002244165635416701,0.0074576730818811205,0.865,0.2794502083239363,0.6445725868113548,0.7749643590911404,0.00024233060769673028,0.0001430547461104012,0.0007372247831776738,0.0017782779086876852,0.010692100320808,0.7393333333333333,0.39698175922894763,0.5514548189199275,0.8430390483332985
