panel,method,budget,strength,selection_agreement,validation_quotient_regret,selected_quotient_test_loss,selected_realized_test_loss,selection_entropy_bits
confirmation,four_strength1_b16,16,0,0.9248934659090909,1.2061516089898643e-05,0.21932995150393977,0.2193833836269121,0.2062242372477445
confirmation,four_strength2_b64,64,0,0.9813565340909091,3.345240054501229e-06,0.2192515464928271,0.2192568721695089,0.06654261932682787
confirmation,iid_b16,16,0,0.9126420454545454,1.3702713081238075e-05,0.21934326643404914,0.21941794311670834,0.218298286587374
confirmation,iid_b4,4,0,0.8597301136363636,6.30848738356955e-05,0.21940733158849343,0.21965653428480306,0.34711278715816685
confirmation,iid_b64,64,0,0.9437144886363636,6.214487670528709e-06,0.21934114902359172,0.21935830083193772,0.16319147071942305
confirmation,seed_blocks_b16,16,0,0.9192116477272727,1.435272675695799e-05,0.21931865190490932,0.21936014164693016,0.2256208855872339
confirmation,seed_blocks_b4,4,0,0.8405539772727273,6.785421972559491e-05,0.21942621642156232,0.21956609883614328,0.3707896984689553
confirmation,seed_blocks_b64,64,0,0.955078125,5.185698987364526e-06,0.21931889270474506,0.21932564821249265,0.1466487799205306
confirmation,sixteen_strength1_b64,64,0,0.9579190340909091,4.833160278226894e-06,0.2193176122224359,0.21933027167430996,0.1418955673928046
confirmation,strength1_b4,4,1,0.8934659090909091,4.3139117335417215e-05,0.2193359974969306,0.2195044987337342,0.2745110515981458
confirmation,strength2_b16,16,2,0.9604048295454546,8.890989903986221e-06,0.21922152564404776,0.2192376712654092,0.10432039985028498
confirmation,strength3_b64,64,3,1.0,0.0,0.21928345339354285,0.21928404097376622,0.0
menu_repeat,four_strength1_b16,16,0,0.9977213541666666,1.0973757122694938e-06,0.28934942068047903,0.2893904545760097,0.019351642144157553
menu_repeat,four_strength2_b64,64,0,1.0,0.0,0.2893473848332571,0.2893508223804245,0.0
menu_repeat,iid_b16,16,0,0.9833984375,7.907655911527638e-06,0.2893636580930039,0.289450345315792,0.09253549328265649
menu_repeat,iid_b4,4,0,0.9384765625,4.3377421875349306e-05,0.2893120316316738,0.28965302688199984,0.26698517620823226
menu_repeat,iid_b64,64,0,0.9996744791666666,1.1301296282059037e-07,0.2893483959978537,0.289370988514486,0.0033988558726808257
menu_repeat,seed_blocks_b16,16,0,0.9817708333333334,6.328725917953061e-06,0.289404010050666,0.28945369920937963,0.08300464775574608
menu_repeat,seed_blocks_b4,4,0,0.9586588541666666,1.4352646278214978e-05,0.2894758027370238,0.28967097126362995,0.1346946321877485
menu_repeat,seed_blocks_b64,64,0,0.9964192708333334,1.2431425910264942e-06,0.2893585076438196,0.28937056151182516,0.02494928020969737
menu_repeat,sixteen_strength1_b64,64,0,1.0,0.0,0.2893473848332571,0.2893573684430419,0.0
menu_repeat,strength1_b4,4,1,0.9794921875,1.4904434141908306e-05,0.28931025304593627,0.2894877191234247,0.11671182446424155
menu_repeat,strength2_b16,16,2,1.0,0.0,0.2893473848332571,0.2893617135534327,0.0
menu_repeat,strength3_b64,64,3,1.0,0.0,0.2893473848332571,0.28934837195968827,0.0
openml_taskbalanced,four_strength1_b16,16,0,0.936767578125,0.0001499619107603235,0.15096495068881213,0.15152411387721193,0.20811221144902925
openml_taskbalanced,four_strength2_b64,64,0,0.997314453125,6.535170681884029e-06,0.15048878815564606,0.15048034864486348,0.018711960157273028
openml_taskbalanced,iid_b16,16,0,0.92919921875,0.00019334339881405007,0.15103084530266975,0.15195420196231618,0.23071780582413376
openml_taskbalanced,iid_b4,4,0,0.880615234375,0.0007209836948884779,0.15158962165225937,0.15463993188266745,0.3575021439472198
openml_taskbalanced,iid_b64,64,0,0.972412109375,6.578866249965445e-05,0.1507282978405256,0.1508370649166172,0.11741978613922256
openml_taskbalanced,seed_blocks_b16,16,0,0.93359375,0.00021799697341010377,0.15101204503157448,0.15152727520266557,0.2433606877671061
openml_taskbalanced,seed_blocks_b4,4,0,0.869140625,0.0003774043052702677,0.1513159175108774,0.15471691696278256,0.32904622030513364
openml_taskbalanced,seed_blocks_b64,64,0,0.981201171875,4.933568488789044e-05,0.15066181974720239,0.15079137502217627,0.08768448319399669
openml_taskbalanced,sixteen_strength1_b64,64,0,0.9794921875,4.8335348890495084e-05,0.15063879670508412,0.15078129068388446,0.10050159503103889
openml_taskbalanced,strength1_b4,4,1,0.899169921875,0.0003402987533817958,0.15125147594838034,0.1540835638174359,0.29282649705763253
openml_taskbalanced,strength2_b16,16,2,0.969970703125,7.116915859088627e-05,0.1507366559115092,0.15065248975457432,0.12734431004808167
