dataset,model,task,split,strength1_design_count,strength2_design_count,joint_risk,main_fraction,main_plus_pair_fraction,mean_member_loss,quotient_loss,iid16_residual,four_strength1_residual,four_seed_blocks_residual,strength2_residual,strength1_component_reconstruction_error,strength2_component_reconstruction_error,strength2_expected_loss,strength2_vs_iid16_reduction,strength2_vs_four_strength1_reduction,strength2_vs_seed_blocks_reduction,material,ambiguity_error
compustat_kor_direction,onehot_linear,binclass,validation,3456,27648,9.72336579235673e-13,0.22784307240681664,0.7110278716447442,0.5008093155886676,0.5008093155876953,6.077103620222956e-14,5.4761419612440224e-14,2.4308414480891824e-13,3.1219796753266785e-14,1.7670484276950664e-28,6.310887241768095e-30,0.5008093155877265,0.48627177181287884,0.4298943129265673,0.8715679429532197,False,3.254268960858205e-18
compustat_kor_direction,onehot_linear,binclass,test,3456,27648,1.0732809029544155e-12,0.22992338138286203,0.7256306060569171,0.5014801977094647,0.5014801977083914,6.708005643465097e-14,6.069583763461575e-14,2.6832022573860387e-13,3.27194923193653e-14,2.0194839173657902e-28,0.0,0.5014801977084241,0.5122321885456305,0.4609269169933181,0.8780580471364076,False,8.271725318587432e-17
compustat_kor_direction,ordinal_forest,binclass,validation,3456,27648,0.0022522032074112678,0.19495541875892938,0.6029263404890863,0.5183710670298205,0.5161188638224092,0.00014076270046320424,0.00012625226095587766,0.0001324274163531062,9.936561883655667e-05,5.421010862427522e-19,1.2197274440461925e-19,0.5162182294412458,0.29409127198059737,0.21295968813356347,0.24965976402041334,False,4.7704895589362195e-18
compustat_kor_direction,ordinal_forest,binclass,test,3456,27648,0.002389520121319212,0.18703082659427966,0.5987817253082415,0.5099692259350667,0.5075797058137475,0.00014934500758245075,0.00013525276258829778,0.00014403749156563592,0.00010652434893521523,5.421010862427522e-19,6.776263578034403e-20,0.5076862301626827,0.2867230672146506,0.21240537422906702,0.26044012723816745,False,1.3010426069826053e-18
compustat_kor_direction,native_histgb,binclass,validation,3456,27648,0.0010762002362396821,0.49243640419224716,0.8660491465506546,0.4985046345869812,0.4974284343507416,6.726251476498013e-05,4.151583168768491e-05,6.083835965404073e-05,1.601583873886578e-05,1.6263032587282567e-19,1.6940658945086007e-20,0.49744445018948047,0.7618905746413701,0.6142233435343497,0.7367476896165452,False,7.155734338404329e-17
compustat_kor_direction,native_histgb,binclass,test,3456,27648,0.0011325190273285047,0.4703792756761135,0.8582614844342389,0.4974993278522194,0.4963668088248909,7.078243920803154e-05,4.552520859592837e-05,6.706744159839345e-05,1.7832966743941527e-05,1.6263032587282567e-19,1.6940658945086007e-20,0.4963846417916349,0.7480594488764375,0.608283689543897,0.7341039658150803,False,3.3393426912553537e-17
compustat_kor_direction,catboost_native,binclass,validation,3456,27648,0.0008531542213814086,0.2580325324046357,0.733475076290006,0.49663426655941123,0.49578111233802974,5.332213883633804e-05,4.6434754654262105e-05,4.730452328058507e-05,2.5265207085171025e-05,5.421010862427522e-20,1.0164395367051604e-20,0.4958063775451149,0.5261779134044552,0.4558987707959816,0.465902934158931,False,8.272462576064399e-17
compustat_kor_direction,catboost_native,binclass,test,3456,27648,0.000916409752124766,0.25223042056557937,0.7317734405719721,0.4972613663777241,0.4963449566255994,5.7275609507797874e-05,5.027734916580824e-05,4.78741569777415e-05,2.7311714982079808e-05,1.6263032587282567e-19,0.0,0.4963722683405815,0.5231527832390608,0.4567789385234039,0.4295102680392251,False,6.320898665590491e-17
compustat_kor_direction,onehot_adam_mlp,binclass,validation,3456,27648,0.003070630340605824,0.2396389242434275,0.5439409110034921,0.4966679987702577,0.49359736842965185,0.000191914396287864,0.000159505090483287,0.0001515303690440268,0.00012488570484716708,7.589415207398531e-19,1.3552527156068805e-19,0.493722254134499,0.3492634879780282,0.21704251275759356,0.17583712337635882,True,1.6046192152785466e-17
compustat_kor_direction,onehot_adam_mlp,binclass,test,3456,27648,0.0029057846436641574,0.24220413991788442,0.5472049412161474,0.49794761867411796,0.49504183403045376,0.00018161154022900984,0.00015057940120543915,0.0001439642521085304,0.00011716751380228378,5.421010862427522e-19,5.421010862427522e-20,0.49515900154425607,0.3548454373849974,0.2218888316441816,0.18613466825115266,True,4.2500725161431774e-17
