dataset,model,precision,median_hitting_epoch,mean_final_mse,maximum_final_mse,exact_paths,paths
bank_marketing_subscription,ft_transformer,bfloat16,11.0,0.019712341038179107,0.021254308872973735,0,4
bank_marketing_subscription,ft_transformer,float16,9.5,0.01974248671610602,0.025036577582824585,0,4
bank_marketing_subscription,ft_transformer,float32,14.0,0.015233975049752341,0.017967065000462794,0,4
bank_marketing_subscription,ft_transformer,float64,31.0,0.0,0.0,4,4
bank_marketing_subscription,mlp,bfloat16,31.0,1.5850514233150757e-08,1.7607949045092515e-08,0,4
bank_marketing_subscription,mlp,float16,31.0,3.156589398571907e-10,4.0660216135970127e-10,0,4
bank_marketing_subscription,mlp,float32,31.0,5.089388236377731e-16,5.926607020672237e-16,0,4
bank_marketing_subscription,mlp,float64,31.0,0.0,0.0,4,4
bank_marketing_subscription,resnet,bfloat16,30.0,1.1297417060955299e-05,1.3653311697161206e-05,0,4
bank_marketing_subscription,resnet,float16,31.0,1.96032877752307e-07,2.7269511054934814e-07,0,4
bank_marketing_subscription,resnet,float32,31.0,5.688574457217039e-11,1.7861306113639877e-10,0,4
bank_marketing_subscription,resnet,float64,31.0,0.0,0.0,4,4
credit_card_default,ft_transformer,bfloat16,10.5,0.010848267874213842,0.014939963820035398,0,4
credit_card_default,ft_transformer,float16,8.5,0.009195148671644133,0.013909714195761548,0,4
credit_card_default,ft_transformer,float32,11.0,0.006338376027088378,0.011273972247228654,0,4
credit_card_default,ft_transformer,float64,31.0,0.0,0.0,4,4
credit_card_default,mlp,bfloat16,31.0,5.632999562264947e-08,6.085332427805e-08,0,4
credit_card_default,mlp,float16,31.0,1.0587502437890184e-09,1.3452420661384642e-09,0,4
credit_card_default,mlp,float32,31.0,9.21581512580028e-16,1.0529279169550434e-15,0,4
credit_card_default,mlp,float64,31.0,0.0,0.0,4,4
credit_card_default,resnet,bfloat16,31.0,6.988038403564317e-07,9.951435702077686e-07,0,4
credit_card_default,resnet,float16,31.0,1.3901925876205146e-08,1.9125527323801115e-08,0,4
credit_card_default,resnet,float32,31.0,1.4542984563233534e-14,1.8852295774661447e-14,0,4
credit_card_default,resnet,float64,31.0,0.0,0.0,4,4
fremtpl_claim_count,ft_transformer,bfloat16,7.0,0.2518577591141896,0.26883564956798456,0,4
fremtpl_claim_count,ft_transformer,float16,6.5,0.19033660448319617,0.24939922540372406,0,4
fremtpl_claim_count,ft_transformer,float32,10.0,0.17447084008217317,0.2529723264605183,0,4
fremtpl_claim_count,ft_transformer,float64,31.0,0.0,0.0,4,4
fremtpl_claim_count,mlp,bfloat16,31.0,1.441875644873002e-07,1.7061628138404536e-07,0,4
fremtpl_claim_count,mlp,float16,31.0,2.6967758053045494e-09,3.4167439127822958e-09,0,4
fremtpl_claim_count,mlp,float32,31.0,1.514281457387981e-15,2.3377770531039788e-15,0,4
fremtpl_claim_count,mlp,float64,31.0,0.0,0.0,4,4
fremtpl_claim_count,resnet,bfloat16,22.5,0.00011336378659138188,0.00020961954506209217,0,4
fremtpl_claim_count,resnet,float16,31.0,2.692673773255822e-06,4.717964079798729e-06,0,4
fremtpl_claim_count,resnet,float32,31.0,7.357946592623473e-12,1.2224749626466793e-11,0,4
fremtpl_claim_count,resnet,float64,31.0,0.0,0.0,4,4
